department_id,department
1,Public Works
2,Municipal Transportation Agency
3,Public Health
4,War Memorial
5,Airport Commission
6,General Services Agency - City Administrator
7,Human Resources
8,Human Services Agency
9,Recreation and Park Commission
10,Public Utilities Commission
11,Controller
12,Homelessness and Supportive Housing
13,General Services Agency - Technology
14,City Planning
15,District Attorney
16,Sheriff
17,Fire Department
18,Arts Commission
19,Children and Families Commission
20,Police
21,Environment
22,"Children, Youth & Their Families"
23,Public Library
24,Port
25,Economic and Workforce Development
26,Department of Emergency Management
27,Assessor/Recorder
28,Treasurer/Tax Collector
29,Department of Building Inspection
30,Fine Arts Museum
31,Public Defender
32,General Fund Unallocated
33,Adult Probation
34,Board of Supervisors
35,Asian Art Museum
36,Health Service System
37,Retirement System
38,Mayor
39,Rent Arbitration Board
40,Human Rights Commission
41,County Education Office
42,Elections
43,City Attorney
44,Juvenile Probation
45,Board of Appeals
46,CSS Child Support Services
47,Law Library
48,Superior Court
49,Department of the Status of Women
50,San Francisco Community College District
51,Civil Service Commission
52,Police Accountability
53,Ethics Commission
54,Academy of Sciences
55,Community Investment & Infrastructure
56,Sheriff Department Office of Inspector General
57,Department of Early Childhood
58,Department of Sanitation and Streets
59,CTA SF County Transprtn Auth
60,Transbay Joint Powers Authority
61,General Services Agency - City Admin
62,Child Support Services
63,General City Responsibility
64,Human Services
65,General Services Agency - Public Works
66,Public Utilities Commission - Hetch Hetchy
67,Public Utilities Commission - Water Department
68,Public Utilities Commission - Wastewater Enterprise
69,Public Utilities Commission - Clean Power
