department_code_id,department_code
1,DPW
2,MTA
3,DPH
4,WAR
5,AIR
6,ADM
7,HRD
8,HSA
9,REC
10,PUC
11,CON
12,HOM
13,TIS
14,CPC
15,DAT
16,SHF
17,FIR
18,ART
19,CFC
20,POL
21,ENV
22,CHF
23,LIB
24,PRT
25,ECN
26,DEM
27,ASR
28,TTX
29,DBI
30,FAM
31,PDR
32,GEN
33,ADP
34,BOS
35,AAM
36,HSS
37,RET
38,MYR
39,RNT
40,HRC
41,USD
42,REG
43,CAT
44,JUV
45,BOA
46,CSS
47,LLB
48,CRT
49,WOM
50,CCD
51,CSC
52,DPA
53,ETH
54,SCI
55,CII
56,SDA
57,DEC
58,SAS
59,CTA
60,TJP
61,UNA
62,DSS
63,ECD
64,PAB
65,HHP
66,WTR
67,CWP
68,CLP
