fund_code_id,fund_code
1,SP_REV~13980
2,ENT_FUND~MTA_TRANSIT
3,SP_REV~11580
4,SP_REV~14670
5,GEN_FUND~10000
6,ENT_FUND~SFIA_OP
7,ENT_FUND~SU_STREETS
8,GEN_FUND~10020
9,ENT_FUND~HH_OP
10,GEN_FUND~10060
11,ENT_FUND~SFWD_OP
12,SP_REV~12780
13,CPTL_PRJ~17250
14,INTRL_SRVC~DTIS_TELCOM_IS
15,SP_REV~13370
16,SP_REV~11630
17,SP_REV~13550
18,CPTL_PRJ~15680
19,SP_REV~13920
20,SP_REV~CHLD_FAMLY
21,SP_REV~13630
22,ENT_FUND~SFGH_OP_
23,SP_REV~12230
24,ENT_FUND~SFGH_CPTL_PRJ
25,SP_REV~10900
26,SP_REV~13140
27,ENT_FUND~PRT_OP
28,ENT_FUND~CWP_OP
29,INTRL_SRVC~IS_CNTRL_SHP
30,GEN_FUND~10010
31,SP_REV~CHLD
32,SP_REV~13560
33,ENT_FUND~LHH_OP
34,ENT_FUND~PUC_OP
35,SP_REV~12550
36,SP_REV~10190
37,CMPNT_UNTS~31920
38,SP_REV~11902
39,ENT_FUND~LHH_CPTL_PRJ
40,ENT_FUND~SFWD_CPTL_PRJ
41,SP_REV~12960
42,GEN_FUND~10040
43,ENT_FUND~CWP_CPTL_PRJ
44,CPTL_PRJ~15511
45,CPTL_PRJ~16810
46,CPTL_PRJ~16400
47,PERMA_FUND~17860
48,SP_REV~14000
49,CPTL_PRJ~16940
50,ENT_FUND~HH_CPTL_PRJ
51,PSN_OTHR_EMP_BEN~31330
52,CPTL_PRJ~16860
53,CPTL_PRJ~16850
54,CPTL_PRJ~17090
55,ENT_FUND~PRT_SBEACH_HBR
56,CPTL_PRJ~15780
57,CPTL_PRJ~15515
58,CPTL_PRJ~15510
59,SP_REV~12760
60,CPTL_PRJ~17230
61,SP_REV~10670
62,SP_REV~10480
63,CPTL_PRJ~15787
64,SP_REV~14820
65,SP_REV~13970
66,SP_REV~11940
67,CPTL_PRJ~15770
68,SP_REV~12789
69,SP_REV~10850
70,ENT_FUND~PRT_CPTL
71,ENT_FUND~SFIA_CPTL_PRJ
72,SP_REV~12790
73,ENT_FUND~STBL_ST
74,SP_REV~11740
75,SP_REV~10770
76,SP_REV~11430
77,SP_REV~11890
78,INVEST_TRST_FUND~30680
79,SP_REV~13990
80,SP_REV~13600
81,SP_REV~14300
82,CPTL_PRJ~15786
83,CPTL_PRJ~16861
84,SP_REV~10580
85,SP_REV~12920
86,SP_REV~13080
87,CPTL_PRJ~15665
88,SP_REV~14720
89,SP_REV~10880
90,SP_REV~12650
91,CPTL_PRJ~15440
92,SP_REV~12640
93,SP_REV~12770
94,AGNCY_FUNDS~29250
95,GEN_FUND~10080
96,SP_REV~12460
97,SP_REV~13670
98,CPTL_PRJ~16950
99,SP_REV~12769
100,SP_REV~12785
101,SP_REV~12600
102,SP_REV~10230
103,CPTL_PRJ~17260
104,ENT_FUND~CLN_PWR_SP_REV
105,SP_REV~10680
106,SP_REV~13360
107,SP_REV~11802
108,SP_REV~12360
109,SP_REV~10795
110,PSN_OTHR_EMP_BEN~31200
111,CPTL_PRJ~15790
112,PSN_OTHR_EMP_BEN~31190
113,SP_REV~14190
114,SP_REV~10790
115,ENT_FUND~CLN_PWR_OP
116,SP_REV~13500
117,SP_REV~13720
118,SP_REV~13960
119,SP_REV~10860
120,SP_REV~14680
121,SP_REV~13985
122,SP_REV~13350
123,CPTL_PRJ~15516
124,CPTL_PRJ~15789
125,SP_REV~10581
126,SP_REV~10582
127,SP_REV~10830
128,SP_REV~CHLD_SUPP_SRVCS
129,ENT_FUND~SFIA_SP_REV
130,GEN_FUND~10030
131,SP_REV~13490
132,INTRL_SRVC~IS_REPRO
133,DEBT_SRVC~17640
134,SP_REV~12775
135,CPTL_PRJ~17100
136,SP_REV~12210
137,SP_REV~12965
138,SP_REV~10600
139,SP_REV~12050
140,SP_REV~12200
141,SP_REV~12610
142,SP_REV~13660
143,SP_REV~11750
144,SP_REV~10820
145,ENT_FUND~LHH_DEBT_SRVC
146,SP_REV~10840
147,CPTL_PRJ~15775
148,INVEST_TRST_FUND~30620
149,CPTL_PRJ~15420
150,SP_REV~10660
151,SP_REV~12900
152,SP_REV~13610
153,SP_REV~12500
154,PSN_OTHR_EMP_BEN~31440
155,CPTL_PRJ~16930
156,SP_REV~13520
157,SP_REV~13590
158,SP_REV~14520
159,SP_REV~11445
160,SP_REV~13150
161,SP_REV~11780
162,SP_REV~12890
163,ENT_FUND~AGNCY_WD_OP_OH
164,ENT_FUND~HH_DEBT_SRVC
165,ENT_FUND~SFWD_DEBT_SRVC
166,CPTL_PRJ~15500
167,SP_REV~14400
168,SP_REV~13580
169,SP_REV~13551
170,ENT_FUND~HHWP_SP_REV
171,ENT_FUND~LHH_TRST_AGNCY
172,CPTL_PRJ~16750
173,SP_REV~10810
174,ENT_FUND~SFIA_TRST_AGNCY
175,PSN_OTHR_EMP_BEN~31210
176,SP_REV~13120
177,SP_REV~10870
178,INVEST_TRST_FUND~30490
179,SP_REV~10630
180,SP_REV~13940
181,CPTL_PRJ~15450
182,SP_REV~13470
183,CPTL_PRJ~17200
184,CPTL_PRJ~15470
185,SP_REV~13620
186,CPTL_PRJ~17240
187,INVEST_TRST_FUND~31050
188,CPTL_PRJ~16790
189,INVEST_TRST_FUND~30690
190,SP_REV~12470
191,CPTL_PRJ~16420
192,SP_REV~11900
193,CPTL_PRJ~16800
194,CPTL_PRJ~17220
195,CPTL_PRJ~16830
196,SP_REV~10650
197,CPTL_PRJ~17210
198,CPTL_PRJ~16740
199,CPTL_PRJ~17170
200,SP_REV~14690
201,CPTL_PRJ~15460
202,SP_REV~13730
203,INVEST_TRST_FUND~30510
204,SP_REV~11840
205,AGNCY_FUNDS~29560
206,CPTL_PRJ~16250
207,CPTL_PRJ~15490
208,ENT_FUND~SFIA_OP_GRNT
209,CPTL_PRJ~15610
210,AGNCY_FUNDS~28600
211,INVEST_TRST_FUND~30910
212,SP_REV~12520
213,SP_REV~10250
214,CPTL_PRJ~16820
215,AGNCY_FUNDS~29600
216,CPTL_PRJ~15430
