fund_type_id,fund_type
1,Special Revenue Funds
2,Enterprise Funds
3,General Fund
4,Capital Projects Funds
5,Internal Service Funds
6,Component Units
7,Permanent Fund
8,"Pension, Other Employee and Ot"
9,Investment Trust Fund
10,Agency Funds
11,Debt Service Funds
12,Laguna Honda Hospital Funds
13,General Hospital Medical Center Funds
14,Expendable Trust Funds
15,SF International Airport Funds
16,Port Of San Francisco Funds
17,MTA Parking Garages/Other
18,MTA Municipal Railway Funds
19,MTA Parking & Traffic Funds
20,MTA Taxi Commission
21,PUC Hetch Hetchy Funds
22,PUC Water Department Funds
23,Treasure Island Development Authority
24,Pension Trust Funds
25,PUC Wastewater Funds
26,MTA Bicycle Fund
27,MTA Pedestrian Fund
28,Retiree Health Care Trust Fund - Prop B
29,Successor Agency-Former SF Redev Agency
30,Clp-Clean Powersf Funds
