fund_id,fund
1,Special Revenue Other Special Revenue
2,Transit
3,Special Revenue Community Health-Grants
4,Special Revenue War Memorial-Operating
5,General Fund Annual Account Control
6,San Francisco International Airport-Operating Fund
7,Sustainable Streets
8,General Fund Continuing Authority Control
9,Hetchy Operating Fund
10,General Fund Work Order
11,San Francisco Water Department-Operating Fund
12,Special Revenue Road
13,Capital Projects Street Improvement Fund Street Improvement-Unallocated
14,Department of Technology and Information Services-Telecommunications and Information Services
15,Special Revenue Open Space and Park-Annual
16,Special Revenue Public Health
17,Special Revenue Public Protection-Grant
18,Capital Projects San Francisco Capital Planning
19,Special Revenue Public Works-Overhead
20,Children and Families Fund
21,SR Police Law Enforcement Services
22,San Francisco General Hospital-Operating Fund
23,Special Revenue Grants; Environment Continuing
24,San Francisco General Hospital-Capital Projects Fund
25,Special Revenue Visitacion Valley Community Investment
26,Special Revenue Public Library Preservation
27,Port Operating
28,CleanPowerSF Water Power-Operating Fund
29,Information Services-Central Shops Fund
30,General Fund Annual Authority Control
31,Children's Fund
32,Special Revenue Homeland Security
33,Laguna Honda Hospital-Operating Fund
34,PUC Operating Fund
35,Special Revenue Grants; General Services Fund Continuing
36,Special Revenue Building Inspection Fund Operating Project
37,TI Continuing Authority Ctrl
38,Special Revenue Recreation and Parks-Marina-Annual
39,Laguna Honda Hospital-Capital Projects Fund
40,San Francisco Water Department-Capital Projects Fund
41,Special Revenue Human Welfare-Grants
42,General Fund Public Works Work Order
43,CleanPowerSF Water Power-Capital Projects Fund
44,Capital Projects X Fund 2014 Earthquake Safety and Emergency Response S2018C
45,Capital Projects Recreation and Parks Fund 2008 Clean and Safe Neighborhood Parks S2010B
46,Capital Projects Moscone Center Certificate of Participation Moscone Expansion Project 2013
47,Permanent Endowment Trust Fund-Bequests
48,Special Revenue Solid Waste Projects
49,Capital Projects Recreation and Parks Capital Improvement-Other
50,Hetchy Capital Projects Fund
51,Employees Retirement Trust
52,Capital Projects Recreation and Parks Fund 2012 Clean and Safe Neighborhood Parks S2016B
53,Capital Projects Recreation and Parks Fund 2012 Clean and Safe Neighborhood Parks S2013A
54,Capital Projects Street Improvement Fund 2011 Road Repaving and Streets Fiscal Year-2013C
55,Port-South Beach Harbor Fund
56,Capital Projects X Fund 2014 Earthquake Safety and Emergency Response S2016D
57,Capital Projects X Fund 2016 Public Health and Safety 1st S17A
58,Capital Projects X Fund 2014 Earthquake Safety and Emergency Response S2014D
59,Special Revenue Special Gas Tax Street Improvement
60,Capital Projects Street Improvement Fund Street Improvement-Other
61,Special Revenue Eastern Neighborhood Community Investment
62,Special Revenue Community Development Revolving Loan
63,Capital Projects X Fund Community Facilities District Special Tax Bond S17A-Transit Center District
64,Special Revenue Endowment Trust Fund-Gift
65,Special Revenue Services to Outside Agency
66,Special Revenue Museums Admission
67,Capital Projects X Fund 2010 Earthquake Safety and Emergency Response S2016C
68,Special Revenue Road Annual Authority
69,Special Revenue Rent Arbitration Board
70,Port-Capital Fund
71,San Francisco International Airport-Capital Projects Fund
72,Special Revenue Road-Annually Budgeted
73,Special Revenue Arts Commission-Public Arts
74,Special Revenue Neighborhood Development-Grants
75,Special Revenue Convention Facilities Fund-Operating
76,Special Revenue Mobile-Film Production Special
