object_id,object
1,Other Fringe Benefits
2,Overhead
3,Social Security
4,Equipment Maintenance Supplies
5,Travel
6,Employee Expenses
7,General Fund - Purchasing - Mail Services
8,Other Materials and Supplies
9,Maintenance Services - Equipment
10,Health Service
11,General Fund - Risk Management Services (AAO)
12,Recreation and Parks - Concessions
13,Dental Coverage
14,Permanent Salaries - Miscellaneous
15,Water Sewage Treatment Supplies
16,Elimination - Transfer Adjustments - Sources City
17,Elimination - Transfer Adjustments - Uses City
18,Unemployment Insurance
19,Retirement
20,Professional and Specialized Services
21,Capital Renewal
22,Prior Year Designated Reserve
23,Other Current Expenses
24,Materials and Supplies Budget Only
25,Expenditure Recovery - Services to AAO Fund
26,Overtime
27,Public Health Charges
28,Port-Other Non-Operating Rev
29,Buildings: Structures/Improvements
30,Rents and Leases - Equipment
31,Department of Technology - Telecommunications Services
32,Training
33,Parking Garage/Lot Rentals
34,Premium Pay
35,Interfund Transfer Out to 5C - Cleanwater Program Fund
36,Interfund Transfer Out to 5H - General Hospital Fund
37,Debt Interest and Other Charges
38,General Fund - Human Resources - Equal Employment Opportunity
39,Safety
40,County Adult Assistance Program - Post Adoption Employment Services Aid
41,General Fund - Sheriff
42,Treasure Island Development Authority
43,Hospital-Based Outpatient Revenue
44,Taxes: Licenses/Permits
45,Expenditure Recovery - Services to Non-AAO
46,Physician-Based Outpatient Revenue
47,Community Based Organization Services
48,Building and Construction Supplies
49,Elimination - Transfer Adjustments - Sources
50,Other - Transportation/Transit Operating Assistance
51,Department of Technology - Technology Projects
52,Hospital: Clinic/Lab Supplies
53,Rent Assistance on Behalf of Clients
54,Federal - Other
55,Controlled Revenue Deductions
56,Court Fees and Other Compensation
57,Proceed from Long-Term Debts
58,Temporary Miscellaneous Salaries
59,Hospital-Based Inpatient Revenues
60,Rent/Lease - Building/Structure
61,Senior - Department of Public Works - Sewer Repair
62,Physician-Based Inpatient Revenue
63,General Fund - Police Security
64,Net Patient Revenue
65,Maintenance Services - Buildings & Structures
66,Inventories
67,Equipment Purchase
68,Contribution Transfer In from 1G - General Fund for MTA Population Basin
69,Contribution Transfers In
70,General Fund - City Planning
71,Other Operating Transfers In
72,Supplemental Prior Year
73,Road Privileges and Permits
74,Other Operating Adjustments
75,Holiday Pay
76,One-Time Payments
77,Buildings: Structure and Improvements
78,Port - Fishing Rent
79,Is-Purch-Reproduction
80,Administration Data Policy and Privacy
81,Loans Issued By City
82,Department of Technology - SFGov TV Services
83,Public Safety Service Charges
84,Other Property Tax
85,Food
86,Temporary Nurse Salaries
87,Beginning Fund Balance - Budget Only
88,Outpatient Control Revenue Deduction
89,General Government Services
90,Other Forfeitures and Penalties
91,Is-Purch-Centrl Shop-AutoMaint
92,State - Other
93,Custom Work/Services - Other Government Agencies
94,General Fund - Adult Probation
95,Enterprise Fund - Public Utilities Commission - Water
96,Interfund Transfer In from 5P - Port of San Francisco
97,Judgments and Claims
98,Intangible Asset Purchase
99,Health Service Fund - Employee Contributions
100,Other Charges for Services
101,Street Repair - Department of Public Works - Urban Forestry
102,Entertainment and Promotion
103,Interest
104,Day Care Assistance
105,Other Non-Operating Revenues
106,Retirement Contributions
107,Interfund Transfer In from 5M/Municipal Transportation Agency Transit Funds
108,Allocated Charges
109,Senior - Department of Public Works - Building Repair
110,Programmatic Projects - Budget
111,Senior - Department of Public Works - General Administration
112,Gifts and Bequests
113,Power for Resale
114,General Fund - Controller - Internal Audits
115,General Fund - Recreation and Parks - Gardener
116,General Fund - Public Utilities Commission - Hetch Hetchy
117,Gross Receipts Tax
118,General Fund - Controller - FAST Team
119,Membership Fees
120,General Fund - Human Rights Commission Services
121,Fuels and Lubricants
122,Interfund Transfer In from 1G - General Fund
123,General Fund - Mayor's - Community Development Block Grant
124,Elimination - Transfer Adjustments - Uses
125,General Fund - Coroner-Medical Examiner
126,Utilities
127,Interfund Transfer In From 5L - Laguna Honda Hospital Fund
128,Is-Purch-Centrl Shop-FuelStock
129,Facilities Maintenance-Budget
130,General Fund - Social Services
131,General Fund - Controller - Accounting Operations
132,General Fund - Controller - Information System Operations
133,Street Repair - Department of Public Works - Street Cleaning
134,Debt Redemption
135,Department of Technology - Technology Infrastructure
136,General Fund - City Attorney - Legal Service
137,Administration - Real Estate Special Services
138,Kinship-Foster Care Emergency
139,General Fund - Human Resources - Employment Services
140,Parking Meter Collections
141,Other Operating Transfers Out
142,General Fund - Human Resources - Workers' Compensation Claims
143,General Fund - Community Health Services - Toxic Waste & Hazardous Materials Service
144,Other Business/Professional Licenses
145,General Fund - Public Utilities Commission - Light Heat and Power
146,Administration - Real Estate 49 SVN Rent
147,Department of Technology - Enterprise Technology Contracts
148,Development Impact Fee and Exaction
149,Refugee Aid Payments
150,Federal - Pub Assistance Admin
151,Interfund Transfer In From 5A - Airport Funds
152,Other Licenses and Permits
153,General Fund - Rent Paid To Real Estate
154,Federal - Pub Assistance Prog
155,Foster Home Licensing Assistance
156,Interfund Transfer In From 5N - MTA SM&Sustainable Streets
157,General Fund - Purchasing - General Office
158,General Fund - Community Health Services - Medical Service
