program_code_id,program_code
1,CAP
2,OPR
3,EVENT
4,MAINT
5,RCVY
6,ADMIN
7,CAPCP
8,TECH
9,MAINC
10,TECHC
11,0
12,DHH
13,DA5
14,DBG
15,DHA
16,FAL
17,DSP
18,DPM
19,DPC
20,DPD
21,DPH
22,DPE
23,DPB
24,DMF
25,FDM
26,DPO
27,DHP
28,D1H
29,DMS
30,EEH
31,EEJ
32,EER
33,EEO
34,EEP
35,EES
36,EEN
37,EEM
38,EEI
39,EEB
40,EEC
41,EGE
42,EGD
43,EID
44,EGH
45,EIB
46,EEF
47,EXX
48,ECS
49,CAQ
50,D3O
51,D6P
52,FAM
53,DMM
54,EIA
55,ECD
56,EAB
57,ECI
58,EED
59,FCG
60,FAE
61,FC2
62,FAH
63,FDP
64,FFP
65,ECR
66,ECQ
67,EAC
68,EAA
69,ECE
70,EAE
71,FDG
72,FDO
73,FEB
74,FDC
75,FFG
76,FCH
77,FET
78,FFO
79,FFH
80,FFK
81,FCC
82,FFI
83,FEQ
84,FFB
85,ASG
86,FER
87,AUA
88,FAC
89,AME
90,FAV
91,FFL
92,FCV
93,BK4
94,XXX
95,BAK
96,FCB
97,BTO
98,FEE
99,FCW
100,FCT
101,EIJ
102,BK6
103,FFJ
104,BIU
105,FC4
106,FC8
107,FC9
108,FC5
109,FDE
110,FAR
111,FFC
112,FEA
113,FAB
114,CGD
115,CAN
116,EDC
117,FCO
118,FCS
119,FXX
120,CAF
121,CFC
122,FCZ
123,CBK
124,CVP
125,CAZ
126,CIO
127,CIP
128,CPH
129,CBI
130,FCM
131,FEG
132,FCN
133,FCQ
134,FCL
135,CIT
136,BA1
137,CAD
138,CAO
139,CAM
140,CAI
141,CAL
142,CXX
143,CAW
144,CAK
145,CCC
146,AKB
147,BIR
148,CIG
149,CIU
150,CIQ
151,CIR
152,CIS
153,BAI
154,ACB
155,ACV
156,ACM
157,ACX
158,ACP
159,AKI
160,AMC
161,AFC
162,ASP
163,AFT
164,ASB
165,AFS
166,AFP
167,AKR
168,AMN
169,AIK
170,BG1
171,BGF
172,BG2
173,BGT
174,BZZ
175,BXX
176,BIZ
177,BIV
178,AIA
179,AIE
180,AAD
181,AEM
182,AGE
183,AEL
184,AEC
185,API
186,ATR
187,AKE
188,AKC
189,AC5
190,BGR
191,BAH
192,BAN
193,BIS
194,BK5
195,BFS
196,BL1
197,BAM
198,BAR
199,BAW
200,BAG
201,BAA
202,BKJ
203,BA2
204,BAZ
205,BPS
206,BE5
207,BEN
208,BE0
209,BE6
210,BDA
211,BCP
212,BDO
213,BDG
214,BCC
215,BCB
216,BAT
217,BE1
218,BEG
219,BE2
220,BCI
221,BCA
222,BDJ
223,BDK
224,BDM
225,BKO
226,BK9
227,BKY
228,BKD
229,BKW
230,BKZ
231,FDF
232,FDD
233,AMT
234,BCU
235,BCR
236,BAX
237,BDC
238,DBD
239,DQM
240,FAU
241,FAJ
242,FEY
243,FFN
244,FAT
245,FA2
246,FFM
247,FC3
248,FEF
249,FFF
250,BIT
251,D1P
252,D3A
253,EEQ
254,EEA
255,FDK
256,EEG
257,FDJ
258,FDL
259,FAA
260,CBF
261,FEH
262,EGF
263,FAQ
264,D3C
265,DLT
266,D5E
267,D5S
268,EGG
269,D1F
270,BG4
271,BG3
272,BGS
273,BG6
274,BGQ
275,BG7
276,AIB
277,BG9
278,BIW
279,BIY
280,ASI
281,AMS
282,AML
283,AID
284,AIH
285,AIJ
286,ASC
287,BG5
288,AKS
289,AKF
290,AIF
291,AII
292,BG8
293,CAH
294,CAE
295,CAJ
296,ASH
297,EEE
298,AKG
299,CAG
300,BDI
301,BCT
302,BCS
303,BCV
304,FED
305,BCW
306,BE3
307,BDE
308,BDH
309,BCE
310,BK7
311,BEV
312,BE4
313,BEB
314,BE7
315,BDQ
316,BAC
317,EAP
318,ECU
319,CGU
320,CGP
321,BGP
322,CIM
323,CIF
324,CGV
325,ECY
326,FH1
327,CGQ
328,CGO
329,CIH
330,CGR
331,CGS
332,CGT
333,CIJ
334,BDR
335,BDP
336,BHS
337,FHC
338,BCL
339,FZA
340,AJU
341,EET
342,EEX
343,EEV
344,EEU
345,CRD
346,FFQ
347,ARS
348,ACA
349,BA8
350,AOS
351,AEH
352,FDX
353,FGR
354,FSP
355,DXX
356,DHT
357,DHM
358,FIT
359,DA4
360,AMB
361,BL3
362,CGW
363,CIY
364,EEY
365,DPA
366,FAY
367,BE9
368,BE8
369,FSR
370,BL2
371,COT
372,CSH
373,BC5
374,FD8
375,FD2
376,FD6
377,FD9
378,F10
379,CMN
380,BDN
381,FDY
382,FMJ
383,CBA
