program_id,program
1,Capital
2,Operating
3,Special Events
4,Maintenance
5,Disaster Recovery
6,Administrative
7,Capital-CPC Funded
8,Technology
9,Maintenance-CPC Funded
10,Technology-COIT Funded
11,Unspecified
12,Health At Home
13,Laguna Honda - Long Term Care
14,Laguna Honda Hosp - Acute Care
15,Central Administration
16,Children's Baseline
17,Comm Hlth - Comm Support - Housing
18,Comm Hlth - Prev - Maternal & Child Hlth
19,Comm Hlth - Prevention - Aids
20,Comm Hlth - Prevention - Disease Control
21,Comm Hlth - Prevention - Hlth Education
22,Emergency Services Agency
23,Environmental Health Services
24,Forensics - Ambulatory Care
25,General Fund
26,Occupational Safety & Health
27,Primary Care - Ambu Care - Health Cntrs
28,SFGH - Acute Care - Hospital
29,Substance Abuse - Community Care
30,Academy Of Sciences
31,Art Commission-Administration
32,Civic Collection
33,Community Arts & Education
34,Cultural Equity
35,Gallery
36,Public Art
37,Street Artists
38,Asian Arts Museum
39,Admissions
40,Oper & Maint Of Museums
41,Adult Services
42,Collection Technical Services
43,Facilites
44,Library Administration
45,Main Program
46,No Program Defined
47,Capital Projects
48,Children's Svcs - Non - Children's Fund
49,SFGH - Ambu Care - Occupational Health
50,SFGH - Long Term Care - Rf Psychiatry
51,Mental Health - Children's Program
52,Mental Health - Community Care
53,Rec & Park Administration
54,Structural Maintenance
55,Turf Management
56,Zoo Operations
57,Operations & Maintenance
58,Recorder
59,Clerk Of The Board
60,Legal Service
61,Citywide Planning
62,Current Planning
63,Environmental Planning
64,Citywide Facilities
65,Citywide Services
66,Development & Planning
67,Golden Gate Park
68,Marina Yacht Harbor
69,Neighborhood Services
70,Accounting Operations
71,City Services Auditor
72,"Management, Budget And Analysis"
73,Payroll And Personnel Services
74,Public Finance
75,Elections
76,Ethics Commission
77,311 Call Center
78,Facilities Mgmt & Operations
79,Fleet Management
80,Procurement Services
81,Real Estate Services
82,Grants For The Arts
83,Living Wage / Living Health (Mco/Hcao)
84,Medical Examiner
85,Neighborhood Beautification
86,Animal Welfare
87,City Administrator - Administration
88,County Clerk Services
89,Disability Access
90,Entertainment Commission
91,Civil Service Commission
92,Governance And Outreach
93,Operations
94,Reproduction Services
95,Technology Services:Public Safety
96,Health Service System
97,Administration
98,Risk Management / General
99,Tourism Events
100,Treasure Island
101,Vehicle & Equipment Main & Fueling
102,Employee Relations
103,Equal Employment Opportunity
104,Management Information System
105,Recruit/ Assess/ Client Services
106,Workers Compensation
107,Workforce Development
108,Affordable Housing
109,City Administration
110,Community Investment
111,Criminal Justice
112,Homeless Services
113,Employee Deferred Comp Plan
114,Business Tax Fund
115,Delinquent Revenue
116,General Fund Unallocated
117,Child Support Services Program
