sub_object_id,sub_object
1,Life Insurance
2,Indirect Cost Reimbursement
3,Social Security (OASDI & HI)
4,Rail Vehicle Supplies
5,Non-Air Travel - Employees
6,Auto Mileage
7,General Fund - Purchasing - Mail Services
8,Office Supply-Citywide Contrac
9,Department of Public Works/Water Power Equipment Maintenance
10,Dependent Coverage
11,General Fund - Risk Management Services (AAO)
12,Long Term Disability Insurance
13,Concession - Miscellaneous
14,Other Equipment Maint Supplies
15,Dental Coverage
16,Retiree Health Care - City Match Proposition C
17,Perm Salaries-Misc-Regular
18,Water and Sewage Treatment Supply
19,Social Sec-Medicare(HI Only)
20,Elimination - Transfer Adjustments - Sources City
21,Elimination - Transfer Adjustments - Uses City
22,Unemployment Insurance
23,Retiree City Miscellaneous
24,Prof & Specialized Svcs-Bdgt
25,Local Field Expense
26,Capital Renewal Projects
27,Prior Year Designated Reserve
28,Other Current Expenses
29,Materials & Supplies-Budget
30,Exp Rec Fr Child;Youth&Fam AAO
31,Flexible Benefit Package
32,Overtime - Scheduled Miscellaneous
33,Health Service - City Match
34,Non-Air Travel - Non-Employees
35,Misc Public Health Revenue
36,Advertising
37,Port - Miscellaneous Receipts
38,Expense Recovery From Public Utilities Commission (All Agency Operations)
39,"Buildings, Structures and Improvements Project Budget"
40,Rents and Leases - Equipment - Budget
41,Expense Recovery From Ethics Commission (All Agency Operations)
42,Department of Technology - Telecommunications Services
43,Training - Budget
44,Maint Svcs-Equipment-Budget
45,Polk Bush Retail
46,Premium Pay - Misc
47,Interfund Transfer Out to 5C - Cleanwater Program Fund
48,Interfund Transfer Out to 5H - General Hospital Fund
49,Fringe Adjustments - Budget
50,Bond Interest Expense
51,General Fund - Human Resources - Equal Employment Opportunity
52,Uniforms
53,County Adult Assistance Program - Post Adoption Employment Services Aid
54,General Fund - Sheriff
55,Other Materials and Supplies
56,Common Areas Maintenance Fees
57,Health Service - Retiree Subsidy
58,Retiree City Uniform (Police and Fire)
59,Discount Earned
60,Systems Consulting Services
61,Hospital Billing Outpatient Other Government Financial Class 112
62,Sales-Use Tax
63,Exp Rec Fr Bus&Enc Dev Non AAO
64,Patient Billing Outpatient Medicare Managed Health Maintenance Organization Financial Class 110
65,Vehicle Maintenance (Non Central Shops)
66,Community Based Organization Services
67,Other Construction Materials
68,Other Building Maintenance Supplies
69,Department Overhead
70,Elimination - Transfer Adjustments - Sources
71,San Francisco Transportation Authority
72,Department of Technology - Technology Projects
73,Medical Supplies
74,Rent Assistance on Behalf of Clients
75,Other Federal Grants
76,Fees Licenses Permits
77,Division Overhead
78,Other Overhead Charges
79,Other Equipment Rentals
80,Insurance - O-P Adj
81,Retiree Health - Match - Proposition B
82,Interpreters
83,Proceeds From Sale of Bond - Face Amount
84,Temporary Miscellaneous Regular Salaries
85,Construction Contracts
86,Hospital Billing Inpatient Medicare Managed Health Maintenance Organization Financial Class 110
87,Environmental Contractor - Consulting Services
88,Freight-Delivery
89,Misc Facilities Rental
90,Senior - Department of Public Works - Sewer Repair
91,Patient Billing Inpatient Medi-Cal Financial Class 107
92,Other Safety Expenses
93,Training Costs Paid To Vendors
94,General Fund - Police Security
95,Distinct Part Skilled Nursing Facility
96,"Audio-Visual Equipment and Supplies ($5,000 and Less)"
97,Communication Supplies
98,Exp Rec Fr Water Dept (AAO)
99,Credit Card Processing Fees
100,Misc-Other Timeoff
101,Other Bldg Maint Svcs
102,Cleaning Supplies
103,Postage
104,Misc-Vacation
105,Inventories-Usage
106,Other Equipment
107,Patient Billing Inpatient Medi-Cal Pending Financial Class 102
108,Software Licensing Fees
109,Bank Service Fee
110,Minor Data Processing Equipment
111,Miscellaneous - Sick Pay
112,Iv Solutions
