id,incident_number,incident_code,category,descript,day_of_the_week,date,time,police_dept_district,resolution,address,location_x_axis,location_y_axis
8032450728160,80324507,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Thursday,2008-03-27,20:30,Ingleside,None,300 Block Of Elliot St,-122.411397502507,37.71400777843
12057167228160,120571672,28160,Vandalism,"Malicious Mischief, Vandalism Of Vehicles",Thursday,2012-07-19,21:00,Southern,None,"9th St, Folsom St",-122.411612378034,37.7737679567236
4083423907055,40834239,7055,VehicleTheft,Recovered Vehicle - Stolen Outside Sf,Thursday,2004-07-22,10:35,Bayview,None,800 Block Of Ingerson Avenue,-122.389782050891,37.7171852095583
7600409006244,76004090,6244,Larceny/theft,Grand Theft From Locked Auto,Friday,2007-01-12,20:45,Northern,None,"Buchanan St, Union St",-122.43220809844,37.7975061678802
4022771928150,40227719,28150,Vandalism,"Malicious Mischief, Vandalism",Wednesday,2004-02-25,22:00,Mission,None,3200 Block Of 23rd St,-122.418055151685,37.7539240929444
3013313264020,30133132,64020,Non-criminal,"Aided Case, Mental Disturbed",Saturday,2003-02-01,15:03,Mission,Psychopathic Case,100 Block Of Dolores St,-122.426498862825,37.7674714767603
10021572164080,100215721,64080,SuspiciousOcc,Suspicious Person,Sunday,2010-03-07,10:00,Richmond,None,500 Block Of Johnfkennedy Dr,-122.466204667893,37.7725405391593
7091693206150,70916932,6150,Larceny/theft,Attempted Grand Theft From Person,Thursday,2007-09-06,16:30,Northern,None,"Laguna St, Geary Bl",-122.427991151911,37.7849531241612
6097134406153,60971344,6153,Larceny/theft,Grand Theft From Person,Monday,2006-09-11,19:00,Southern,None,0 Block Of 6th St,-122.40942036456,37.7816150265786
3061712006241,30617120,6241,Larceny/theft,Petty Theft From Locked Auto,Tuesday,2003-05-20,23:07,Southern,"Arrest, Booked",400 Block Of 10th St,-122.410443067314,37.7709905424552
9050873530190,90508735,30190,OtherOffenses,Violation Of Municipal Police Code,Saturday,2009-05-16,09:56,Tenderloin,"Arrest, Cited",300 Block Of Ellis St,-122.411965795229,37.7849141859562
3049758006361,30497580,6361,Larceny/theft,Petty Theft Shoplifting,Monday,2003-04-28,17:22,Northern,"Arrest, Booked",1600 Block Of Union St,-122.426473957204,37.798291291684
