incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,computer_aided_dispatch_number,report_type_code,report_type_description,is_filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,centerline_node_network,police_district,analysis_neighborhood,supervisor_district,supervisor_district_2012,latitude,longitude
2022-09-04 17:09:00,2022-09-04,17:09:00,2022,Sunday,2022-09-04 17:09:00,118924575000,1189245,220597833,222472205,IS,Initial Supplement,True,75000,Missing Person,Missing Person,Found Person,Unfounded,"Santos St , Sunnydale Ave",20433000,Ingleside,Visitacion valley,10,10,37.71234893798828,-122.41828155517578
2022-12-09 13:30:00,2022-12-09,13:30:00,2022,Friday,2022-12-09 18:18:00,122288963010,1222889,220844894,223431776,II,Initial,True,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,"Lakeshore Plz , Sloat Blvd",33724000,Taraval,Sunset/parkside,4,7,37.73405075073242,-122.49044036865234
2023-06-26 15:00:00,2023-06-26,15:00:00,2023,Monday,2023-06-26 15:00:00,129004903401,1290049,230418661,230672881,IS,Initial Supplement,True,3401,Robbery,Robbery - Commercial,"Shoplifting, Force against Agent",Open or Active,"Powell St , Sutter St",24909000,Central,Nob hill,3,3,37.78922653198242,-122.4085922241211
2023-02-26 13:15:00,2023-02-26,13:15:00,2023,Sunday,2023-02-26 15:14:00,124867172000,1248671,230140438,230571843,II,Initial,True,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,"20th Ave , Ulloa St",23171000,Taraval,Sunset/parkside,4,4,37.74113845825195,-122.47663116455078
2023-01-06 08:00:00,2023-01-06,08:00:00,2023,Friday,2023-01-31 09:44:00,124004071013,1240040,230074536,230310915,VI,Vehicle Initial,True,71013,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",Open or Active,"Bowdoin St , Olmstead St",20852000,Bayview,Portola,9,9,37.72102737426758,-122.40852355957033
2023-02-07 17:00:00,2023-02-07,17:00:00,2023,Tuesday,2023-02-08 07:44:00,124250507025,1242505,230093558,230390519,VI,Vehicle Initial,True,7025,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Truck",Open or Active,"Central Ave , Mcallister St",26373000,Park,Lone mountain/usf,2,5,37.77695846557617,-122.4449691772461
2023-02-26 11:40:00,2023-02-26,11:40:00,2023,Sunday,2023-02-26 12:55:00,124863806243,1248638,230140115,230571492,II,Initial,True,6243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,"Fillmore St , Sutter St",26607000,Northern,Pacific heights,5,5,37.78608703613281,-122.43327331542967
2019-04-10 13:00:00,2019-04-10,13:00:00,2019,Wednesday,2019-04-10 20:03:00,78909715200,789097,190255599,191003967,II,Initial,True,15200,Offences Against The Family And Children,Other,Domestic Violence (secondary only),Open or Active,"Missouri St , Turner Ter",23638000,Bayview,Potrero hill,10,10,37.75704193115234,-122.39568328857422
2019-02-07 23:53:00,2019-02-07,23:53:00,2019,Thursday,2019-02-08 00:01:00,76777311012,767773,190096359,190384185,II,Initial,True,11012,Stolen Property,Stolen Property,"Stolen Property, Possession with Knowledge, Receiving",Cite or Arrest Adult,"Harlan Pl , Mark Ln",50227000,Central,Fimissioncial district/south beach,3,3,37.79019927978516,-122.40467071533205
2023-02-11 01:00:00,2023-02-11,01:00:00,2023,Saturday,2023-02-11 06:31:00,124348374000,1243483,230101327,230420430,II,Initial,True,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,"16th Ave , Cabrillo St",27454000,Richmond,Outer richmond,1,1,37.77487564086914,-122.47468566894533
2018-09-11 11:00:00,2018-09-11,11:00:00,2018,Tuesday,2018-09-11 12:40:00,71324404134,713244,180687827,182541863,II,Initial,True,4134,Assault,Simple Assault,Battery,Open or Active,"Mission St , Pope St",21483000,Ingleside,Outer mission,11,11,37.715431213378906,-122.44180297851562
