per_month_incident_date,incident_category,analysis_neighborhood,count,geolocation_x_axis,geolocation_y_axis
2018-02-01,Burglary,Outer Mission,1,-122.46255493164062,37.70965576171875
2018-02-01,Burglary,Outer Mission,1,-122.4654769897461,37.70944595336914
2018-02-01,Burglary,Outer Mission,1,-122.43497335435859,37.72817129450155
2018-02-01,Burglary,Outer Mission,1,-122.4263916015625,37.73367691040039
2018-02-01,Burglary,Outer Mission,1,-122.43808472880306,37.72786053209599
2018-02-01,Burglary,Outer Mission,1,-122.4393500745512,37.722733432012106
2018-02-01,Burglary,Outer Mission,1,-122.43917083740234,37.721832275390625
2018-02-01,Burglary,Outer Mission,1,-122.44054412841797,37.722373962402344
2018-02-01,Burglary,Outer Mission,2,-122.4451278735352,37.720086703515015
2018-02-01,Burglary,Outer Richmond,1,-122.48473226253812,37.78009258159099
2018-02-01,Burglary,Outer Richmond,1,-122.48445892333984,37.776302337646484
2018-02-01,Burglary,Outer Richmond,1,-122.48110961914062,37.77458190917969
2018-02-01,Burglary,Outer Richmond,1,-122.48004001662785,37.774632347243546
2018-02-01,Burglary,Outer Richmond,1,-122.48138427734375,37.77831268310547
2018-02-01,Burglary,Outer Richmond,1,-122.48151572367084,37.78022581795078
2018-02-01,Burglary,Outer Richmond,1,-122.47257232666016,37.7768440246582
2018-02-01,Burglary,Outer Richmond,2,-122.4742431640625,37.78437042236328
2018-02-01,Burglary,Outer Richmond,1,-122.47424554120744,37.78437045480409
2018-02-01,Burglary,Outer Richmond,1,-122.49129886316926,37.78172607189762
2018-02-01,Burglary,Pacific Heights,1,-122.42706298828125,37.788787841796875
2018-02-01,Burglary,Pacific Heights,1,-122.43219742929644,37.786221855378045
2018-02-01,Burglary,Pacific Heights,1,-122.43345642089844,37.78702163696289
2018-02-01,Burglary,Pacific Heights,1,-122.43455772227033,37.79247163604224
2018-02-01,Burglary,Pacific Heights,1,-122.43438048549993,37.791591649822166
2018-02-01,Burglary,Pacific Heights,2,-122.42909226976653,37.79045949832417
2018-02-01,Burglary,Pacific Heights,1,-122.4393081665039,37.79097366333008
2018-02-01,Burglary,Portola,1,-122.41328430175781,37.729888916015625
2018-02-01,Burglary,Portola,1,-122.40951538085938,37.72343063354492
2018-02-01,Burglary,Portola,1,-122.40643130988887,37.71975378250809
2018-02-01,Burglary,Portola,1,-122.40073581863834,37.720408882369306
2018-02-01,Burglary,Potrero Hill,1,-122.39859315175997,37.75368474505065
2018-02-01,Burglary,Potrero Hill,1,-122.38831553235394,37.75793970427954
2018-02-01,Burglary,Potrero Hill,1,-122.38855743408203,37.76049041748047
2018-02-01,Burglary,Potrero Hill,1,-122.40425872802734,37.76211166381836
2018-02-01,Burglary,Potrero Hill,1,-122.40425877441254,37.76211267084488
2018-02-01,Burglary,Presidio Heights,1,-122.45248031610757,37.79018907973622
2018-02-01,Burglary,Presidio Heights,1,-122.45187543875197,37.784126740312644
2018-02-01,Burglary,Presidio Heights,1,-122.4454021982152,37.78743816465099
2018-02-01,Burglary,Russian Hill,1,-122.41940178531726,37.79259308227565
2018-02-01,Burglary,Russian Hill,1,-122.42158508300781,37.79502868652344
2018-02-01,Burglary,Russian Hill,1,-122.42010952520249,37.796094568589005
2018-02-01,Burglary,Russian Hill,1,-122.41721777251976,37.798472152958226
2018-02-01,Burglary,Russian Hill,2,-122.41834134357661,37.804070021360474
2018-02-01,Burglary,Russian Hill,1,-122.41979728056106,37.80292682687766
2018-02-01,Burglary,Russian Hill,1,-122.4241705655949,37.7994845314223
2018-02-01,Burglary,Russian Hill,1,-122.42200469970703,37.80549621582031
2018-02-01,Burglary,Russian Hill,1,-122.42200682265661,37.80549664761133
2018-02-01,Burglary,Russian Hill,1,-122.42365264892578,37.8052864074707
2018-02-01,Burglary,Seacliff,1,-122.47550201416016,37.78618240356445
2018-02-01,Burglary,Seacliff,1,-122.4852066040039,37.78893280029297
2018-02-01,Burglary,South of Market,1,-122.40542473566995,37.77129635185078
2018-02-01,Burglary,South of Market,1,-122.39630620520737,37.780096449695144
2018-02-01,Burglary,South of Market,1,-122.39574432373047,37.7776985168457
2018-02-01,Burglary,South of Market,1,-122.39574395575234,37.77769841953334
2018-02-01,Burglary,South of Market,1,-122.4019775390625,37.77647018432617
2018-02-01,Burglary,South of Market,1,-122.40204620361328,37.77396774291992
2018-02-01,Burglary,South of Market,2,-122.40204602769535,37.773967342195064
2018-02-01,Burglary,South of Market,1,-122.40363311767578,37.77516174316406
2018-02-01,Burglary,South of Market,1,-122.40506851040034,37.778068980491405
2018-02-01,Burglary,South of Market,2,-122.40388488769531,37.77900314331055
2018-02-01,Burglary,South of Market,1,-122.40388332830719,37.779005027647045
2018-02-01,Burglary,South of Market,1,-122.40237749311285,37.779458714779906
2018-02-01,Burglary,South of Market,1,-122.400146484375,37.78121566772461
2018-02-01,Burglary,South of Market,1,-122.40571594238281,37.780879974365234
2018-02-01,Burglary,South of Market,1,-122.40571874050352,37.780878373077506
2018-02-01,Burglary,South of Market,1,-122.40815734863281,37.78053665161133
2018-02-01,Burglary,South of Market,1,-122.40928649902344,37.779659271240234
2018-02-01,Burglary,South of Market,1,-122.40880584716797,37.779293060302734
2018-02-01,Burglary,South of Market,1,-122.4076919555664,37.7801628112793
2018-02-01,Burglary,South of Market,1,-122.41193341005338,37.780005867994824
2018-02-01,Burglary,South of Market,1,-122.41417694091797,37.77579879760742
2018-02-01,Burglary,South of Market,1,-122.41610717773438,37.77353286743164
2018-02-01,Burglary,South of Market,1,-122.41161011784295,37.773769345456756
2018-02-01,Burglary,South of Market,1,-122.41316110973679,37.77499175043618
2018-02-01,Burglary,South of Market,1,-122.41261666820427,37.77702641978903
2018-02-01,Burglary,South of Market,1,-122.4106107304721,37.77542835164442
2018-02-01,Burglary,South of Market,1,-122.40827178955078,37.77550506591797
2018-02-01,Burglary,South of Market,1,-122.40837860107422,37.77631759643555
2018-02-01,Burglary,South of Market,2,-122.41006277137103,37.77499179106878
2018-02-01,Burglary,South of Market,1,-122.40951952231052,37.77455216510685
2018-02-01,Burglary,South of Market,1,-122.40830955950402,37.77478711965587
2018-02-01,Burglary,South of Market,1,-122.40908314824856,37.77173210697335
2018-02-01,Burglary,South of Market,1,-122.40968304216152,37.772837756469265
2018-02-01,Burglary,South of Market,1,-122.41107177734375,37.77333450317383
2018-02-01,Burglary,South of Market,1,-122.40913391113281,37.77082061767578
2018-02-01,Burglary,South of Market,1,-122.40913437034878,37.77082024098187
2018-02-01,Burglary,South of Market,1,-122.40699768066406,37.770050048828125
2018-02-01,Burglary,South of Market,1,-122.41029357910156,37.782230377197266
2018-02-01,Burglary,South of Market,1,-122.41029202788059,37.78223057378371
2018-02-01,Burglary,South of Market,1,-122.40748596191406,37.78352737426758
2018-02-01,Burglary,South of Market,1,-122.40969326320398,37.78175432665782
2018-02-01,Burglary,South of Market,1,-122.40924544400873,37.781398133437946
2018-02-01,Burglary,South of Market,1,-122.39893341064453,37.78378677368164
2018-02-01,Burglary,South of Market,1,-122.4058310124795,37.78574398866823
2018-02-01,Burglary,Sunset/Parkside,1,-122.5019302368164,37.7493782043457
2018-02-01,Burglary,Sunset/Parkside,1,-122.50462044762067,37.741764680255315
2018-02-01,Burglary,Sunset/Parkside,2,-122.4922866821289,37.731971740722656
2018-02-01,Burglary,Sunset/Parkside,1,-122.49228431942139,37.731972939467106
2018-02-01,Burglary,Sunset/Parkside,1,-122.48426055908203,37.742671966552734
2018-02-01,Burglary,Sunset/Parkside,2,-122.48130798339844,37.746543884277344
2018-02-01,Burglary,Sunset/Parkside,3,-122.48131042513991,37.746543332034335
2018-02-01,Burglary,Sunset/Parkside,1,-122.48559732196733,37.746354085117034
2018-02-01,Burglary,Sunset/Parkside,1,-122.48585510253906,37.750083923339844
2018-02-01,Burglary,Sunset/Parkside,1,-122.4858571203103,37.750084562304316
2018-02-01,Burglary,Sunset/Parkside,1,-122.47754669189453,37.75419235229492
2018-02-01,Burglary,Sunset/Parkside,1,-122.47754850449316,37.7541927113405
2018-02-01,Burglary,Sunset/Parkside,1,-122.48114752500436,37.759643041208484
2018-02-01,Burglary,Sunset/Parkside,1,-122.47668417831322,37.757968980815505
2018-02-01,Burglary,Sunset/Parkside,1,-122.50926971435547,37.762142181396484
2018-02-01,Burglary,Sunset/Parkside,2,-122.50926908111617,37.76214292060292
2018-02-01,Burglary,Sunset/Parkside,1,-122.50911129148426,37.758414452706255
2018-02-01,Burglary,Tenderloin,2,-122.41348740024354,37.77999173926721
2018-02-01,Burglary,Tenderloin,1,-122.4136734008789,37.78092575073242
2018-02-01,Burglary,Tenderloin,1,-122.4147412230519,37.77871942789032
2018-02-01,Burglary,Tenderloin,1,-122.41969356688878,37.7772998550869
2018-02-01,Burglary,Tenderloin,1,-122.40993054405932,37.78742932998812
2018-02-01,Burglary,Tenderloin,1,-122.40803527832031,37.78641128540039
2018-02-01,Burglary,Tenderloin,1,-122.40803623744476,37.78640961281089
2018-02-01,Burglary,Tenderloin,1,-122.40949752694894,37.78528291631406
2018-02-01,Burglary,Tenderloin,1,-122.40977511008917,37.78665887330192
2018-02-01,Burglary,Tenderloin,1,-122.41214750780264,37.78589292711297
2018-02-01,Burglary,Tenderloin,2,-122.41499328613281,37.787452697753906
2018-02-01,Burglary,Tenderloin,1,-122.41499542426826,37.787453843203366
2018-02-01,Burglary,Tenderloin,1,-122.42121887207031,37.78523254394531
2018-02-01,Burglary,Tenderloin,1,-122.42121645936334,37.7852326274979
