"pdid","incidntnum","incident_code","category","descript","dayofweek","date","time","pddistrict","resolution","address","x","y","location",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_yftq_j783",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_bh8s_q3mv",":@computed_region_fyvs_ahh9",":@computed_region_9dfj_4gjx",":@computed_region_n4xg_c4py",":@computed_region_4isq_27mq",":@computed_region_fcz8_est8",":@computed_region_pigm_ib2e",":@computed_region_9jxd_iqea",":@computed_region_6pnf_4xz7",":@computed_region_6ezc_tdp2",":@computed_region_h4ep_8xdi",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_jwn9_ihcz"
"8045726165015","080457261","65015","OTHER OFFENSES","TRAFFIC VIOLATION","Thursday","2008-05-01T00:00:00.000","17:36","NORTHERN","ARREST, CITED","TURK ST / FILLMORE ST","-122.432142776025","37.780495583709","POINT (-122.432142776025 37.780495583709)","97","4","11","39","15","9","11","29490","41",,,,,,,"2",,,,,"97"
"6134181306242","061341813","06242","LARCENY/THEFT","PETTY THEFT FROM LOCKED AUTO","Monday","2006-12-18T00:00:00.000","20:55","SOUTHERN","NONE","700 Block of FOLSOM ST","-122.399724574663","37.7832351787318","POINT (-122.399724574663 37.7832351787318)","32","1","10","34","6","2","9","28853","34",,,,,,"4","2",,,,,"32"
"5015587106112","050155871","06112","LARCENY/THEFT","GRAND THEFT PICKPOCKET","Monday","2005-02-07T00:00:00.000","02:00","MISSION","NONE","400 Block of CASTRO ST","-122.435150099812","37.7617597243598","POINT (-122.43515009981202 37.7617597243598)","38","3","5","5","15","4","5","28862","3","1",,"1","5","1","9","1",,,"5",,"38"
"13021040672000","130210406","72000","NON-CRIMINAL","FOUND PROPERTY","Wednesday","2013-03-13T00:00:00.000","13:00","NORTHERN","NONE","900 Block of MCALLISTER ST","-122.428464085513","37.7791067704679","POINT (-122.428464085513 37.7791067704679)","97","4","11","39","7","9","11","29490","41",,,,,,,"2",,,,,"97"
"7102397605041","071023976","05041","BURGLARY","BURGLARY OF RESIDENCE, FORCIBLE ENTRY","Friday","2007-10-05T00:00:00.000","13:00","INGLESIDE","NONE","200 Block of HARKNESS AV","-122.402120815758","37.7174337641622","POINT (-122.40212081575801 37.7174337641622)","91","9","9","40","10","7","8","309","39",,,,,,,"2",,,,,"91"
"12029700075000","120297000","75000","MISSING PERSON","FOUND PERSON","Saturday","2012-04-14T00:00:00.000","16:00","PARK","NONE","0 Block of DOUGLASS ST","-122.439480427224","37.7628492491536","POINT (-122.43948042722401 37.7628492491536)","113","7","5","5","15","5","5","28862","3",,,,,,,"1",,,,,"113"
"7114535464080","071145354","64080","SUSPICIOUS OCC","SUSPICIOUS PERSON","Wednesday","2007-11-07T00:00:00.000","23:22","NORTHERN","ARREST, CITED","LARKIN ST / OFARRELL ST","-122.417903977564","37.7851670875517","POINT (-122.41790397756398 37.7851670875517)","20","5","10","36","7","9","9","28858","36",,,,,,"6","2","1","1",,,"20"
"12007215307021","120072153","07021","VEHICLE THEFT","STOLEN AUTOMOBILE","Wednesday","2012-01-25T00:00:00.000","23:00","MISSION","NONE","1200 Block of TREAT AV","-122.41283040295","37.7501495078008","POINT (-122.41283040295001 37.7501495078008)","53","3","2","20","2","4","7","28859","19",,,,"3",,,"2",,,"3",,"53"
"13602389771000","136023897","71000","NON-CRIMINAL","LOST PROPERTY","Monday","2013-01-28T00:00:00.000","12:30","BAYVIEW","NONE","PALOU AV / 3RD ST","-122.390971734551","37.7340152180723","POINT (-122.390971734551 37.7340152180723)","87","2","9","1","10","3","8","58","1","11",,"13",,"13",,"2",,,,,"87"
"5138600165016","051386001","65016","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Friday","2005-12-09T00:00:00.000","19:30","MISSION","ARREST, CITED","MISSION ST / 23RD ST","-122.418596727467","37.7538382048546","POINT (-122.41859672746702 37.7538382048546)","53","3","2","20","2","4","7","28859","19",,,,"3",,,"2",,,"3",,"53"
"8076223604134","080762236","04134","ASSAULT","BATTERY","Sunday","2008-07-20T00:00:00.000","11:30","SOUTHERN","ARREST, CITED","100 Block of 3RD ST","-122.401692264348","37.7860646749873","POINT (-122.401692264348 37.7860646749873)","32","1","10","8","12","2","9","28853","6",,,,,,"4","1",,,,,"32"
"3067094607021","030670946","07021","VEHICLE THEFT","STOLEN AUTOMOBILE","Monday","2003-06-02T00:00:00.000","23:00","MISSION","NONE","HAMPSHIRE ST / MARIPOSA ST","-122.40830390455","37.7631223371682","POINT (-122.40830390455001 37.7631223371682)","53","3","9","20","8","4","8","28859","19",,,,"3",,,"2",,,"3",,"53"
"7050587028150","070505870","28150","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","2007-05-17T00:00:00.000","10:00","TARAVAL","NONE","400 Block of TARAVAL ST","-122.470810448373","37.7433189391504","POINT (-122.47081044837302 37.7433189391504)","44","10","8","41","1","8","4","29491","40",,,,,,,"1",,,,,"44"
