"by_month_incident_date","incident_category","analysis_neighborhood","count","point"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42157745361328 37.76169967651367)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42157840187744 37.761700908167974)"
"2019-05-01T00:00:00.000","Lost Property","Mission","2","POINT (-122.42166247826907 37.76257883049033)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42081451416016 37.761749267578125)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42081273666224 37.761747492495125)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42169189453125 37.762916564941406)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42173152253879 37.7632997673923)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.42189025878906 37.76491928100586)"
"2019-05-01T00:00:00.000","Lost Property","Mission","3","POINT (-122.42047882080078 37.7650032043457)"
"2019-05-01T00:00:00.000","Lost Property","Mission","4","POINT (-122.41966897380142 37.76505133632968)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41358757032155 37.76382320609948)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41310524380863 37.7654476075275)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41048431396484 37.76560592651367)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.4103637500852 37.76430998385109)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.40669900268833 37.75683373380551)"
"2019-05-01T00:00:00.000","Lost Property","Mission","2","POINT (-122.40849924216333 37.756054713668725)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41204833984375 37.75423049926758)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41968536376953 37.756988525390625)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.4211196899414 37.756900787353516)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41985794392231 37.75536572869792)"
"2019-05-01T00:00:00.000","Lost Property","Mission","1","POINT (-122.41626739501953 37.75237274169922)"
