by_month_incident_date,incident_category,analysis_neighborhood,count,point
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.4255142211914 37.772735595703125)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.42551205721274 37.772734311063964)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42560577392578 37.77320098876953)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42899322509766 37.77324676513672)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42696962586282 37.77159265292792)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.4300765991211 37.77024459838867)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43035456358812 37.77163980667358)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43411254882812 37.7735481262207)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43410901176355 37.77354937574232)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.43429565429688 37.77447509765625)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43612670898438 37.77520751953125)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43612896530242 37.775205930166145)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43486022949219 37.777278900146484)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43448638916016 37.77541732788086)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43283081054688 37.77562713623047)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43302917480469 37.77655029296875)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.43138442446295 37.77675967691884)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,3,POINT (-122.43101501464844 37.77490234375)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43101153953138 37.774902830394026)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.43264862280408 37.774692659698076)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.4291763305664 37.7741813659668)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42936706542969 37.77511215209961)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.4276310004111 37.774857948188554)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.42588849947774 37.774598784465354)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42754364013672 37.77438735961914)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42736053466797 37.77345657348633)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.42735743676651 37.773455461431)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42569732666016 37.77366638183594)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42570021089418 37.7736662286543)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42419913844421 37.77433621513843)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42250219093546 37.77455093061696)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42438507080078 37.775272369384766)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,3,POINT (-122.42438696500791 37.77527093082994)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42413330078125 37.77482604980469)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42432403564453 37.775753021240234)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42279052734375 37.77595138549805)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42288208007812 37.77641677856445)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,3,POINT (-122.42451477050781 37.77668762207031)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42636108398438 37.77693176269531)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42635903569699 37.77693018292675)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.42955405793654 37.776044284872675)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42664337158203 37.77832794189453)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42654418945312 37.777862548828125)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,2,POINT (-122.42645263671875 37.77738952636719)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.4230728149414 37.77735137939453)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,3,POINT (-122.42316555401516 37.77781524516056)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,3,POINT (-122.42335510253906 37.77874755859375)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42499542236328 37.77853775024414)
2020-04-01T00:00:00.000,Larceny Theft,Hayes Valley,1,POINT (-122.42499816810782 37.77853792781995)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46962703232886 37.78076873794362)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46949470076126 37.778849093044656)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.47029876708984 37.77507781982422)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.4649429321289 37.77532196044922)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46494209192046 37.77532094545078)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46173095703125 37.77546691894531)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46401060251718 37.77723477802328)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46842956542969 37.77889633178711)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46307618146837 37.779138611039535)
2020-04-01T00:00:00.000,Larceny Theft,Inner Richmond,1,POINT (-122.46414184570312 37.779090881347656)
