incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
4067999,0,40679990,1995 Evans Avenue,2004-09-02,42460226,2004-09-02 14:20:36,2004-09-02 14:24:11,2004-09-02 14:36:49,San Francisco,94124,B10,9,629.0,1,4,0,0,0,0,E09,0,0,0,0,0,0,1,"100  -  Fire, other",Other aid given,11  -  Extinguish,86  -  Investigate,86  -  Investigate,U  -  Unknown,936  -  Vacant lot,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,10.0,Bayview Hunters Point,"-122.3961023, 37.74730997",2004-09-02 15:06:43,2025-06-01 02:18:08
4068001,0,40680010,535 Raymond Avenue,2004-09-02,42460228,2004-09-02 14:25:46,2004-09-02 14:30:12,2004-09-02 14:37:09,San Francisco,94107,B09,44,629.0,1,5,0,0,0,0,E43,0,0,0,0,0,0,1,"331  -  Lock - in (if lock out , use 511 )",Other aid given,52  -  Forcible entry,86  -  Investigate,86  -  Investigate,U  -  Unknown,"962  -  Residential street, road or residential dr","24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,10.0,Visitacion Valley,"-122.414276, 37.715098",2004-09-03 07:52:38,2025-06-01 02:18:08
4068003,0,40680030,528 Valencia Street,2004-09-02,42460231,2004-09-02 14:28:25,2004-09-02 14:32:16,2004-09-02 14:38:38,San Francisco,94110,B02,7,629.0,3,10,0,0,0,0,T07,0,0,0,0,0,0,1,"715  -  Local alarm sys., Malicious False alarm",Other aid given,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,429  -  Multifamily dwellings,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,9.0,Mission,"-122.421926, 37.764421",2004-09-02 23:17:05,2025-06-01 02:18:08
4068008,0,40680080,3rd Street / Palou Avenue,2004-09-02,42460237,2004-09-02 14:58:31,2004-09-02 15:01:39,2004-09-02 15:03:03,San Francisco,94124,B10,17,629.0,1,4,0,0,0,0,E17,0,0,0,0,0,0,1,"651  -  Smoke scare, odor of smoke",Other aid given,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,963  -  Street or road in commercial area,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,10.0,Bayview Hunters Point,"-122.390972, 37.734015",2004-09-02 20:47:26,2025-06-01 02:18:08
4068009,0,40680090,3850 18th Street,2004-09-02,42460238,2004-09-02 14:59:36,2004-09-02 15:02:20,2004-09-02 15:12:24,San Francisco,94114,B02,6,629.0,1,4,0,0,0,0,E06,0,0,0,0,0,0,1,553  -  Public service,Other aid given,"70  -  Assistance, other",86  -  Investigate,86  -  Investigate,U  -  Unknown,419  -  1 or 2 family dwelling,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,8.0,Castro/Upper Market,"-122.429491, 37.761274",2004-09-02 18:56:08,2025-06-01 02:18:08
4068016,0,40680160,Broad Street / Capitol Avenue,2004-09-02,42460251,2004-09-02 15:30:25,2004-09-02 15:34:29,2004-09-02 15:35:05,San Francisco,94112,B09,33,629.0,2,9,0,0,0,0,E15,0,0,0,0,0,0,1,"711  -  Municipal alarm system, Street Box False",Other aid given,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,"962  -  Residential street, road or residential dr","24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,11.0,Oceanview/Merced/Ingleside,"-122.459024, 37.713172",2004-09-02 21:24:05,2025-06-01 02:18:08
4068017,0,40680170,414 45th Avenue,2004-09-02,42460252,2004-09-02 15:31:26,2004-09-02 15:34:14,2004-09-02 15:48:44,San Francisco,94121,B07,34,629.0,3,10,0,0,0,0,E34,0,0,0,0,0,0,1,733  -  Smoke detector activation/malfunction,Other aid given,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,419  -  1 or 2 family dwelling,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,1.0,Outer Richmond,"-122.5060902, 37.77905394",2004-09-03 00:57:13,2025-06-01 02:18:08
4068020,0,40680200,Sacramento Street / Van Ness Avenue,2004-09-02,42460255,2004-09-02 15:43:42,2004-09-02 15:49:02,2004-09-02 16:11:08,San Francisco,94109,B04,41,629.0,1,4,0,0,0,0,E41,0,0,0,0,0,0,1,"550  -  Public service assistance, other",Other aid given,"60  -  Systems and services, other",86  -  Investigate,86  -  Investigate,U  -  Unknown,599  -  Business office,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,3.0,Pacific Heights,"-122.422517, 37.791289",2004-09-03 07:07:01,2025-06-01 02:18:08
4068028,0,40680280,Divisadero Street / Turk Street,2004-09-02,42460263,2004-09-02 16:25:11,2004-09-02 16:27:40,2004-09-02 16:49:49,San Francisco,94115,B05,5,629.0,2,9,0,0,0,0,E05,0,0,0,0,0,0,1,"460  -  Accident, potential accident, other",Other aid given,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,429  -  Multifamily dwellings,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,5.0,Western Addition,"-122.438741, 37.779659",2004-09-02 17:04:20,2025-06-01 02:18:08
4068031,0,40680310,1651 Waller Street,2004-09-02,42460267,2004-09-02 16:34:47,2004-09-02 16:37:40,2004-09-02 16:49:10,San Francisco,94117,B05,12,629.0,4,12,0,0,0,0,E12,0,0,0,0,0,0,1,"730  -  System malfunction, other",Other aid given,86  -  Investigate,86  -  Investigate,86  -  Investigate,U  -  Unknown,419  -  1 or 2 family dwelling,"24  -  Cooking area, kitchen",2  -  Unintentional,11  -  Abandoned or discarded materials or p,,UU  -  Undetermined,"00  -  Item First Ignited, Other",N  -  None,1  - Enclosed building,2  - In normal use,1.0,17  - Structural member or framing,2.0,1.0,0.0,0.0,0.0,1  - Present,1  - Smoke,2  - Detector operated,"1  - Alerted occupants, occupants responded","0  - Detector failure reason, other",N  - None Present,1  - Wet - pipe sprinkler,3  - Fire too small to activate system,,0.0,8.0,Haight Ashbury,"-122.45126478, 37.76826549",2004-09-03 01:23:54,2025-06-01 02:18:08
