"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"23117532","0","231175320","299 ARGUELLO BL","2023-09-02T00:00:00.000","232451873","2023-09-02T14:35:08.000","2023-09-02T14:38:58.000","2023-09-02T14:53:55.000","San Francisco","94118","B07","10","7114","2","10","0","0","0","0",,,,"0","0","0","0","1","522 Water or steam leak","N None","86 Investigate",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"1","Inner Richmond","POINT (-122.459225 37.785122)","2023-09-02T14:53:55.000","2025-06-14T02:21:17.000"
"23117533","0","231175330","3045 JACKSON STREET","2023-09-02T00:00:00.000","232451887","2023-09-02T14:40:57.000","2023-09-02T14:45:09.000","2023-09-02T14:55:00.000","San Francisco","94115","B04","10","4334","1","4","0","0","0","0",,,,"0","0","0","0","1","411 Gasoline or other flammable liquid spill","N None","75 Provide equipment",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"2","Pacific Heights","POINT (-122.445212 37.791044)","2023-09-02T14:55:00.000","2025-06-14T02:21:17.000"
"23117546","0","231175460","44TH AVENUE","2023-09-02T00:00:00.000","232451972","2023-09-02T15:07:37.000","2023-09-02T15:14:07.000","2023-09-02T15:17:53.000","San Francisco","94116","B08","23","7665","1","4","0","0","0","0",,,,"0","0","0","0","1","440 Electrical  wiring/equipment problem, other","N None","45 Remove hazard",,,,"962 Residential street, road or residential driveway",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"4","Sunset/Parkside","POINT (-122.502344 37.740001)","2023-09-02T15:17:53.000","2025-06-14T02:21:17.000"
"23117554","0","231175540","768 47TH AVENUE","2023-09-02T00:00:00.000","232452020","2023-09-02T15:23:37.000","2023-09-02T15:27:49.000","2023-09-02T15:38:56.000","San Francisco","94121","B07","34","7277","3","10","0","0","0","0",,,,"0","0","0","0","1","735 Alarm system sounded due to malfunction","N None","86 Investigate",,,,"419 1 or 2 family dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"1","Outer Richmond","POINT (-122.507844 37.773958)","2023-09-02T15:38:56.000","2025-06-14T02:21:17.000"
"23117558","0","231175580","400 DE LONG STREET","2023-09-02T00:00:00.000","232452038","2023-09-02T15:28:28.000","2023-09-02T15:33:56.000","2023-09-02T16:12:42.000","San Francisco","94112","B09","33","8365","1","4","0","0","0","0",,,,"0","0","0","0","1","160 Special outside fire, other","N None","11 Extinguishment by fire service personnel",,,,"900 Outside or special property, other",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,,,"POINT (-122.466874 37.708207)","2023-09-02T16:12:42.000","2025-06-14T02:21:17.000"
"23117562","0","231175620","2519 PINE STREET","2023-09-02T00:00:00.000","232452057","2023-09-02T15:34:31.000","2023-09-02T15:37:47.000","2023-09-02T15:53:43.000","San Francisco","94115","B04","38","3651","3","10","0","0","0","0",,,,"0","0","0","0","1","733 Smoke detector activation due to malfunction","N None","86 Investigate",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Pacific Heights","POINT (-122.43728 37.787419)","2023-09-02T15:53:43.000","2025-06-14T02:21:17.000"
"23117570","0","231175700","754 OAK STREET","2023-09-02T00:00:00.000","232452119","2023-09-02T15:51:43.000","2023-09-02T15:56:03.000","2023-09-02T16:00:10.000","San Francisco","94117","B05","06","3632","2","5","0","0","0","0",,,,"0","0","0","0","1","412 Gas leak (natural gas or LPG)","N None","86 Investigate",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Hayes Valley","POINT (-122.431737 37.773922)","2023-09-02T16:00:10.000","2025-06-14T02:21:17.000"
"23117572","0","231175720","150 9TH STREET","2023-09-02T00:00:00.000","232452129","2023-09-02T15:54:19.000","2023-09-02T15:59:36.000","2023-09-02T16:03:22.000","San Francisco","94103","B02","36","2336","3","11","0","0","0","0",,,,"0","0","0","0","1","745 Alarm system activation, no fire - unintentional","N None","86 Investigate",,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"6","South of Market","POINT (-122.414113 37.77537)","2023-09-02T16:03:22.000","2025-06-14T02:21:17.000"
"23117582","0","231175820","715 HAIGHT STREET","2023-09-02T00:00:00.000","232452184","2023-09-02T16:16:02.000","2023-09-02T16:20:49.000","2023-09-02T16:30:17.000","San Francisco","94117","B05","21","4142","3","10","0","0","0","0",,,,"0","0","0","0","1","730 System malfunction, other","N None","80 Information, investigation & enforcement, other",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Haight Ashbury","POINT (-122.434019 37.771582)","2023-09-02T16:30:17.000","2025-06-14T02:21:17.000"
"23117588","0","231175880","225 BLYTHDALE AVENUE","2023-09-02T00:00:00.000","232452209","2023-09-02T16:23:33.000","2023-09-02T16:29:30.000","2023-09-02T16:39:38.000","San Francisco","94134","B09","43","6243","1","4","0","0","0","0",,,,"0","0","0","0","1","500 Service Call, other","N None","73 Provide manpower",,,,"960 Street, other",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"10","Visitacion Valley","POINT (-122.421335 37.711032)","2023-09-02T16:39:38.000","2025-06-14T02:21:17.000"
"23117592","0","231175920","309 LYON STREET","2023-09-02T00:00:00.000","232452275","2023-09-02T16:42:16.000","2023-09-02T16:44:50.000","2023-09-02T17:01:36.000","San Francisco","94117","B05","21","4351","1","4","0","0","0","0",,,,"0","0","0","0","1","500 Service Call, other","N None","00 Action taken, other",,,,"NNN None",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Lone Mountain/USF","POINT (-122.442678 37.773546)","2023-09-02T17:01:36.000","2025-06-14T02:21:17.000"
"23117596","0","231175960","40 PARKRIDGE DRIVE","2023-09-02T00:00:00.000","232452286","2023-09-02T16:44:56.000","2023-09-02T16:50:39.000","2023-09-02T16:58:18.000","San Francisco","94131","B06","24","5283","3","10","0","0","0","0",,,,"0","0","0","0","1","735 Alarm system sounded due to malfunction","N None","63 Restore fire alarm system",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"8","Twin Peaks","POINT (-122.445524 37.751574)","2023-09-02T16:58:18.000","2025-06-14T02:21:17.000"
"23117610","0","231176100","1780 23RD AVENUE","2023-09-02T00:00:00.000","232452351","2023-09-02T17:09:38.000","2023-09-02T17:13:38.000","2023-09-02T17:26:04.000","San Francisco","94122","B08","40","7431","3","10","0","0","0","0",,,,"0","0","0","0","1","113 Cooking fire, confined to container","N None","63 Restore fire alarm system",,,"1 Detector alerted occupants","429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"4","Sunset/Parkside","POINT (-122.4807 37.754439)","2023-09-02T17:26:04.000","2025-06-14T02:21:17.000"
"23117611","0","231176110","3725 WASHINGTON STREET","2023-09-02T00:00:00.000","232452355","2023-09-02T17:11:33.000","2023-09-02T17:18:46.000","2023-09-02T17:28:43.000","San Francisco","94118","B07","10","4433","1","5","0","0","0","0",,,,"0","0","0","0","1","551 Assist police or other governmental agency","N None","65 Secure property",,,,"419 1 or 2 family dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"2","Presidio Heights","POINT (-122.454379 37.788972)","2023-09-02T17:28:43.000","2025-06-14T02:21:17.000"
"23117612","0","231176120","1064 MISSION STREET","2023-09-02T00:00:00.000","232452357","2023-09-02T17:12:47.000","2023-09-02T17:17:05.000","2023-09-02T18:31:23.000","San Francisco","94103","B03","01","2251","7","27","1","2","1","2",,,,"0","0","0","0","1","154 Dumpster or other outside trash receptacle fire","N None","10 Fire control or extinguishment, other",,,,"429 Multifamily dwelling","46 Chute/container - trash, rubbish, waste","2 Unintentional","UU Undetermined",,"UU Undetermined","96 Rubbish, trash, waste","N None",,,,,"NA",,,,,,,,,,,,,,,"6","South of Market","POINT (-122.410208 37.779886)","2023-09-02T18:31:23.000","2025-06-14T02:21:17.000"
"23117614","0","231176140","729 UNION STREET","2023-09-02T00:00:00.000","232452384","2023-09-02T17:22:40.000","2023-09-02T17:30:57.000","2023-09-02T19:06:28.000","San Francisco","94133","B01","02","1422","1","5","2","4","0","0",,,,"0","0","0","0","1","311 Medical assist, assist EMS crew","N None","32 Provide basic life support (BLS)",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"3","Chinatown","POINT (-122.411244 37.800117)","2023-09-02T19:06:28.000","2025-06-14T02:21:17.000"
"23117618","0","231176180","540 JONES STREET","2023-09-02T00:00:00.000","232452416","2023-09-02T17:30:30.000","2023-09-02T17:33:33.000","2023-09-02T17:44:42.000","San Francisco","94102","B01","03","1462","8","32","1","2","1","2",,,,"0","0","0","0","1","552 Police matter","N None","86 Investigate",,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.412782 37.786362)","2023-09-02T17:44:42.000","2025-06-14T02:21:17.000"
"23117621","0","231176210","1566 35TH AVENUE","2023-09-02T00:00:00.000","232452444","2023-09-02T17:39:07.000","2023-09-02T17:42:55.000","2023-09-02T18:00:19.000","San Francisco","94122","B08","18","7563","3","10","0","0","0","0",,,,"0","0","0","0","1","730 System malfunction, other","N None","64 Shut down system",,,,"419 1 or 2 family dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"4","Sunset/Parkside","POINT (-122.493836 37.757846)","2023-09-02T18:00:19.000","2025-06-14T02:21:17.000"
"23117638","0","231176380","350 SENECA AVENUE","2023-09-02T00:00:00.000","232452527","2023-09-02T18:10:29.000","2023-09-02T18:14:04.000","2023-09-02T18:28:32.000","San Francisco","94112","B09","15","0833","3","11","0","0","0","0",,,,"0","0","0","0","1","744 Detector activation, no fire - unintentional","N None","86 Investigate",,,,"215 High school/junior high school/middle school",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"11","Outer Mission","POINT (-122.44503 37.721371)","2023-09-02T18:28:32.000","2025-06-14T02:21:17.000"
"23117639","0","231176390","289 MARINA BL","2023-09-02T00:00:00.000","232452542","2023-09-02T18:15:56.000","2023-09-02T18:18:16.000","2023-09-02T18:32:43.000","San Francisco","94123","B04","16","3561","7","27","1","2","1","2",,,,"0","0","0","0","1","743 Smoke detector activation, no fire - unintentional","N None","86 Investigate",,,,"429 Multifamily dwelling",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"2","Marina","POINT (-122.43719 37.806364)","2023-09-02T18:32:43.000","2025-06-14T02:21:17.000"
"23117645","0","231176450","LAKE STREET","2023-09-02T00:00:00.000","232452591","2023-09-02T18:32:53.000","2023-09-02T18:37:21.000","2023-09-02T20:29:24.000","San Francisco","94118","B07","31","7137","1","4","1","2","0","0",,,,"0","0","0","0","1","320 Emergency medical service incident, other","N None","31 Provide first aid & check for injuries",,,,"NNN None",,,,,,,,,,,,"NA",,,,,,,,,,,,,,,"1","Inner Richmond","POINT (-122.468977 37.786481)","2023-09-02T20:29:24.000","2025-06-14T02:21:17.000"
