"incident_number","exposure_number","id","address","incident_date","call_number","alarm_dttm","arrival_dttm","close_dttm","city","zipcode","battalion","station_area","box","suppression_units","suppression_personnel","ems_units","ems_personnel","other_units","other_personnel","first_unit_on_scene","estimated_property_loss","estimated_contents_loss","fire_fatalities","fire_injuries","civilian_fatalities","civilian_injuries","number_of_alarms","primary_situation","mutual_aid","action_taken_primary","action_taken_secondary","action_taken_other","detector_alerted_occupants","property_use","area_of_fire_origin","ignition_cause","ignition_factor_primary","ignition_factor_secondary","heat_source","item_first_ignited","human_factors_associated_with_ignition","structure_type","structure_status","floor_of_fire_origin","fire_spread","no_flame_spread","number_of_floors_with_minimum_damage","number_of_floors_with_significant_damage","number_of_floors_with_heavy_damage","number_of_floors_with_extreme_damage","detectors_present","detector_type","detector_operation","detector_effectiveness","detector_failure_reason","automatic_extinguishing_system_present","automatic_extinguishing_sytem_type","automatic_extinguishing_sytem_perfomance","automatic_extinguishing_sytem_failure_reason","number_of_sprinkler_heads_operating","supervisor_district","neighborhood_district","point","data_as_of","data_loaded_at"
"03050573","0","030505730","Baldwin Ct. / Oakdale Av.","2003-06-26T00:00:00.000","031770348","2003-06-26T15:40:06.000","2003-06-26T15:43:03.000","2003-06-26T15:43:11.000","SF","94124","B10","17",,"1","4","0","0","0","0","E17","0","0","0","0","0","0","1","520 - Water problem, other","None","60 - Systems and services, other",,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Bayview Hunters Point","POINT (-122.381401 37.72949)","2003-06-26T16:39:10.000","2025-06-01T02:18:08.000"
"03050574","0","030505740","Missouri St. / Watchman Wy.","2003-06-26T00:00:00.000","031770349","2003-06-26T15:43:07.000","2003-06-26T15:46:19.000","2003-06-26T16:04:43.000","SF","94107","B10","37",,"1","4","0","0","0","0","E37","0","0","0","0","0","0","1","500 - Service Call, other","None","00 - Action taken, other",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"10","Potrero Hill","POINT (-122.395763 37.755622)","2003-06-26T16:20:45.000","2025-06-01T02:18:08.000"
"03050577","0","030505770","133 Golden Gate Av.","2003-06-26T00:00:00.000","031770354","2003-06-26T15:51:10.000","2003-06-26T15:53:55.000","2003-06-26T16:02:22.000","SF","94102","B02","01",,"3","11","0","0","0","0","E03","0","0","0","0","0","0","1","733 - Smoke detector activation/malfunction","None","86 - Investigate",,,,"131 - Church/mosque/synagogue/temple/chapel",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Tenderloin","POINT (-122.412777 37.781933)","2003-06-26T16:54:17.000","2025-06-01T02:18:08.000"
"03050580","0","030505800","747 Howard St.","2003-06-26T00:00:00.000","031770357","2003-06-26T15:57:35.000","2003-06-26T15:59:50.000","2003-06-26T16:06:05.000","SF","94105","B03","01",,"3","11","0","0","0","0","E01","0","0","0","0","0","0","1","741 - Sprinkler activation/no fire-accidental","None","86 - Investigate",,,,"122 - Convention center, exhibition hall",,,,,,,,,,,,,,,,,,,,,,,,,,,"6","South of Market","POINT (-122.400813 37.783513)","2003-06-26T18:37:28.000","2025-06-01T02:18:08.000"
"03050582","0","030505820","3251 20th Av.","2003-06-26T00:00:00.000","031770359","2003-06-26T15:58:52.000","2003-06-26T16:04:25.000","2003-06-26T16:12:27.000","SF","94127","B08","19",,"1","4","0","0","0","0","E19","0","0","0","0","0","0","1","500 - Service Call, other","None","86 - Investigate",,,,"580 - General retail, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"7","Lakeshore","POINT (-122.476826 37.728471)","2003-06-26T16:17:57.000","2025-06-01T02:18:08.000"
"03050584","0","030505840","1 Sansome St.","2003-06-26T00:00:00.000","031770361","2003-06-26T16:01:20.000","2003-06-26T16:04:52.000","2003-06-26T16:13:45.000","SF","94104","B01","13",,"3","11","0","0","0","0","T13","0","0","0","0","0","0","1","740 - Unintentional alarm, other","None","63 - Restore fire alarm system","86 - Investigate",,,"599 - Business office",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","Financial District/South Beach","POINT (-122.40094 37.790485)","2003-06-26T17:42:41.000","2025-06-01T02:18:08.000"
"03050585","0","030505850","914 Ellsworth St.","2003-06-26T00:00:00.000","031770365","2003-06-26T16:04:38.000","2003-06-26T16:08:31.000","2003-06-26T16:13:37.000","SF","94134","B06","32",,"2","8","1","2","0","0","E42","0","0","0","0","0","0","1","552 - Police matter","None","86 - Investigate",,,,"419 - 1 or 2 family dwelling",,,,,,,,,,,,,,,,,,,,,,,,,,,"9","Bernal Heights","POINT (-122.41788214 37.73301231)","2003-06-26T16:28:56.000","2025-06-01T02:18:08.000"
"03050587","0","030505870","1715 Octavia St.","2003-06-26T00:00:00.000","031770367","2003-06-26T16:05:56.000","2003-06-26T16:08:16.000","2003-06-26T16:11:13.000","SF","94115","B04","38",,"3","12","0","0","0","0","T03","0","0","0","0","0","0","1","700 - False alarm or false call, other","None","86 - Investigate",,,,"210 - Schools, non-adult",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","Pacific Heights","POINT (-122.42723834 37.78862645)","2003-06-26T23:27:25.000","2025-06-01T02:18:08.000"
"03050588","0","030505880","3255 Laguna St.","2003-06-26T00:00:00.000","031770368","2003-06-26T16:07:11.000","2003-06-26T16:10:34.000","2003-06-26T16:32:39.000","SF","94123","B04","16",,"3","11","0","0","0","0","E16","0","0","0","0","0","0","1","730 - System malfunction, other","None","86 - Investigate",,,,"400 - Residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","Marina","POINT (-122.43144901 37.8012017)","2003-06-27T06:21:50.000","2025-06-01T02:18:08.000"
"03050590","0","030505900","3rd Av. / Geary Bl.","2003-06-26T00:00:00.000","031770371","2003-06-26T16:11:01.000","2003-06-26T16:13:46.000","2003-06-26T16:25:03.000","SF","94118","B07","31",,"2","9","0","0","0","0","E31","0","0","0","0","0","0","1","130 - Mobile property (vehicle) fire, other","None","11 - Extinguish",,,,"962 - Residential street, road or residential dr","83 - Engine area, running gear, wheel area","2 - Unintentional","20 - Mechanical failure, malfunction, othe",,"10 - Heat from powered equipment, other","62 - Flam. liq/gas-in/from engine or burne","N - None",,,,,,,,,,,,,,,,,,,,"1","Inner Richmond","POINT (-122.461063 37.781158)","2003-06-27T07:11:57.000","2025-06-01T02:18:08.000"
