incident_number,exposure_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,station_area,box,suppression_units,suppression_personnel,ems_units,ems_personnel,other_units,other_personnel,first_unit_on_scene,estimated_property_loss,estimated_contents_loss,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,mutual_aid,action_taken_primary,action_taken_secondary,action_taken_other,detector_alerted_occupants,property_use,area_of_fire_origin,ignition_cause,ignition_factor_primary,ignition_factor_secondary,heat_source,item_first_ignited,human_factors_associated_with_ignition,structure_type,structure_status,floor_of_fire_origin,fire_spread,no_flame_spread,number_of_floors_with_minimum_damage,number_of_floors_with_significant_damage,number_of_floors_with_heavy_damage,number_of_floors_with_extreme_damage,detectors_present,detector_type,detector_operation,detector_effectiveness,detector_failure_reason,automatic_extinguishing_system_present,automatic_extinguishing_sytem_type,automatic_extinguishing_sytem_perfomance,automatic_extinguishing_sytem_failure_reason,number_of_sprinkler_heads_operating,supervisor_district,neighborhood_district,point,data_as_of,data_loaded_at
9005752,0,90057520,100 34th Av.,2009-01-19T00:00:00.000,90190201,2009-01-19T15:22:16.000,2009-01-19T15:27:21.000,2009-01-19T16:05:37.000,SF,94121.0,B07,34,,3,10,0,0,0,0,B07,100.0,2000.0,0,0,0,0,1,111 - Building fire,,"10 - Fire, other",,,,152 - Museum,"20 - Function area, other",3 - Failure of equipment or heat source,"33 - Short cir. arc, defect/worn insulatio",,"10 - Heat from powered equipment, other","67 - Pipe, duct, conduit, hose covering",N - None,1 -Enclosed building,2 -In normal use,1.0,,1,1.0,0.0,0.0,0.0,1 -Present,5 -More than one type present,2 -Detector operated,"1 -Alerted occupants, occupants responded",,1 -Present,,,,0.0,1.0,Lincoln Park,POINT (-122.499515 37.784911),2009-01-19T19:39:37.000,2025-06-01T02:18:08.000
9005755,0,90057550,55 4th St.,2009-01-19T00:00:00.000,90190205,2009-01-19T15:32:37.000,2009-01-19T15:38:13.000,2009-01-19T15:39:44.000,SF,94105.0,B03,01,,3,10,0,0,0,0,E01,,,0,0,0,0,1,"651 - Smoke scare, odor of smoke",,86 - Investigate,,,,"449 - Hotel/motel, commercial",,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial District/South Beach,POINT (-122.404822 37.784993),2009-01-19T22:40:20.000,2025-06-01T02:18:08.000
9005760,0,90057600,Folsom St. / Spear St.,2009-01-19T00:00:00.000,90190211,2009-01-19T15:55:00.000,2009-01-19T15:59:33.000,2009-01-19T16:59:47.000,SF,94105.0,B03,35,,1,4,0,0,0,0,E13,,,0,0,0,0,1,323 - Auto/Ped. Accident (Veh.),,31 - Provide first aid & check for injuries,,,,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial District/South Beach,POINT (-122.390977 37.790071),2009-01-19T21:03:48.000,2025-06-01T02:18:08.000
9005765,0,90057650,3rd St. / Carroll Av.,2009-01-19T00:00:00.000,90190216,2009-01-19T16:08:27.000,2009-01-19T16:14:49.000,2009-01-19T16:45:01.000,SF,94110.0,B10,17,,1,4,0,0,0,0,M17,,,0,0,0,0,1,553 - Public service,,87 - Investigate - Fire out on arrival,,,,"564 - Laundry, dry cleaning",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.395383 37.738405),2009-01-19T22:41:59.000,2025-06-01T02:18:08.000
9005767,0,90057670,392 Dolores St.,2009-01-19T00:00:00.000,90190218,2009-01-19T16:16:49.000,2009-01-19T16:22:13.000,2009-01-19T16:48:12.000,SF,94110.0,B02,06,,3,11,0,0,0,0,E06,,,0,0,0,0,1,"710 - Malicious, mischievous false call, other",,86 - Investigate,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Castro/Upper Market,POINT (-122.42662911 37.76315495),2009-01-19T16:50:52.000,2025-06-01T02:18:08.000
9005769,0,90057690,3505 19th St.,2009-01-19T00:00:00.000,90190221,2009-01-19T16:30:03.000,2009-01-19T16:32:31.000,2009-01-19T16:41:51.000,SF,94114.0,B06,07,,3,10,0,0,0,0,E06,500.0,1.0,0,0,0,0,1,112 - Fires in struct. other than in a bldg.,,12 - Salvage & overhaul,,,,419 - 1 or 2 family dwelling,"72 - Exterior balcony, unenclosed porch",2 - Unintentional,"10 - Misuse of material or product, other",,71 - Sunlight,97 - Oily rags,N - None,8 -Connective structure,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,9.0,Mission,POINT (-122.42171512 37.75982369),2009-01-19T17:49:52.000,2025-06-01T02:18:08.000
9005772,0,90057720,Vermont St. / Cesar Chavez St.,2009-01-19T00:00:00.000,90190225,2009-01-19T16:41:57.000,2009-01-19T16:46:56.000,2009-01-19T16:49:42.000,SF,94103.0,B10,09,,1,3,0,0,0,0,E29,,,0,0,0,0,1,622 - No incident found on arrival/disp. addr.,,86 - Investigate,,,,961 - Highway or divided highway (Street),,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.402868 37.749478),2009-01-19T19:12:41.000,2025-06-01T02:18:08.000
9005773,0,90057730,1 Sf Intl Airport,2009-01-19T00:00:00.000,90190227,2009-01-19T16:31:11.000,2009-01-19T16:34:55.000,2009-01-19T17:41:11.000,SFO,94128.0,B09,44,,2,3,0,0,0,0,AP,,,0,0,0,0,1,411 - Gasoline or other flammable liquid spill,,92 - Standby,,,,171 - Airport passenger terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-122.38416 37.616901),2009-01-19T19:05:12.000,2025-06-01T02:18:08.000
9005774,0,90057740,1130 Market St.,2009-01-19T00:00:00.000,90190228,2009-01-19T16:48:14.000,2009-01-19T16:54:12.000,2009-01-19T16:59:19.000,SF,94109.0,B02,01,,1,5,0,0,0,0,T03,,,0,0,0,0,1,"500 - Service Call, other",,75 - Provide equipment,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Tenderloin,POINT (-122.412925 37.780253),2009-01-20T00:24:38.000,2025-06-01T02:18:08.000
9005777,0,90057770,1844 Mcallister St.,2009-01-19T00:00:00.000,90190231,2009-01-19T16:59:22.000,2009-01-19T17:03:43.000,2009-01-19T17:07:08.000,SF,94117.0,B05,21,,1,4,0,0,0,0,E21,,,0,0,0,0,1,"151 - Outside rubbish, trash or waste fire",,11 - Extinguish,,,,429 - Multifamily dwellings,"02 - Exterior stairway, ramp, or fire esca",2 - Unintentional,11 - Abandoned or discarded materials or p,,60 - Heat; other open flame/smoking materi,"96 - Rubbish, trash, or waste",N - None,,,,,,,,,,,,,,,,,,,,2.0,Lone Mountain/USF,POINT (-122.44261913 37.77754003),2009-01-20T07:30:43.000,2025-06-01T02:18:08.000
9005778,0,90057780,888 7th St.,2009-01-19T00:00:00.000,90190232,2009-01-19T17:01:09.000,2009-01-19T17:06:18.000,2009-01-19T17:19:44.000,SF,94103.0,B03,29,,1,3,0,0,0,0,E29,,,0,0,0,0,1,511 - Lock-out,,52 - Forcible entry,,,,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Mission Bay,POINT (-122.400215 37.77057),2009-01-19T19:17:41.000,2025-06-01T02:18:08.000
9005782,0,90057820,Vermont St. / Cesar Chavez St.,2009-01-19T00:00:00.000,90190235,2009-01-19T17:06:07.000,2009-01-19T17:13:20.000,2009-01-19T17:23:36.000,SF,94107.0,B10,09,,1,4,0,0,0,0,E09,,,0,0,0,0,1,"150 - Outside rubbish fire, other",,86 - Investigate,,,,931 - Open land or field,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.402868 37.749478),2009-01-19T17:36:09.000,2025-06-01T02:18:08.000
9005784,0,90057840,1190 Turk St.,2009-01-19T00:00:00.000,90190238,2009-01-19T17:11:50.000,2009-01-19T17:17:00.000,2009-01-19T17:22:26.000,SF,94102.0,B02,05,,3,10,0,0,0,0,E05,,,0,0,0,0,1,"744 - Detector activation, no fire - accident",,86 - Investigate,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Western Addition,POINT (-122.428663 37.781008),2009-01-19T17:40:36.000,2025-06-01T02:18:08.000
9005790,0,90057900,100 - Blk Santa Rosa Av.,2009-01-19T00:00:00.000,90190245,2009-01-19T17:46:02.000,2009-01-19T17:51:26.000,2009-01-19T17:51:33.000,SF,94112.0,B09,15,,1,5,0,0,0,0,T15,,,0,0,0,0,1,"331 - Lock-in (if lock out , use 511 )",,86 - Investigate,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Outer Mission,POINT (-122.4368046 37.7272362),2009-01-19T18:50:21.000,2025-06-01T02:18:08.000
9005793,0,90057930,Geary Bl. / 27th Av.,2009-01-19T00:00:00.000,90190248,2009-01-19T18:01:22.000,2009-01-19T18:09:07.000,2009-01-19T18:15:25.000,SF,94121.0,B07,14,,1,5,0,0,0,0,T14,,,0,0,0,0,1,511 - Lock-out,,52 - Forcible entry,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Outer Richmond,POINT (-122.486879 37.779993),2009-01-19T18:25:19.000,2025-06-01T02:18:08.000
9005794,0,90057940,2330 Polk St.,2009-01-19T00:00:00.000,90190249,2009-01-19T18:10:55.000,2009-01-19T18:12:56.000,2009-01-19T18:32:57.000,SF,94123.0,B04,41,,1,4,1,2,0,0,M51,,,0,0,0,0,1,"311 - Medical assist, assist EMS crew",,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Russian Hill,POINT (-122.422127 37.798148),2009-01-19T18:59:27.000,2025-06-01T02:18:08.000
9005797,0,90057970,3rd St. / Market St.,2009-01-19T00:00:00.000,90190252,2009-01-19T18:13:39.000,2009-01-19T18:20:12.000,2009-01-19T18:26:21.000,SF,94102.0,B01,01,,1,4,0,0,0,0,E01,,,0,0,0,0,1,"445 - Arcing, shorted electrical equipment",,"40 - Hazardous condition, other",,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Financial District/South Beach,POINT (-122.403434 37.787643),2009-01-20T00:12:49.000,2025-06-01T02:18:08.000
9005805,0,90058050,Phelps St. / Palou Av.,2009-01-19T00:00:00.000,90190263,2009-01-19T19:02:14.000,2009-01-19T19:09:42.000,2009-01-19T19:12:33.000,SF,94124.0,B10,17,,1,4,0,0,0,0,E17,,,0,0,0,0,1,154 - Dumpster/Outside trash receptacle fire,,11 - Extinguish,,,,124 - Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.394664 37.736107),2009-01-19T22:26:40.000,2025-06-01T02:18:08.000
9005807,0,90058070,2286 35th Av.,2009-01-19T00:00:00.000,90190264,2009-01-19T19:03:02.000,2009-01-19T19:10:12.000,2009-01-19T19:16:32.000,SF,94116.0,B08,18,,3,10,0,0,0,0,E18,,,0,0,0,0,1,"743 - Smoke detector, no fire, accidental",,86 - Investigate,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Sunset/Parkside,POINT (-122.4928934 37.74410713),2009-01-20T06:04:37.000,2025-06-01T02:18:08.000
9005809,0,90058090,Delta St. / Raymond Av.,2009-01-19T00:00:00.000,90190266,2009-01-19T19:03:54.000,2009-01-19T19:13:33.000,2009-01-19T19:19:18.000,SF,94134.0,B09,44,,3,11,0,0,0,0,E44,,,0,0,0,0,1,"500 - Service Call, other",,45 - Remove hazard,,,,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Visitacion Valley,POINT (-122.408894 37.714481),2009-01-19T21:54:24.000,2025-06-01T02:18:08.000
9005814,0,90058140,275 Turk St.,2009-01-19T00:00:00.000,90190271,2009-01-19T19:37:44.000,2009-01-19T19:42:16.000,2009-01-19T19:49:17.000,SF,94109.0,B03,01,,3,11,0,0,0,0,E03,,,0,0,0,0,1,733 - Smoke detector activation/malfunction,,86 - Investigate,,,,"439 - Boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Tenderloin,POINT (-122.413597 37.782782),2009-01-19T21:30:39.000,2025-06-01T02:18:08.000
9005818,0,90058180,39th Av. / Fulton St.,2009-01-19T00:00:00.000,90190276,2009-01-19T20:07:30.000,2009-01-19T21:10:00.000,2009-01-19T21:40:56.000,SF,94121.0,B07,34,,1,4,0,0,0,0,E34,,,0,0,0,0,1,"150 - Outside rubbish fire, other",,11 - Extinguish,,,,124 - Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Golden Gate Park,POINT (-122.499182 37.771884),2009-01-23T20:18:21.000,2025-06-01T02:18:08.000
9005819,0,90058190,Garlington Ct. / La Salle Av.,2009-01-19T00:00:00.000,90190277,2009-01-19T20:11:38.000,2009-01-19T20:14:12.000,2009-01-19T20:14:58.000,SF,94124.0,B10,17,,2,9,0,0,0,0,E17,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Bayview Hunters Point,POINT (-122.384282 37.732653),2009-01-19T22:24:14.000,2025-06-01T02:18:08.000
9005821,0,90058210,Great Hy. / Balboa St.,2009-01-19T00:00:00.000,90190279,2009-01-19T20:21:46.000,2009-01-19T20:30:02.000,2009-01-19T20:41:34.000,SF,94116.0,B07,34,,10,35,0,0,0,0,E18,,,0,0,0,0,1,622 - No incident found on arrival/disp. addr.,,86 - Investigate,,,,NNN - None,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Outer Richmond,POINT (-122.511294 37.775073),2009-01-20T06:02:50.000,2025-06-01T02:18:08.000
9005824,0,90058240,2500 Broderick St.,2009-01-19T00:00:00.000,90190283,2009-01-19T20:28:28.000,2009-01-19T20:32:44.000,2009-01-19T20:34:09.000,SF,94102.0,B04,10,,1,4,1,2,0,0,T10,,,0,0,0,0,1,"600 - Good intent call, other",,"00 - Action taken, other",,,,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Pacific Heights,POINT (-122.4431312 37.7932588),2009-02-14T07:41:33.000,2025-06-01T02:18:08.000
9005825,0,90058250,15th St. / Valencia St.,2009-01-19T00:00:00.000,90190284,2009-01-19T20:28:32.000,2009-01-19T20:31:37.000,2009-01-19T20:32:13.000,SF,94102.0,B02,06,,2,9,0,0,0,0,E36,,,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",,86 - Investigate,,,,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Mission,POINT (-122.422046 37.766539),2009-01-19T21:18:27.000,2025-06-01T02:18:08.000
