"geolocation","estimate_num_of_poor_fam_2018","estimate_num_of_poor_fam_2021","estimate_num_of_poor_fam_2023","coefficient_of_variation_2018","coefficient_of_variation_2021","coefficient_of_variation_2023","standard_error_2018","standard_error_2021","standard_error_2023","confidence_interval_of_95_pct_lower_limit_at_2018","confidence_interval_of_95_pct_lower_limit_at_2021","confidence_interval_of_95_pct_lower_limit_at_2023","confidence_interval_of_95_pct_upper_limit_at_2018","confidence_interval_of_95_pct_upper_limit_at_2021","confidence_interval_of_95_pct_upper_limit_at_2023"
"Sulu","110.00","64.18","20.83","8.37","8.37","13.03","9.21","6.03","2.71","91.94","52.36","15.51","128.05","76.00","26.15"
"Bulacan","28.74","73.15","55.69","20.32","20.32","14.43","5.84","13.04","8.04","17.30","47.59","39.94","40.19","98.70","71.45"
"Aurora","6.10","9.13","6.27","11.80","11.80","12.39","0.72","1.10","0.78","4.69","6.98","4.75","7.51","11.28","7.79"
"Cavite","36.77","77.05","49.84","19.36","19.36","16.19","7.12","12.21","8.07","22.82","53.12","34.02","50.73","100.99","65.66"
"Laguna","23.23","64.81","54.36","20.37","20.37","13.88","4.73","10.04","7.55","13.96","45.14","39.57","32.51","84.48","69.15"
"Ifugao","4.46","2.83","2.21","15.36","15.36","13.91","0.68","0.51","0.31","3.12","1.82","1.61","5.80","3.84","2.81"
"4th District","7.00","27.72","10.09","14.68","14.68","16.59","1.03","2.68","1.67","4.99","22.47","6.81","9.02","32.97","13.37"
"Lanao del Norte","44.26","63.32","64.82","7.11","7.11","7.29","3.15","5.19","4.73","38.09","53.15","55.55","50.43","73.50","74.09"
"Sultan Kudarat","46.49","46.93","52.94","9.27","9.27","13.42","4.31","4.96","7.10","38.05","37.20","39.02","54.94","56.65","66.87"
"Dinagat Islands","7.84","8.03","7.29","10.40","10.40","10.04","0.82","1.03","0.73","6.25","6.00","5.85","9.44","10.06","8.72"
"Region VII (Central Visayas)","181.30","354.04","206.66","7.65","7.65","6.63","13.87","24.15","13.71","154.12","306.70","179.79","208.48","401.39","233.54"
"Region II (Cagayan Valley)","106.30","105.09","66.69","6.67","6.67","8.36","7.09","7.95","5.57","92.40","89.50","55.76","120.20","120.67","77.61"
"National Capital Region (NCR)","47.59","76.16","41.28","10.63","10.63","9.98","5.06","5.28","4.12","37.67","65.81","33.21","57.51","86.50","49.36"
"Marinduque","5.59","9.08","5.03","10.60","10.60","11.94","0.59","0.82","0.60","4.43","7.48","3.85","6.75","10.69","6.21"
"Region V (Bicol Region)","256.28","293.48","279.22","4.23","4.23","3.92","10.84","12.31","10.93","235.03","269.36","257.79","277.53","317.61","300.65"
"Camarines Sur","88.34","131.10","101.36","9.06","9.06","8.43","8.00","9.88","8.54","72.66","111.72","84.62","104.03","150.47","118.11"
"Romblon","14.15","23.50","17.95","9.53","9.53","7.63","1.35","1.62","1.37","11.51","20.33","15.27","16.80","26.67","20.64"
"Camarines Norte","30.88","24.29","26.83","8.09","8.09","7.53","2.50","2.47","2.02","25.98","19.45","22.87","35.78","29.12","30.80"
"Albay","43.42","46.82","56.25","10.28","10.28","7.67","4.47","4.88","4.31","34.67","37.24","47.79","52.18","56.39","64.70"
"Palawan","23.59","29.44","52.18","13.00","13.00","22.66","3.07","3.17","11.82","17.58","23.22","29.00","29.60","35.65","75.35"
"Region IV-A (CALABARZON)","190.43","295.64","226.67","7.59","7.59","6.74","14.45","20.55","15.29","162.09","255.36","196.71","218.76","335.92","256.63"
"Sorsogon","34.36","39.88","53.35","8.76","8.76","6.71","3.01","3.26","3.58","28.46","33.49","46.33","40.26","46.26","60.37"
"Zambales","23.21","40.98","28.39","10.81","10.81","9.51","2.51","3.22","2.70","18.29","34.66","23.10","28.12","47.30","33.68"
"Tarlac","25.26","28.61","24.42","11.67","11.67","14.75","2.95","3.01","3.60","19.48","22.71","17.36","31.04","34.51","31.48"
"Batangas","58.42","32.28","39.52","13.90","13.90","16.38","8.12","7.03","6.47","42.50","18.49","26.83","74.34","46.06","52.21"
"Pampanga","13.88","20.21","7.54","30.04","30.04","23.33","4.17","3.45","1.76","5.71","13.44","4.09","22.06","26.98","11.00"
"Region VI (Western Visayas)","110.20","140.89","118.97","6.57","6.57","6.11","7.24","9.89","7.27","96.01","121.52","104.73","124.40","160.27","133.21"
"Region IX (Zamboanga Peninsula)","212.99","204.59","217.28","4.54","4.54","4.82","9.67","9.38","10.48","194.03","186.21","196.73","231.95","222.97","237.82"
"Zamboanga del Norte","87.20","99.82","94.65","7.52","7.52","8.48","6.56","6.68","8.03","74.34","86.73","78.91","100.05","112.91","110.38"
"Samar","39.21","50.99","48.86","9.68","9.68","7.50","3.79","3.91","3.66","31.77","43.32","41.68","46.64","58.66","56.04"
"Zamboanga del Sur","74.19","58.83","89.47","8.18","8.18","6.95","6.07","5.41","6.22","62.29","48.22","77.28","86.10","69.44","101.66"
"1st District","9.01","5.29","8.13","31.55","31.55","29.94","2.84","1.73","2.43","3.44","1.89","3.36","14.58","8.68","12.91"
"Apayao","4.27","1.30","1.16","16.15","16.15","26.48","0.69","0.30","0.31","2.92","0.71","0.56","5.62","1.90","1.76"
"Maguindanao del Sur","0.00","0.00","39.72","0.00","0.00","9.11","0.00","0.00","3.62","0.00","0.00","32.63","0.00","0.00","46.82"
"Agusan del Sur","50.49","58.97","43.11","7.86","7.86","9.35","3.97","4.24","4.03","42.71","50.66","35.21","58.27","67.27","51.02"
"Southern Leyte","16.37","15.50","6.94","8.73","8.73","12.71","1.43","1.44","0.88","13.57","12.68","5.21","19.18","18.32","8.67"
"Region I (Ilocos Region)","85.15","139.19","109.93","9.74","9.74","9.85","8.30","9.89","10.83","68.89","119.80","88.71","101.41","158.58","131.15"
"Iloilo","68.98","76.70","69.94","9.62","9.62","8.92","6.64","8.88","6.24","55.97","59.29","57.70","81.99","94.11","82.17"
"Antique","17.77","26.64","20.80","10.32","10.32","12.17","1.83","2.60","2.53","14.18","21.54","15.84","21.36","31.73","25.76"
"Mt Province","6.31","5.85","4.12","10.23","10.23","13.51","0.64","0.58","0.56","5.04","4.72","3.03","7.57","6.97","5.21"
"Guimaras","2.96","3.44","1.84","19.73","19.73","26.91","0.58","0.48","0.50","1.82","2.49","0.87","4.11","4.38","2.82"
"Capiz","7.90","12.63","21.39","15.18","15.18","11.90","1.20","2.24","2.54","5.55","8.25","16.40","10.25","17.02","26.38"
"Kalinga","4.03","2.56","1.21","12.72","12.72","22.28","0.51","0.50","0.27","3.03","1.58","0.68","5.03","3.54","1.73"
"Negros Island Region (NIR)","172.95","208.74","266.84","8.09","8.09","7.84","14.00","14.22","20.92","145.51","180.87","225.84","200.38","236.62","307.84"
"Negros Occidental","108.07","128.16","178.83","11.36","11.36","10.48","12.27","11.95","18.75","84.02","104.73","142.08","132.13","151.59","215.58"
"Region X (Northern Mindanao)","194.22","228.18","227.14","4.05","4.05","4.28","7.86","11.47","9.72","178.81","205.71","208.09","209.63","250.65","246.19"
"Misamis Oriental","45.42","55.15","53.24","7.93","7.93","7.38","3.60","4.43","3.93","38.37","46.46","45.53","52.48","63.84","60.95"
"MIMAROPA Region","77.35","118.38","133.34","6.70","6.70","9.98","5.18","6.08","13.31","67.20","106.46","107.25","87.51","130.30","159.43"
"Eastern Samar","47.96","37.65","33.59","6.56","6.56","9.18","3.15","3.44","3.08","41.80","30.90","27.54","54.13","44.40","39.63"
"Quezon","48.35","89.04","39.01","14.98","14.98","14.85","7.24","9.39","5.79","34.15","70.63","27.66","62.55","107.45","50.36"
"La Union","5.50","13.36","13.15","19.68","19.68","14.40","1.08","1.89","1.89","3.38","9.66","9.44","7.63","17.06","16.86"
"Isabela","51.92","65.96","35.74","11.36","11.36","12.60","5.90","7.05","4.50","40.36","52.14","26.91","63.48","79.78","44.56"
"Leyte","107.04","111.43","116.27","8.04","8.04","7.74","8.61","8.24","9.00","90.17","95.28","98.62","123.91","127.59","133.92"
"Maguindanao","84.58","66.43","70.99","8.01","8.01","6.11","6.78","6.45","4.34","71.30","53.79","62.48","97.86","79.07","79.49"
"Misamis Occidental","27.30","26.49","33.43","9.41","9.41","6.88","2.57","2.83","2.30","22.27","20.94","28.92","32.34","32.04","37.94"
