game_quality_id,"Graphics Quality","Soundtrack Quality","Story Quality"
1,Medium,Average,Poor
2,Low,Poor,Poor
3,Low,Good,Average
4,Medium,Good,Excellent
5,High,Poor,Good
6,Low,Average,Poor
7,High,Excellent,Good
8,Ultra,Poor,Poor
9,Low,Average,Good
10,Medium,Excellent,Good
11,Medium,Average,Average
12,Ultra,Average,Poor
13,Ultra,Poor,Excellent
14,Medium,Excellent,Excellent
15,Medium,Good,Poor
16,Ultra,Poor,Average
17,High,Poor,Average
18,High,Excellent,Excellent
19,Medium,Good,Average
20,Ultra,Average,Excellent
21,Low,Good,Good
22,High,Poor,Poor
23,High,Average,Good
24,Low,Poor,Excellent
25,Ultra,Excellent,Good
26,High,Good,Average
27,High,Good,Poor
28,Low,Average,Average
29,Medium,Poor,Excellent
30,Low,Poor,Good
31,Ultra,Excellent,Average
32,High,Excellent,Average
33,High,Poor,Excellent
34,Ultra,Average,Good
35,Low,Average,Excellent
36,Medium,Average,Good
37,Ultra,Good,Average
38,Medium,Average,Excellent
39,Ultra,Good,Excellent
40,High,Good,Excellent
41,High,Average,Poor
42,Medium,Poor,Poor
43,Low,Excellent,Poor
44,Low,Excellent,Good
45,Low,Poor,Average
46,Medium,Good,Good
47,Low,Good,Poor
48,Low,Excellent,Average
49,Medium,Poor,Average
50,Medium,Poor,Good
51,Low,Excellent,Excellent
52,High,Average,Excellent
53,High,Excellent,Poor
54,High,Average,Average
55,Medium,Excellent,Average
56,Ultra,Poor,Good
57,Low,Good,Excellent
58,Ultra,Good,Poor
59,Ultra,Average,Average
60,Ultra,Good,Good
61,Medium,Excellent,Poor
62,Ultra,Excellent,Excellent
63,Ultra,Excellent,Poor
64,High,Good,Good
