"in_apple_playlists","in_apple_charts","apple_tracking_id"
18,78,1
17,13,2
3,31,3
4,71,4
30,70,5
5,9,6
53,120,7
21,55,8
151,107,9
43,263,10
4,72,11
48,126,12
94,207,13
8,77,14
156,35,15
10,41,16
4,45,17
20,8,18
116,207,19
11,3,20
84,133,21
23,0,22
67,213,23
34,222,24
25,89,25
190,104,26
60,210,27
8,1,28
49,110,29
22,7,30
4,11,31
16,15,32
41,205,33
166,42,34
37,202,35
30,84,36
183,162,37
240,98,38
91,212,39
43,100,40
8,104,41
11,163,42
73,119,43
24,98,44
17,152,45
16,149,46
67,84,47
202,119,48
35,109,49
52,107,50
29,9,51
0,0,52
5,48,53
19,29,54
81,27,55
37,88,56
28,57,57
23,2,58
20,68,59
52,66,60
44,19,61
71,53,62
71,135,63
27,27,64
20,185,65
72,64,66
113,149,67
23,71,68
242,142,69
115,123,70
32,18,71
22,33,72
22,82,73
19,108,74
11,58,75
154,123,76
94,111,77
108,16,78
156,275,79
4,20,80
22,101,81
29,3,82
11,54,83
38,105,84
61,6,85
28,0,86
49,23,87
4,6,88
15,17,89
11,101,90
32,3,91
30,15,92
14,35,93
45,11,94
49,3,95
1,10,96
129,55,97
17,0,98
59,100,99
53,2,100
11,15,101
51,1,102
17,12,103
20,119,104
23,10,105
66,26,106
118,34,107
6,15,108
13,18,109
39,47,110
11,24,111
38,266,112
16,53,113
20,1,114
14,141,115
12,2,116
17,10,117
28,67,118
94,21,119
10,43,120
20,64,121
16,19,122
54,6,123
6,1,124
15,79,125
122,88,126
15,33,127
7,0,128
81,4,129
22,2,130
165,10,131
26,69,132
93,95,133
177,109,134
20,129,135
19,59,136
57,4,137
45,115,138
24,94,139
53,7,140
11,80,141
74,113,142
2,10,143
105,41,144
86,1,145
88,24,146
16,159,147
23,95,148
27,0,149
10,107,150
15,40,151
291,184,152
71,95,153
77,58,154
129,31,155
65,48,156
113,17,157
241,127,158
47,60,159
113,92,160
68,21,161
9,1,162
87,86,163
