"in_deezer_playlists","in_deezer_charts","deezer_tracking_id"
45,10,1
58,14,2
91,14,3
125,12,4
87,15,5
88,17,6
43,13,7
30,13,8
48,11,9
66,13,10
54,12,11
21,5,12
161,12,13
78,6,14
54,14,15
23,2,16
10,4,17
42,1,18
582,2,19
32,11,20
10,5,21
318,38,22
41,14,23
15,1,24
143,38,25
50,1,26
13,8,27
245,23,28
165,9,29
184,18,30
34,7,31
24,9,32
410,2,33
151,4,34
15,6,35
6,3,36
537,45,37
247,1,38
138,1,39
458,37,40
24,0,41
74,1,42
57,10,43
213,11,44
23,10,45
109,17,46
57,1,47
161,15,48
39,6,49
142,4,50
73,4,51
102,14,52
4,0,53
182,12,54
89,11,55
32,0,56
169,8,57
31,1,58
8,2,59
58,3,60
109,18,61
164,14,62
68,1,63
331,26,64
80,14,65
18,4,66
71,0,67
25,2,68
5,0,69
110,11,70
141,26,71
35,0,72
29,5,73
0,0,74
8,0,75
69,2,76
63,1,77
25,4,78
163,0,79
19,2,80
59,3,81
4,4,82
6,6,83
59,1,84
327,17,85
695,0,86
4,2,87
6,1,88
476,0,89
145,18,90
24,3,91
47,8,92
61,1,93
8,1,94
246,9,95
38,8,96
21,9,97
4,3,98
52,4,99
32,5,100
7,0,101
282,3,102
254,29,103
588,1,104
31,0,105
30,1,106
1,0,107
50,0,108
26,1,109
30,2,110
26,3,111
99,13,112
44,1,113
3,1,114
974,1,115
66,3,116
356,0,117
12,5,118
58,1,119
10,6,120
453,0,121
113,0,122
112,0,123
435,6,124
929,0,125
939,1,126
806,0,127
885,0,128
28,1,129
238,1,130
226,24,131
61,0,132
790,2,133
266,1,134
633,3,135
21,7,136
139,14,137
3,0,138
19,0,139
653,0,140
21,8,141
11,1,142
20,1,143
79,11,144
9,5,145
6,0,146
21,2,147
25,1,148
4,1,149
2,0,150
20,0,151
107,3,152
114,18,153
53,10,154
38,0,155
34,5,156
8,3,157
9,0,158
143,0,159
45,5,160
51,1,161
131,16,162
330,26,163
48,2,164
43,5,165
43,0,166
33,0,167
38,10,168
43,6,169
76,2,170
63,4,171
47,0,172
154,20,173
42,0,174
657,22,175
47,1,176
56,4,177
21,1,178
158,3,179
11,0,180
27,0,181
10,2,182
41,1,183
30,6,184
51,0,185
53,8,186
48,0,187
30,0,188
12,2,189
13,0,190
28,0,191
147,11,192
5,1,193
10,0,194
1,1,195
422,15,196
127,3,197
21,0,198
22,9,199
37,5,200
36,1,201
2,1,202
16,1,203
142,0,204
62,0,205
32,3,206
801,1,207
110,19,208
11,2,209
15,0,210
18,1,211
18,0,212
147,18,213
199,16,214
88,1,215
468,3,216
46,16,217
12,0,218
66,9,219
43,8,220
55,1,221
135,0,222
181,0,223
29,1,224
64,6,225
14,0,226
39,2,227
197,3,228
110,0,229
34,2,230
58,13,231
14,3,232
277,3,233
150,4,234
7,1,235
71,2,236
80,15,237
35,6,238
21,3,239
580,21,240
203,0,241
73,2,242
305,3,243
18,5,244
218,1,245
25,0,246
56,3,247
85,9,248
114,1,249
49,0,250
101,7,251
28,13,252
212,1,253
208,0,254
87,12,255
259,0,256
12,4,257
212,13,258
53,2,259
65,0,260
231,0,261
77,1,262
75,0,263
66,1,264
240,1,265
134,1,266
66,2,267
58,0,268
36,16,269
183,1,270
164,4,271
76,9,272
676,3,273
17,0,274
557,17,275
34,0,276
26,0,277
182,1,278
544,0,279
175,0,280
549,0,281
160,0,282
277,0,283
251,0,284
291,0,285
310,0,286
262,0,287
390,0,288
73,0,289
29,0,290
449,0,291
406,0,292
123,0,293
212,0,294
141,0,295
158,0,296
286,0,297
41,0,298
44,0,299
22,2,300
128,7,301
37,3,302
52,0,303
57,3,304
70,16,305
465,0,306
396,0,307
497,0,308
298,0,309
964,9,310
139,0,311
53,6,312
268,0,313
81,0,314
199,0,315
107,0,316
104,0,317
93,0,318
133,0,319
268,6,320
76,0,321
90,0,322
85,5,323
525,9,324
394,0,325
59,0,326
73,13,327
70,0,328
223,0,329
100,0,330
159,0,331
447,0,332
70,1,333
569,0,334
45,0,335
187,1,336
507,6,337
74,0,338
121,0,339
384,0,340
32,1,341
105,0,342
73,12,343
625,0,344
100,1,345
154,0,346
99,0,347
582,0,348
95,0,349
434,3,350
89,0,351
210,0,352
201,0,353
250,0,354
478,0,355
862,0,356
318,0,357
344,0,358
86,0,359
39,0,360
131,0,361
96,0,362
23,0,363
63,0,364
67,1,365
179,0,366
710,0,367
78,0,368
175,5,369
102,0,370
85,1,371
587,0,372
113,1,373
80,0,374
91,0,375
398,0,376
40,0,377
42,12,378
64,0,379
46,13,380
266,0,381
93,1,382
66,0,383
138,0,384
55,0,385
519,2,386
51,11,387
492,9,388
53,1,389
180,1,390
99,1,391
35,1,392
13,1,393
32,7,394
267,0,395
531,1,396
137,15,397
43,1,398
250,3,399
577,0,400
254,0,401
60,0,402
200,0,403
46,0,404
272,21,405
22,0,406
22,1,407
34,1,408
355,7,409
150,0,410
87,1,411
173,11,412
119,1,413
24,1,414
79,0,415
119,0,416
900,0,417
301,1,418
365,0,419
270,2,420
86,1,421
107,1,422
406,1,423
259,14,424
38,2,425
150,3,426
54,0,427
57,0,428
128,0,429
36,0,430
16,0,431
195,0,432
124,1,433
248,1,434
65,1,435
177,4,436
84,9,437
274,0,438
113,12,439
67,11,440
805,0,441
328,1,442
158,2,443
37,1,444
