"in_shazam_charts","shazam_tracking_id"
826,1
382,2
949,3
548,4
425,5
946,6
418,7
194,8
953,9
339,10
251,11
168,12
187,13
0,14
29,15
150,16
73,17
139,18
96,19
211,20
325,21
294,22
197,23
27,24
310,25
354,26
184,27
212,28
81,29
82,30
100,31
62,32
727,33
311,34
102,35
332,36
259,37
16,38
110,39
810,40
176,41
615,42
210,43
216,44
215,45
167,46
37,47
171,48
272,49
529,50
26,51
5,52
169,53
230,54
84,55
154,56
93,57
115,58
72,59
8,60
323,61
49,62
429,63
162,64
10,65
478,66
236,67
78,68
266,69
486,70
34,71
202,72
32,73
153,74
458,75
48,76
14,77
925,78
88,79
203,80
44,81
74,82
638,83
64,84
71,85
2,86
3,87
148,88
22,89
368,90
1,91
189,92
52,93
9,94
66,95
208,96
28,97
195,98
13,99
60,100
503,101
56,102
15,103
454,104
40,105
200,106
285,107
129,108
117,109
47,110
30,111
263,112
116,113
57,114
39,115
111,116
7,117
166,118
19,119
99,120
51,121
31,122
109,123
42,124
33,125
69,126
675,127
348,128
36,129
240,130
113,131
6,132
23,133
4,134
182,135
54,136
438,137
11,138
50,139
20,140
320,141
55,142
18,143
38,144
43,145
105,146
24,147
63,148
58,149
444,150
85,151
21,152
165,153
103,154
734,155
61,156
221,157
59,158
451,159
41,160
192,161
124,162
25,163
35,164
46,165
12,166
75,167
45,168
70,169
206,170
17,171
114,172
128,173
353,174
101,175
141,176
198,177
68,178
95,179
