"track_name","artist_name","artist_id","artist_count"
"Seven (feat. Latto) (Explicit Ver.)","Latto, Jung Kook",1,2
"Atlantis","Seafret",2,1
"When I R.I.P.","Labrinth",3,1
"LALA","Myke Towers",4,1
"vampire","Olivia Rodrigo",5,1
"Do We Have A Problem?","Nicki Minaj, Lil Baby",6,2
"PUNTO 40","Baby Rasta, Rauw Alejandro",7,2
"Forever","Labrinth",8,0
"Evoque Prata","DJ Escobar, MC MENOR SG, MC MENOR HR",9,3
"Gospel (with Eminem)","Eminem, Dr. Dre",10,2
"NEW MAGIC WAND","Tyler, The Creator",11,2
"Adore You","Harry Styles",12,1
"How Do I Say Goodbye","Dean Lewis",13,1
"La Santa","Daddy Yankee, Bad Bunny",14,2
"Sweetest Pie","Dua Lipa, Megan Thee Stallion",15,2
"Blind","SZA",16,1
"Bam Bam (feat. Ed Sheeran)","Camila Cabello, Ed Sheeran",17,2
"Die For You","Joji",18,1
"Una Noche en Medellï¿½","Cris Mj",19,1
"Doja","Central Cee",20,1
"Gatita","Bellakath",21,1
"Rumble","Skrillex, Flowdan, Fred again..",22,3
"Envolver","Anitta",23,1
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","Travis Scott, 21 Savage, Metro Boomin",24,3
"Starlight","Dave",25,1
"Hati-Hati di Jalan","Tulus",26,1
"Yonaguni","Bad Bunny",27,1
"I'm Tired - From ""Euphoria"""" An Original HBO Series""","Labrinth",28,0
"DANï¿½ï¿½A","Mc Pedrinho, Pedro Sampaio",29,2
"Super Freaky Girl","Nicki Minaj",30,1
"Running Up That Hill (A Deal With God)","Kate Bush",31,1
"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",32,1
"Dream On","Aerosmith",33,1
"Limbo","Freddie Dredd",34,1
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",35,2
"Jordan","Ryan Castro",36,1
"Nail Tech","Jack Harlow",37,1
"Chale","Eden Muï¿½ï",38,1
"Where Are You Now","Lost Frequencies, Calum Scott",39,2
"DARARI","Treasure",40,1
"WORTH NOTHING","Twisted, Oliver Tree",41,2
"Ya No Somos Ni Seremos","Christian Nodal",42,1
"KICK BACK","Kenshi Yonezu",43,1
"Thinking with My Dick","Kevin Gates, Juicy J",44,2
"Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A","Omar Apollo",45,1
"Freaky Deaky","Tyga, Doja Cat",46,2
"Good Days","SZA",47,0
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby",48,2
"Shut up My Moms Calling - (Sped Up)","Hotel Ugly",49,1
"this is what falling in love feels like","JVKE",50,1
"Ferrari","James Hype, Miggy Dela Rosa",51,2
"You're On Your Own, Kid","Taylor Swift",52,1
"Kesariya (From ""Brahmastra"""")""","Pritam, Arijit Singh, Amitabh Bhattacharya",53,3
"Cruel Summer","Taylor Swift",54,0
"WHERE SHE GOES","Bad Bunny",55,0
"La Zona","Bad Bunny",56,0
"Agudo Mï¿½ï¿½gi","Styrx, utku INC, Thezth",57,3
"Hope","XXXTENTACION",58,1
"Sprinter","Dave, Central Cee",59,2
"It's Beginning To Look A Lot Like Christmas","Michael Bublï¿",60,1
"Levitating","Dua Lipa",61,1
"Ella Baila Sola","Eslabon Armado, Peso Pluma",62,2
"jealousy, jealousy","Olivia Rodrigo",63,0
"Monï¿½ï¿½y so","YEAT",64,1
"Demasiadas Mujeres","C. Tangana",65,1
"O.O","NMIXX",66,1
"Tom's Diner","AnnenMayKantereit, Giant Rooks",67,2
"First Class","Jack Harlow",68,0
"Plan A","Paulo Londra",69,1
"Fuera del mercado","Danny Ocean",70,1
"X ï¿½ï¿½LTIMA","Daddy Yankee, Bad Bunny",71,0
"Columbia","Quevedo",72,1
"fukumean","Gunna",73,1
"It's the Most Wonderful Time of the Year","Andy Williams",74,1
"La Bebe - Remix","Peso Pluma, Yng Lvcas",75,2
"When You're Gone","Shawn Mendes",76,1
"In My Head","Lil Tjay",77,1
"Wait a Minute!","Willow",78,1
"LOVE DIVE","IVE",79,1
"un x100to","Bad Bunny, Grupo Frontera",80,2
"Pantysito","Feid, Alejo, Robi",81,3
"Chance","Paulo Londra",82,0
"Cool for the Summer","Demi Lovato",83,1
"Super Shy","NewJeans",84,1
"psychofreak (feat. WILLOW)","Camila Cabello, Willow",85,2
"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",86,1
"Kill Bill","SZA",87,0
"Angel Baby","Troye Sivan",88,1
"Underneath the Tree","Kelly Clarkson",89,1
"Cupid - Twin Ver.","Fifty Fifty",90,1
"Vampiro","Matuï¿½ï¿½, Wiu, ",91,3
"Feliz Navidad","Josï¿½ï¿½ Felic",92,1
"Classy 101","Feid, Young Miko",93,2
"Si Quieren Frontear","De La Ghetto, Duki, Quevedo",94,3
"Holly Jolly Christmas","Michael Bublï¿",95,0
"Right On","Lil Baby",96,1
"Mistletoe","Justin Bieber",97,1
"Me Arrepentï¿","Ak4:20, Cris Mj, Pailita",98,3
"Sleigh Ride","The Ronettes",99,1
"Like Crazy","Jimin",100,1
"That's Hilarious","Charlie Puth",101,1
"Seek & Destroy","SZA",102,0
"LADY GAGA","Gabito Ballesteros, Junior H, Peso Pluma",103,3
"I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ","Taylor Swift",104,0
"I Wanna Be Yours","Arctic Monkeys",105,1
"Love Language","SZA",106,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",107,2
"Happy Xmas (War Is Over)","John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",108,4
"SABOR FRESA","Fuerza Regida",109,1
"Used (feat. Don Toliver)","SZA, Don Toliver",110,2
"Calm Down (with Selena Gomez)","Rï¿½ï¿½ma, Selena G",111,2
"MOJABI GHOST","Tainy, Bad Bunny",112,2
"A Holly Jolly Christmas - Single Version","Burl Ives",113,1
"The Christmas Song (Merry Christmas To You) - Remastered 1999","Nat King Cole",114,1
"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",115,1
"Last Night","Morgan Wallen",116,1
"Do They Know It's Christmas? - 1984 Version","Band Aid",117,1
"Dance The Night (From Barbie The Album)","Dua Lipa",118,0
"Ghost in the Machine (feat. Phoebe Bridgers)","SZA, Phoebe Bridgers",119,2
"Special","SZA",120,0
"Merry Christmas Everyone","Shakin' Stevens",121,1
"Let It Snow! Let It Snow! Let It Snow!","Frank Sinatra, B. Swanson Quartet",122,2
"SOS","SZA",123,0
"Open Arms (feat. Travis Scott)","SZA, Travis Scott",124,2
"White Christmas","Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",125,3
"Driving Home for Christmas - 2019 Remaster","Chris Rea",126,1
"Christmas (Baby Please Come Home)","Darlene Love",127,1
"Soy El Unico","Yahritza Y Su Esencia",128,1
"RUMBATï¿½","Daddy Yankee",129,1
"Gone Girl","SZA",130,0
"sentaDONA (Remix) s2","Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",131,4
"F2F","SZA",132,0
"Notice Me","SZA",133,0
"Merry Christmas","Ed Sheeran, Elton John",134,2
"Falling","Harry Styles",135,0
"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",136,3
"Sigue","Ed Sheeran, J Balvin",137,2
"My Only Wish (This Year)","Britney Spears",138,1
"Fim de Semana no Rio","teto",139,1
"Antidepresan","Mabel Matiz, Mert Demir",140,2
"MANIAC","Stray Kids",141,1
"Wild Flower (with youjeen)","RM",142,1
"IDGAF (with blackbear)","Blackbear, BoyWithUke",143,2
"Golden","Harry Styles",144,0
"I Hate U","SZA",145,0
"Ain't Shit","Doja Cat",146,1
"Raindrops (Insane) [with Travis Scott]","Travis Scott, Metro Boomin",147,2
"Nobody Like U - From ""Turning Red""""""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",148,6
"SPIT IN MY FACE!","ThxSoMch",149,1
"Still Life","BIGBANG",150,1
"Deck The Hall - Remastered 1999","Nat King Cole",151,0
"N95","Kendrick Lamar",152,1
"Smoking on my Ex Pack","SZA",153,0
"About Damn Time","Lizzo",154,1
"Conceited","SZA",155,0
"Die Hard","Kendrick Lamar, Blxst, Amanda Reifer",156,3
"Snow On The Beach (feat. Lana Del Rey)","Taylor Swift, Lana Del Rey",157,2
"Despuï¿½ï¿½s de la P","Bad Bunny",158,0
"Maroon","Taylor Swift",159,0
"Un Ratito","Bad Bunny",160,0
"United In Grief","Kendrick Lamar",161,0
"Tubarï¿½ï¿½o Te","Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",162,4
"Father Time (feat. Sampha)","Kendrick Lamar, Sampha",163,2
"Bejeweled","Taylor Swift",164,0
"Yo No Soy Celoso","Bad Bunny",165,0
"Rich Spirit","Kendrick Lamar",166,0
"Tarot","Bad Bunny, Jhay Cortez",167,2
"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani, Blake Shelton",168,2
"Cooped Up (with Roddy Ricch)","Post Malone, Roddy Ricch",169,2
"Desesperados","Chencho Corleone, Rauw Alejandro",170,2
"Me Fui de Vacaciones","Bad Bunny",171,0
"Too Late","SZA",172,0
"Silent Hill","Kendrick Lamar, Kodak Black",173,2
"La Corriente","Tony Dize, Bad Bunny",174,2
"Party","Bad Bunny, Rauw Alejandro",175,2
"Count Me Out","Kendrick Lamar",176,0
"Run Rudolph Run - Single Version","Chuck Berry",177,1
"Jingle Bells - Remastered 1999","Frank Sinatra",178,1
"Far","SZA",179,0
"Andrea","Buscabulla, Bad Bunny",180,2
"Dos Mil 16","Bad Bunny",181,0
"We Cry Together","Kendrick Lamar, Taylour Paige",182,2
"On Time (with John Legend)","John Legend, Metro Boomin",183,2
"Savior","Kendrick Lamar, Sam Dew, Baby Keem",184,3
"GATï¿½ï¿½","Maldy, Karol G",185,2
"Un Coco","Bad Bunny",186,0
"Is There Someone Else?","The Weeknd",187,1
"Fingers Crossed","Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",188,3
"Otro Atardecer","Bad Bunny, The Marï¿½ï",189,2
"Do It To It","Cherish, ACRAZE",190,2
"Worldwide Steppers","Kendrick Lamar",191,0
"Aguacero","Bad Bunny",192,0
"How Do I Make You Love Me?","The Weeknd",193,0
"Purple Hearts","Kendrick Lamar, Ghostface Killah, Summer Walker",194,3
"Gasoline","The Weeknd",195,0
"Un Verano Sin Ti","Bad Bunny",196,0
"Infinity","Jaymes Young",197,1
"ULTRA SOLO","Polima WestCoast, Pailita",198,2
"Less Than Zero","The Weeknd",199,0
"Ensï¿½ï¿½ï¿½ï¿½ame ","Bad Bunny",200,0
"Rush","Troye Sivan",201,0
"El Apagï¿½","Bad Bunny",202,0
"Take My Breath","The Weeknd",203,0
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",204,3
"Best Friends","The Weeknd",205,0
"Callaita","Bad Bunny, Tainy",206,2
"Kiss Me More (feat. SZA)","SZA, Doja Cat",207,2
"Dua Lipa","Jack Harlow",208,0
"Agosto","Bad Bunny",209,0
"TULUM","Peso Pluma, Grupo Frontera",210,2
"House Of Memories","Panic! At The Disco",211,1
"I Heard You're Married (feat. Lil Wayne)","The Weeknd, Lil Wayne",212,2
"Creepin'","The Weeknd, 21 Savage, Metro Boomin",213,3
"Mr. Morale","Kendrick Lamar, Tanna Leone",214,2
"Dawn FM","The Weeknd",215,0
"Anti-Hero","Taylor Swift",216,0
"Surface Pressure","Jessica Darrow",217,1
"That That (prod. & feat. SUGA of BTS)","PSY, Suga",218,2
"TQG","Karol G, Shakira",219,2
"In The Stars","Benson Boone",220,1
"Rich - Interlude","Kendrick Lamar",221,0
"SUPERMODEL","Mï¿½ï¿½ne",222,1
"Stefania (Kalush Orchestra)","KALUSH",223,1
"Thousand Miles","The Kid Laroi",224,1
"Crown","Kendrick Lamar",225,0
"Auntie Diaries","Kendrick Lamar",226,0
"PUFFIN ON ZOOTIEZ","Future",227,1
"Mirror","Kendrick Lamar",228,0
"Beautiful Girl","Luciano",229,1
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",230,2
"Starry Eyes","The Weeknd",231,0
"THATS WHAT I WANT","Lil Nas X",232,1
"One Right Now (with The Weeknd)","The Weeknd, Post Malone",233,2
"Beggin","Mï¿½ï¿½ne",234,0
"Mon Amour - Remix","Aitana, zzoilo",235,2
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Julieta Venegas, Bad Bunny, Tainy",236,3
"Savior - Interlude","Kendrick Lamar",237,0
"The Motto","Tiï¿½ï¿½sto, Ava",238,2
"Pasoori","Shae Gill, Ali Sethi",239,2
"Malvadï¿½ï¿","Xamï¿½ï¿½, Gustah, Neo B",240,3
"Mother I Sober (feat. Beth Gibbons of Portishead)","Kendrick Lamar, Beth Gibbons",241,2
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",242,0
"TUS Lï¿½ï¿½GR","Sech, Mora",243,2
"Donï¿½ï¿½ï¿½t Break My","The Weeknd",244,0
"Where Did You Go?","MNEK, Jax Jones",245,2
"Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",246,8
"Frï¿½ï¿½gil (feat. Grupo Front","Yahritza Y Su Esencia, Grupo Frontera",247,2
"Blank Space","Taylor Swift",248,0
"Style","Taylor Swift",249,0
"TQM","Fuerza Regida",250,0
"Oh My God","Adele",251,1
"Entre Nosotros (Remix) [con Nicki Nicole]","Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",252,4
"A Tale By Quincy","The Weeknd",253,0
"I AM WOMAN","Emmy Meli",254,1
"Medallo","Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",255,3
"I Tried to Tell Y'all","Ugly Dray, Tesla Jnr",256,2
"It'll Be Okay","Shawn Mendes",257,0
"Honest (feat. Don Toliver)","Justin Bieber, Don Toliver",258,2
"Softcore","The Neighbourhood",259,1
"ZOOM","Jessi",260,1
"Super Gremlin","Kodak Black",261,1
"El Azul","Junior H, Peso Pluma",262,2
"Volvï¿","Aventura, Bad Bunny",263,2
"SloMo","Chanel",264,1
"I'm Good (Blue)","Bebe Rexha, David Guetta",265,2
"Todo De Ti","Rauw Alejandro",266,1
"See You Again","Tyler, The Creator, Kali Uchis",267,3
"Smokin Out The Window","Bruno Mars, Anderson .Paak, Silk Sonic",268,3
"Meet Me At Our Spot","THE ANXIETY, Willow, Tyler Cole",269,3
"Every Angel is Terrifying","The Weeknd",270,0
"Angels Like You","Miley Cyrus",271,1
"Tacones Rojos","Sebastian Yatra",272,1
"I Ain't Worried","OneRepublic",273,1
"FEARLESS","LE SSERAFIM",274,1
"Dakiti","Bad Bunny, Jhay Cortez",275,0
"10 Things I Hate About You","Leah Kate",276,1
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",277,2
"SPACE MAN","Sam Ryder",278,1
"Lï¿½ï¿½ï¿","Stromae",279,1
"With you","HA SUNG WOON, Jimin",280,2
"Iris","The Goo Goo Dolls",281,1
"Nostï¿½ï¿½l","Chris Brown, Rvssian, Rauw Alejandro",282,3
"The Heart Part 5","Kendrick Lamar",283,0
"Better Days (NEIKED x Mae Muller x Polo G)","NEIKED, Mae Muller, Polo G",284,3
"San Lucas","Kevin Kaarl",285,1
"Sad Girlz Luv Money Remix (feat. Kali Uchis)","Kali Uchis, Amaarae, Moliy",286,3
"This Love (Taylorï¿½ï¿½ï¿½s Ve","Taylor Swift",287,0
"Butter","BTS",288,1
"Good Looking","Suki Waterhouse",289,1
"pushin P (feat. Young Thug)","Young Thug, Future, Gunna",290,3
"You Right","Doja Cat, The Weeknd",291,2
"deja vu","Olivia Rodrigo",292,0
"TO THE MOON","Jnr Choi",293,1
"Flowers","Lauren Spencer Smith",294,1
"Lost in the Fire","The Weeknd, Gesaffelstein",295,2
"Yet To Come","BTS",296,0
"Run BTS","BTS",297,0
"Music For a Sushi Restaurant","Harry Styles",298,0
"Die For You","The Weeknd",299,0
"Die For You - Remix","Ariana Grande, The Weeknd",300,2
"Salimo de Noche","Trueno, Tiago pzk",301,2
"El Cielo","Feid, Myke Towers, Sky Rompiendo",302,3
"Matilda","Harry Styles",303,0
"Volando - Remix","Sech, Bad Bunny, Mora",304,3
"For Youth","BTS",305,0
"Baby Don't Hurt Me","David Guetta, Anne-Marie, Coi Leray",306,3
"Leave The Door Open","Bruno Mars, Anderson .Paak, Silk Sonic",307,0
"Daylight","Harry Styles",308,0
"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",309,0
"Knife Talk (with 21 Savage ft. Project Pat)","Drake, Project Pat, 21 Savage",310,3
