"track_name","bpm","key","mode","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","cover_url","artist_id","date_id","spotify_tracking_id","apple_tracking_id","deezer_tracking_id","shazam_tracking_id"
"Seven (feat. Latto) (Explicit Ver.)",125,"B","Major",80,89,83,31,0,8,4,"Not Found",1,1,1,10,1,1
"LALA",92,"C#","Major",71,61,74,7,0,10,4,"https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05",4,2,2,12,2,2
"vampire",138,"F","Major",51,32,53,17,0,31,6,"https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d",5,5,3,13,3,3
"Cruel Summer",170,"A","Major",55,58,72,11,0,11,15,"https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647",52,6,54,19,4,4
"WHERE SHE GOES",144,"A","Minor",65,23,80,14,63,11,6,"https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1",27,7,55,21,5,5
"Sprinter",141,"C#","Major",92,66,58,19,0,8,24,"https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60",59,8,56,23,6,6
"Ella Baila Sola",148,"F","Minor",67,83,76,48,0,8,3,"https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef",62,10,58,24,7,7
"Columbia",100,"F","Major",67,26,71,37,0,11,4,"https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9",72,12,59,25,8,8
"fukumean",130,"C#","Minor",85,22,62,12,0,28,9,"https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c",73,15,62,27,9,9
"La Bebe - Remix",170,"D","Minor",81,56,48,21,0,8,33,"Not Found",75,16,64,29,10,10
"un x100to",83,"F#","Minor",57,56,72,23,0,27,5,"Not Found",80,17,73,33,11,11
"Super Shy",150,"F","Minor",78,52,82,18,0,15,7,"https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af",84,12,75,35,12,12
"Kill Bill",89,"G#","Major",64,43,73,5,17,16,4,"https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5",16,19,76,37,13,13
"Cupid - Twin Ver.",120,"B","Minor",78,76,59,43,0,34,3,"https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb",90,21,78,39,14,14
"Classy 101",100,"B","Major",86,67,66,14,0,12,16,"https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a",93,22,80,40,15,13
"Like Crazy",120,"G","Major",63,36,73,0,0,36,4,"https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d",100,24,81,41,16,15
"LADY GAGA",140,"F","Minor",65,87,74,22,0,42,4,"Not Found",103,26,86,42,17,14
"I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ",123,"F#","Major",69,82,76,6,0,6,3,"Not Found",52,12,90,43,18,16
"I Wanna Be Yours",135,"","Minor",48,44,42,12,2,11,3,"https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163",105,27,93,44,19,17
