"released_year","released_month","released_day","date_id"
2023,7,14,1
2023,3,23,2
2021,6,4,3
2022,8,12,4
2023,6,30,5
2019,8,23,6
2023,5,18,7
2023,6,1,8
1985,9,16,9
2023,3,16,10
1973,1,5,11
2023,7,7,12
2022,8,11,13
2021,7,30,14
2023,5,15,15
2023,3,17,16
2023,4,17,17
2022,9,28,18
2022,12,8,19
2020,12,24,20
2023,2,24,21
2023,3,31,22
2020,3,27,23
2023,3,24,24
2022,9,14,25
2023,6,22,26
2013,1,1,27
2022,3,14,28
2023,5,31,29
1930,1,1,30
2022,3,25,31
2011,10,14,32
1963,10,14,33
2023,6,29,34
2023,1,31,35
1959,11,16,36
2013,10,25,37
1970,11,1,38
1963,11,22,39
1971,12,1,40
1952,1,1,41
1946,11,1,42
1979,11,16,43
1984,11,25,44
1984,1,1,45
1950,1,1,46
1942,1,1,47
1986,1,1,48
2017,11,10,49
2023,5,25,50
1958,1,1,51
2023,7,13,52
2000,11,7,53
2023,6,28,54
2022,12,2,55
2022,10,21,56
1959,1,1,57
2005,9,20,58
2023,2,23,59
2023,4,7,60
2014,1,1,61
2021,6,25,62
2023,5,19,63
2023,2,10,64
2022,8,26,65
1957,1,1,66
2022,8,25,67
2017,7,21,68
2022,1,7,69
2022,1,5,70
2021,8,20,71
2020,11,27,72
2022,5,13,73
2016,11,24,74
2023,6,2,75
2023,4,6,76
2023,6,15,77
2022,5,26,78
2020,7,24,79
2023,5,4,80
2023,2,3,81
2022,6,24,82
2017,6,23,83
2022,10,6,84
2021,8,6,85
2023,6,23,86
2021,11,19,87
2022,7,15,88
2021,9,17,89
2022,7,6,90
2021,11,5,91
2022,7,17,92
2017,12,8,93
2022,9,22,94
2020,9,21,95
2022,12,20,96
2021,10,5,97
2022,4,22,98
2021,11,4,99
2023,3,3,100
2021,11,30,101
2022,5,6,102
2021,11,12,103
2017,11,8,104
2021,11,18,105
2020,6,5,106
2021,10,27,107
2023,5,12,108
2021,12,1,109
2018,3,9,110
2022,12,9,111
2021,10,30,112
2023,6,9,113
2021,8,3,114
2012,1,1,115
2023,4,14,116
2022,4,20,117
2017,4,28,118
2021,3,11,119
2014,12,9,120
2023,2,25,121
2023,2,8,122
2023,3,10,123
2021,6,11,124
2022,8,19,125
2020,11,2,126
2023,6,21,127
2020,3,13,128
2023,1,2,129
2021,10,22,130
2011,1,1,131
2020,10,30,132
2023,1,11,133
2021,12,29,134
2007,4,20,135
2022,1,9,136
2023,5,22,137
2021,9,8,138
2022,7,20,139
2021,9,16,140
2019,5,10,141
2021,5,21,142
2021,6,24,143
2023,1,27,144
2023,5,26,145
2010,1,1,146
2023,2,2,147
2021,4,1,148
2012,12,5,149
2019,1,11,150
2023,4,4,151
2022,6,17,152
2021,10,21,153
2023,1,23,154
2021,7,8,155
2004,7,13,156
2021,3,5,157
2020,3,20,158
2021,8,1,159
2010,5,25,160
2021,11,11,161
1983,1,6,162
2015,5,10,163
2015,10,30,164
2015,2,2,165
2021,11,17,166
2018,5,25,167
2021,8,29,168
2023,4,12,169
2019,11,1,170
2016,11,25,171
2020,12,25,172
2022,3,19,173
2021,12,23,174
2023,1,13,175
2021,5,7,176
2019,10,18,177
2020,1,1,178
2017,3,21,179
2020,10,23,180
2016,8,20,181
2021,3,19,182
2019,8,30,183
2021,10,1,184
2022,12,16,185
2021,4,9,186
2020,2,10,187
1968,7,1,188
2010,7,20,189
2023,6,8,190
2022,12,19,191
2023,5,1,192
2023,5,11,193
2022,11,24,194
2023,3,30,195
2023,5,13,196
2022,9,29,197
2020,2,21,198
2022,10,12,199
2021,8,13,200
2022,11,30,201
2016,4,20,202
2021,4,14,203
2017,3,30,204
2022,12,1,205
2021,7,28,206
2022,7,8,207
2023,3,1,208
2019,1,1,209
2022,6,29,210
2021,9,2,211
2022,7,29,212
2021,8,10,213
2023,6,5,214
2010,10,4,215
2023,4,21,216
2020,4,17,217
2023,2,14,218
2021,1,28,219
2022,10,17,220
2022,1,10,221
2021,8,27,222
2019,11,7,223
2021,9,1,224
2022,11,4,225
2021,4,28,226
2021,10,14,227
2021,7,9,228
2021,12,10,229
2021,1,15,230
2022,6,10,231
2021,8,12,232
2023,5,5,233
2021,4,29,234
2023,4,30,235
2022,2,10,236
2022,4,8,237
2022,2,11,238
2022,1,19,239
2022,2,2,240
2023,4,10,241
2022,2,4,242
1997,1,1,243
2013,8,16,244
2023,3,4,245
2019,8,4,246
2023,4,24,247
2016,8,5,248
2019,10,4,249
2022,4,21,250
2019,6,21,251
2022,12,30,252
2022,1,14,253
2023,4,25,254
2021,12,17,255
2022,8,16,256
2020,1,16,257
2022,7,28,258
2017,10,4,259
2023,2,5,260
2020,2,29,261
2022,4,28,262
2022,1,28,263
2014,6,5,264
2022,1,15,265
2021,11,25,266
2015,7,24,267
2023,4,27,268
2019,5,16,269
2022,12,24,270
2019,12,6,271
2018,3,29,272
2022,3,11,273
2022,3,4,274
2022,9,16,275
2022,3,3,276
2022,12,22,277
2022,2,1,278
2021,12,3,279
2004,5,4,280
2023,3,2,281
2021,4,30,282
2023,3,22,283
2022,2,18,284
2023,3,27,285
2022,11,1,286
2023,3,25,287
2021,12,24,288
2022,5,20,289
2023,3,29,290
2022,2,15,291
2013,7,16,292
2022,2,25,293
2018,3,16,294
2021,9,10,295
2020,10,8,296
2022,2,22,297
2022,3,23,298
2022,2,17,299
2022,3,31,300
2015,1,11,301
2022,4,5,302
2022,3,18,303
2022,4,6,304
2015,1,1,305
2022,4,7,306
2021,9,9,307
2022,1,30,308
2022,3,30,309
2022,3,17,310
2019,12,13,311
1996,11,24,312
2023,3,14,313
2022,4,14,314
2022,4,1,315
2022,5,12,316
2022,10,26,317
2022,1,21,318
2022,11,13,319
2022,2,14,320
2014,11,28,321
2019,5,31,322
2016,1,15,323
2022,4,29,324
2017,2,20,325
2022,12,15,326
2022,7,25,327
2022,8,5,328
2023,2,17,329
2022,11,5,330
2022,10,31,331
2022,5,31,332
2022,8,1,333
2022,10,19,334
2023,1,20,335
2022,6,3,336
2022,9,8,337
2022,12,23,338
2021,9,3,339
2017,8,25,340
2022,11,3,341
2019,6,28,342
2022,10,20,343
2020,2,19,344
2020,5,20,345
2021,9,24,346
2022,10,28,347
2016,11,4,348
2019,4,12,349
2016,9,27,350
2022,11,25,351
2022,11,20,352
2023,1,12,353
2022,7,21,354
2022,12,12,355
2022,4,27,356
2014,8,8,357
2020,1,10,358
2015,4,22,359
2022,9,9,360
2022,10,3,361
2022,1,17,362
2022,3,10,363
2022,4,25,364
2022,2,6,365
2022,1,26,366
2022,4,13,367
2022,5,2,368
2022,4,24,369
1998,3,31,370
2022,5,8,371
2017,10,20,372
2021,8,9,373
2022,5,27,374
1982,1,1,375
2022,6,8,376
2022,6,9,377
2022,5,25,378
2022,5,3,379
2022,6,2,380
2016,11,10,381
2018,9,12,382
2021,5,15,383
1986,3,3,384
2022,6,21,385
2022,6,16,386
2022,3,24,387
2022,7,1,388
2022,8,4,389
2020,12,18,390
2019,9,13,391
2022,7,12,392
2022,7,22,393
2022,8,15,394
2022,8,22,395
2022,6,15,396
2022,1,20,397
2022,9,13,398
2000,7,10,399
2022,9,2,400
2016,6,23,401
2022,6,23,402
2022,10,7,403
2022,10,14,404
2022,8,18,405
1982,5,16,406
2018,11,21,407
2022,7,14,408
