"in_spotify_playlists","in_spotify_charts","spotify_tracking_id","streams"
553,147,1,141381703
1474,48,2,133716286
1397,113,3,140003974
351,9,4,76910644
1351,0,5,106919680
158,4,6,137123880
7613,33,7,782369383
608,0,8,136996305
1211,0,9,65719930
3956,6,10,502574952
1638,10,11,207033255
924,18,12,404887295
1985,35,13,381161027
6339,13,14,466231982
1561,24,15,357580552
875,4,16,61105704
629,0,17,229497852
1301,0,18,185550869
406,5,19,198275403
1329,0,20,54682594
340,13,21,168448603
4188,15,22,705469769
105,0,23,34502215
343,2,24,240580042
1524,17,25,482175240
2651,30,26,304118600
13101,9,27,1284942608
11087,6,28,1449799467
407,1,29,244891912
2264,0,30,184706613
373,19,31,173627354
200,4,32,90025258
3741,17,33,652704649
1208,34,34,146409671
209,4,35,95816024
1235,9,36,117206995
801,0,37,184826429
654,3,38,100409613
1479,0,39,80758350
736,0,40,330881149
4449,1,41,334733572
3218,3,42,366214458
327,0,43,114546317
2775,0,44,290833204
4576,0,45,448500832
2313,0,46,136676504
3983,0,47,190625045
279,0,48,79095270
2302,0,49,273194684
3559,3,50,333146475
2129,0,51,194902696
3291,5,52,311482393
5328,0,53,195918494
7858,100,54,800840817
3133,50,55,303236322
2186,91,56,183706234
4942,26,57,325592432
3090,50,58,725980112
714,43,59,58149378
709,0,60,58473276
660,0,61,52722996
1096,83,62,95217315
489,17,63,191945597
2953,44,64,553634067
407,0,65,77377503
7461,8,66,743693613
993,4,67,267789608
9161,5,68,1221813483
3282,12,69,449701773
596,0,70,67070410
320,6,71,116334601
2612,4,72,433356509
2876,40,73,505671438
2040,4,74,165584767
422,55,75,58255150
8109,77,76,1163093654
2128,9,77,367814306
2942,77,78,496795686
2598,37,79,477033549
2610,40,80,335222234
596,68,81,363369738
542,2,82,156214700
2459,20,83,448843705
2418,26,84,294352144
7536,7,85,972164968
332,26,86,86444842
10431,7,87,920045682
1640,0,88,244658767
34,0,89,68216992
516,38,90,52135248
1845,16,91,223582566
3301,30,92,471819764
12859,110,93,1297026226
1401,0,94,248511839
1911,0,95,272377463
1313,40,96,200647221
1529,0,97,149778242
250,26,98,78300654
1933,0,99,233671263
615,2,100,116599790
1986,0,101,199587884
7112,77,102,899183384
5115,13,103,383835984
859,40,104,61245289
2094,1,105,236060709
2420,19,106,429829812
2171,0,107,189236868
2988,101,108,127408954
5148,0,109,588955257
2528,0,110,238350348
1900,1,111,187703102
3879,2,112,295307001
8775,0,113,445590495
5290,0,114,286739476
10211,0,115,1122364376
811,4,116,148469433
5730,10,117,497225336
356,4,118,88791109
604,6,119,125917280
584,8,120,157136970
1190,0,121,105062254
579,0,122,95623148
246,4,123,183273246
1553,2,124,144584800
2301,20,125,298063749
134,4,126,166570053
430,0,127,83021468
220,4,128,184807630
86,0,129,139836056
629,14,130,303216294
514,0,131,164856284
6080,0,132,704171068
1701,15,133,221409663
9724,0,134,354614964
329,0,135,58890931
2341,0,136,279717388
5263,0,137,195628667
2402,0,138,221752937
1168,0,139,81419389
795,11,140,263280370
162,6,141,156777415
2536,6,142,284908316
571,0,143,213505179
387,11,144,93438910
892,17,145,363472647
832,3,146,130419412
3909,0,147,372476382
565,0,148,155795783
3645,15,149,380726517
282,0,150,56533272
888,22,151,175399345
864,78,152,22581161
968,4,153,203221468
531,4,154,134294498
266,34,155,52294266
6036,88,156,843957510
9082,56,157,999748277
242,0,158,70069745
4284,49,159,618990393
5281,14,160,609293408
1150,31,161,123122413
2590,30,162,671365962
672,34,163,188933502
11434,53,164,1355959075
7830,42,165,786181836
1769,34,166,362361576
4526,12,167,293466523
584,28,168,176553476
454,4,169,93587665
1818,0,170,711366595
6180,7,171,1223481149
2814,0,172,191448892
3600,11,173,1022258230
1254,6,174,263453310
1601,0,175,85924992
6398,31,176,1435127549
894,4,177,176103902
692,25,178,354495408
660,15,179,236857112
1283,0,180,147538971
945,0,181,121189256
12482,80,182,1109433169
8084,6,183,698086140
767,0,184,131746175
13387,64,185,1047101291
5898,5,186,244790012
3372,19,187,570515054
685,2,188,129314708
8431,76,189,1085685420
1452,35,190,331511413
1456,0,191,219196651
2107,0,192,170732845
1494,2,193,273914335
2483,59,194,1647990401
3408,47,195,518745108
1298,38,196,107753850
1379,4,197,179061440
4277,66,198,177740666
625,4,199,185236961
1133,39,200,153372011
2688,0,201,171788484
2259,59,202,57876440
2668,2,203,387080183
2649,42,204,256483385
799,12,205,264717480
6804,45,206,1214083358
1189,6,207,244928911
2332,2,208,723894473
525,41,209,16011326
7923,29,210,812019557
731,15,211,111947664
203,0,212,34450974
685,14,213,403097450
2460,13,214,309483971
288,6,215,319566866
4572,33,216,909001996
5184,41,217,156338624
6127,13,218,1061966512
3107,39,219,720434240
166,0,220,32526947
1838,0,221,124988687
4053,50,222,357925728
1890,0,223,103787664
4637,38,224,674072710
3818,23,225,404562836
3506,56,226,373199958
2098,16,227,134255790
761,12,228,301051721
410,36,229,14780425
1225,0,230,156338624
148,24,231,39578178
415,2,232,152850295
367,0,233,97610446
3469,0,234,309653982
1004,35,235,54266102
527,4,236,287278853
4511,36,237,751134527
3113,0,238,123473120
3311,0,239,297328960
685,5,240,295152154
2616,0,241,332506354
782,9,242,323455692
3006,16,243,480507035
4260,0,244,1065580332
2442,0,245,240918092
482,0,246,122763672
1112,4,247,191873381
138,4,248,1365184
1368,0,249,184308753
889,20,250,323358833
4796,9,251,606361689
658,6,252,120972253
3009,2,253,338564981
4967,0,254,284216603
6170,7,255,1301799902
2520,4,256,239411309
767,12,257,265548837
130,4,258,140187018
359,0,259,107642809
1963,16,260,551305895
5491,14,261,556585270
8506,45,262,1356565093
19806,7,263,703301727
3246,23,264,635412045
5153,6,265,244585109
8576,42,266,1230675890
1776,14,267,646886885
615,0,268,189476119
1473,4,269,222612678
2537,0,270,277132266
4057,8,271,872137015
3045,6,272,571386359
3006,12,273,304079786
852,0,274,174006928
2163,15,275,284785823
1484,0,276,163284000
1703,0,277,246390068
4169,44,278,482257456
1054,0,279,168684524
2849,0,280,78489819
1602,0,281,195516622
9644,28,282,1260594497
4827,0,283,428685680
3618,38,284,585695368
21811,0,285,1024858327
168,0,286,838586769
370,20,287,43857627
688,0,288,199386237
2790,30,289,600976848
10565,44,290,972509632
267,9,291,39709092
139,17,292,39228929
1612,0,293,213438580
2114,44,294,223633238
574,4,295,210038833
8870,43,296,1440757818
2499,0,297,227918678
1446,12,298,157058870
804,25,299,95131998
10426,2,300,826623384
1962,38,301,250305248
15894,8,302,1802514301
713,7,303,181831132
7758,28,304,462791599
2537,2,305,348647203
292,6,306,366599607
323,0,307,90598517
12353,0,308,807561936
8879,0,309,663832097
6512,0,310,446390129
6596,0,311,485285717
3788,0,312,520034544
7655,0,313,476244795
9577,0,314,629173063
10114,0,315,404664135
1007,0,316,98709329
1647,30,317,278920007
1127,0,318,110849052
2019,8,319,222410722
10829,0,320,460492795
1473,12,321,185392587
1613,0,322,202452860
10826,4,323,624101957
1042,0,324,94005786
920,0,325,148461629
7930,0,326,395591396
11500,0,327,389771964
1685,0,328,403939487
14169,0,329,481697415
1634,0,330,110073250
308,0,331,47093942
906,0,332,88092256
2468,0,333,380319238
1087,0,334,351636786
1097,2,335,209106362
330,0,336,53987404
10585,0,337,473248298
1584,0,338,115331792
827,0,339,73981293
1585,5,340,225093344
1420,4,341,155653938
766,0,342,84697729
11940,0,343,395591396
888,0,344,429504768
836,0,345,159240673
9122,0,346,242767149
430,6,347,170709584
892,0,348,65362788
989,0,349,67540165
819,0,350,62019074
2209,0,351,135723538
2020,0,352,154356956
6290,0,353,295998468
6858,0,354,723043854
3682,6,355,247689123
6952,0,356,261116938
1639,0,357,176474912
313,2,358,136689549
4875,23,359,685032533
31,39,360,38411956
2175,23,361,144565150
452,10,362,235549288
991,0,363,85559365
2000,46,364,127567540
869,7,365,146223492
2839,25,366,399686758
648,4,367,187701588
674,47,368,118482347
1948,0,369,253650850
1608,0,370,223064273
1338,0,371,170413877
1936,0,372,218320587
8448,23,373,882831184
1794,0,374,141720999
1597,0,375,187339835
2110,58,376,286400165
1652,2,377,198365537
1747,0,378,186104310
1715,0,379,177503916
2528,39,380,172825906
486,0,381,71095708
77,35,382,29562220
481,9,383,203436468
266,27,384,77309611
1045,0,385,93367537
3423,21,386,1116995633
1060,0,387,106249219
4198,44,388,838079900
26792,32,389,1093605526
213,6,390,179659294
58,18,391,39058561
1274,0,392,181382590
353,2,393,135611421
4094,0,394,356709897
953,0,395,91473363
880,0,396,110649992
99,15,397,36912123
573,0,398,301869854
1180,0,399,121871870
3299,0,400,127027715
1320,0,401,133895612
811,0,402,57144458
899,0,403,56870689
782,2,404,96007391
2415,0,405,323437194
2304,0,406,317726339
1003,0,407,116144341
2699,0,408,328207708
2482,20,409,608228647
2577,0,410,180577478
6821,34,411,809306935
714,0,412,49262961
3185,4,413,614555082
8612,0,414,245350949
4326,0,415,178660459
680,0,416,51641685
398,0,417,78139948
3328,13,418,322336177
2881,6,419,391251368
2235,0,420,349585590
12403,0,421,674772936
1915,0,422,119238316
2297,0,423,116903579
4375,0,424,888046992
2800,0,425,200660871
2597,0,426,130655803
1420,0,427,88103848
1292,0,428,101114984
15867,0,429,1575467011
1178,0,430,91656026
1756,0,431,267758538
1014,0,432,74601456
7963,0,433,920797189
4771,0,434,539595276
8559,0,435,1367810478
3221,2,436,578207856
3423,26,437,775542072
9151,6,438,656013912
648,1,439,240684449
4635,5,440,583687007
1184,0,441,63803529
4431,0,442,466214729
759,3,443,236940480
733,0,444,41924466
2795,0,445,225259194
2780,2,446,393230256
1950,0,447,287201015
3947,12,448,599770206
2551,0,449,342779426
5375,10,450,673801126
11975,8,451,1168642797
4963,0,452,383550148
6734,0,453,530511203
3047,9,454,510876816
11215,21,455,1763363713
1678,12,456,374191487
2035,0,457,108809090
4091,0,458,421040617
3643,0,459,354065229
4779,6,460,1143647827
3517,0,461,311395144
5073,0,462,672656250
7545,4,463,1256880657
2979,0,464,245095641
7731,2,465,686734357
1057,0,466,261414174
3272,19,467,610045621
14417,0,468,1115880852
5199,0,469,594482982
6026,0,470,566954746
4640,3,471,374706940
1150,0,472,184937148
768,0,473,31959571
925,0,474,167076418
3006,3,475,824420218
3098,0,476,363467642
9771,4,477,1127468248
807,0,478,60680939
521,1,479,247737946
802,0,480,154797871
731,0,481,198883004
788,0,482,124407432
3069,4,483,850608354
4651,0,484,376333030
4999,0,485,516784627
8327,24,486,1608045237
3297,3,487,506778838
3506,10,488,513643924
2999,0,489,261286503
3681,0,490,783706581
4846,10,491,422691058
14311,0,492,1062345656
8207,0,493,1252563873
4873,0,494,851070493
772,0,495,263894529
5398,4,496,951637566
6890,0,497,427486004
1966,0,498,156658366
2226,0,499,624515457
4204,0,500,777765388
1959,0,501,412795151
7191,0,502,1138474110
2012,0,503,355219175
1211,2,504,290228626
7109,2,505,1062956628
6638,0,506,1180094974
6392,0,507,432702334
5481,0,508,489945871
2636,3,509,465959382
824,0,510,1223481149
8087,0,511,720825549
5403,6,512,593917618
755,4,513,200972675
254,0,514,71014967
6308,5,515,560222750
246,0,516,77337771
6556,0,517,528544703
5728,0,518,865640097
461,0,519,211372494
4893,4,520,651732901
1801,2,521,608334048
12043,0,522,863756573
4731,0,523,797402345
1560,0,524,223319934
620,0,525,54937991
3270,0,526,226897599
580,0,527,258316038
3406,16,528,596152090
903,0,529,177129919
6809,28,530,716591492
590,5,531,246376690
3766,0,532,496311364
1430,0,533,146789379
4049,0,534,500340342
2096,0,535,107255472
1175,0,536,135079152
29499,11,537,822239726
2711,0,538,343197054
4310,0,539,240769997
5342,0,540,426204830
2393,0,541,421135627
3444,7,542,554875730
5443,0,543,467727006
272,4,544,327498031
975,0,545,185408548
1034,1,546,245400167
3541,2,547,252871192
1492,0,548,231996128
6955,0,549,1180896317
2742,0,550,498960285
4214,11,551,685071800
2026,0,552,258714692
352,0,553,143139338
1517,0,554,209768491
847,0,555,64714573
910,0,556,50746620
601,0,557,154119539
1800,0,558,181328253
1930,0,559,370068639
6332,0,560,563902868
509,9,561,317622165
971,2,562,291709698
2578,0,563,203680270
1064,0,564,81350745
3618,0,565,282883169
21164,36,566,1791000570
1040,0,567,64787943
2988,59,568,201660859
4708,0,569,461437791
893,38,570,248088961
13454,1,571,1439191367
1094,34,572,90839753
4890,20,573,759208783
7324,22,574,607123776
3501,0,575,299634472
6111,4,576,756907987
5415,32,577,682475162
4673,2,578,546191065
1856,3,579,229473310
200,2,580,202677468
1888,0,581,121913181
201,11,582,55842345
5120,48,583,211050784
2346,27,584,342897938
911,2,585,208166039
2954,2,586,527033089
2844,2,587,394030335
763,26,588,2762
457,24,589,330346424
3430,38,590,601863821
2939,0,591,193443895
871,32,592,66902503
695,11,593,299648208
328,0,594,182978249
866,16,595,319757142
451,33,596,96273746
1550,0,597,109091573
1783,27,598,430977451
1729,0,599,153240879
9389,46,600,284819874
5724,44,601,721975598
13985,25,602,1217120710
2005,0,603,346127840
1051,16,604,109276132
1682,46,605,276259178
1188,0,606,312622938
182,8,607,54225632
3659,0,608,1200808494
2335,23,609,681583126
283,7,610,81102253
9833,0,611,797196073
293,8,612,11956641
3257,0,613,665765558
437,31,614,11599388
1275,32,615,611700552
1473,0,616,263779030
290,0,617,135444283
6135,38,618,1133865788
1507,14,619,411747614
539,21,620,255932395
2605,0,621,236872197
86,8,622,31873544
8737,0,623,694525298
1105,0,624,240661097
324,14,625,95053634
17138,37,626,1279434863
894,9,627,233801632
2499,21,628,421365166
1622,9,629,1481349984
2697,1,630,349746291
2092,0,631,255120451
1185,0,632,190981339
11985,0,633,924193303
753,8,634,305771063
2995,0,635,273005485
225,0,636,89566512
9243,0,637,677389855
918,0,638,75476209
561,14,639,142095275
5871,27,640,618885532
961,26,641,436027885
1959,9,642,408843328
6457,18,643,657723613
540,4,644,187772591
859,0,645,178512385
1116,0,646,101780047
273,2,647,118381354
686,2,648,146363130
226,0,649,126443991
1264,0,650,157990698
870,0,651,176290831
