developer_publisher_id,Developer,Publisher
1,"Game Freak",Innersloth
2,Nintendo,"Electronic Arts"
3,Bungie,Capcom
4,"Game Freak",Nintendo
5,"Game Freak","Epic Games"
6,Capcom,Capcom
7,Capcom,"Take-Two Interactive"
8,"Epic Games","Epic Games"
9,"CD Projekt Red",Innersloth
10,Capcom,Activision
11,Capcom,"Epic Games"
12,"EA Sports",Activision
13,"Epic Games",Valve
14,"Epic Games",Activision
15,Bungie,"Take-Two Interactive"
16,Bungie,"Epic Games"
17,Nintendo,Innersloth
18,"Game Freak",Capcom
19,Capcom,"Electronic Arts"
20,Bungie,"Electronic Arts"
21,"Rockstar Games","Epic Games"
22,Capcom,Valve
23,Innersloth,Innersloth
24,"EA Sports",Nintendo
25,"Epic Games","Take-Two Interactive"
26,"Rockstar Games",Valve
27,Bungie,Valve
28,Valve,Nintendo
29,"Game Freak",Activision
30,Valve,"Epic Games"
31,Bungie,"Square Enix"
32,"EA Sports",Innersloth
33,"Epic Games",Innersloth
34,"Game Freak","Take-Two Interactive"
35,"Rockstar Games","Take-Two Interactive"
36,"CD Projekt Red",Activision
37,Innersloth,"Square Enix"
38,Nintendo,Valve
39,"Epic Games","Electronic Arts"
40,Bungie,Nintendo
41,Nintendo,"Square Enix"
42,Innersloth,Activision
43,"Game Freak",Valve
44,"EA Sports","Electronic Arts"
45,"CD Projekt Red",Nintendo
46,Innersloth,Capcom
47,"EA Sports","Square Enix"
48,"Rockstar Games","Square Enix"
49,"Epic Games","Square Enix"
50,"EA Sports",Capcom
51,Nintendo,Nintendo
52,Valve,"Square Enix"
53,"CD Projekt Red","Epic Games"
54,"Rockstar Games",Capcom
55,"EA Sports","Epic Games"
56,Valve,"Electronic Arts"
57,Innersloth,"Electronic Arts"
58,"EA Sports",Valve
59,"CD Projekt Red","Electronic Arts"
60,"Epic Games",Capcom
61,Innersloth,Valve
62,Nintendo,"Take-Two Interactive"
63,Capcom,"Square Enix"
64,Valve,Innersloth
65,Nintendo,Capcom
66,Innersloth,Nintendo
67,Bungie,Activision
68,"Game Freak","Square Enix"
69,"Rockstar Games","Electronic Arts"
70,Capcom,Nintendo
71,Valve,"Take-Two Interactive"
72,"Game Freak","Electronic Arts"
73,Nintendo,"Epic Games"
74,Valve,Valve
75,Capcom,Innersloth
76,"Rockstar Games",Nintendo
77,"CD Projekt Red",Valve
78,Bungie,Innersloth
79,Innersloth,"Take-Two Interactive"
80,"CD Projekt Red","Square Enix"
81,"Rockstar Games",Innersloth
82,"CD Projekt Red","Take-Two Interactive"
83,Innersloth,"Epic Games"
84,"Rockstar Games",Activision
85,Valve,Capcom
86,"Epic Games",Nintendo
87,"CD Projekt Red",Capcom
88,Nintendo,Activision
89,Valve,Activision
90,"EA Sports","Take-Two Interactive"
