Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-07-19,11.2,11.4,11.2,11.3,34994300.0,0.0,0.0
2001-07-20,11.2,11.2,11.0,11.2,9238500.0,0.0,0.0
2001-07-23,11.2,11.2,10.8,11.2,7501000.0,0.0,0.0
2001-07-24,11.1,11.1,10.9,11.1,3537300.0,0.0,0.0
2001-07-25,10.9,11.1,10.9,11.1,4208100.0,0.0,0.0
2001-07-26,11.1,11.2,10.8,10.8,6335300.0,0.0,0.0
2001-07-27,10.8,10.9,10.8,10.8,3524000.0,0.0,0.0
2001-07-30,10.8,11.0,10.8,10.9,3654300.0,0.0,0.0
2001-07-31,10.9,11.2,10.9,11.1,1429000.0,0.0,0.0
2001-08-01,11.2,11.5,11.1,11.5,2087900.0,0.0,0.0
2001-08-02,11.5,11.5,11.2,11.5,1717400.0,0.0,0.0
2001-08-03,11.5,11.5,11.1,11.3,983600.0,0.0,0.0
2001-08-06,11.3,11.3,11.2,11.2,777400.0,0.0,0.0
2001-08-07,11.2,11.6,11.2,11.5,788900.0,0.0,0.0
2001-08-08,11.5,11.6,11.2,11.2,2190300.0,0.0,0.0
2001-08-09,11.2,11.5,11.2,11.5,928000.0,0.0,0.0
2001-08-10,11.5,11.5,11.2,11.3,703300.0,0.0,0.0
2001-08-13,11.3,11.4,11.1,11.2,1770400.0,0.0,0.0
2001-08-14,11.2,11.2,10.9,10.9,1000800.0,0.0,0.0
2001-08-15,11.0,11.1,10.9,11.0,530900.0,0.0,0.0
2001-08-16,11.0,11.0,10.5,10.5,1522700.0,0.0,0.0
2001-08-17,10.5,11.0,10.3,10.8,2342400.0,0.0,0.0
2001-08-20,10.9,11.4,10.8,11.4,1434900.0,0.0,0.0
2001-08-21,11.3,11.6,11.2,11.5,1038200.0,0.0,0.0
2001-08-22,11.4,11.4,11.0,11.4,829000.0,0.0,0.0
2001-08-23,11.5,11.5,11.3,11.3,470000.0,0.0,0.0
2001-08-24,11.3,11.5,11.2,11.5,689000.0,0.0,0.0
2001-08-27,11.5,11.6,11.5,11.5,827700.0,0.0,0.0
