Country,IMF_GDP_USD_billions,IMF_Year_Estimate,World_Bank_GDP_USD_billions,World_Bank_Year_Estimate,United_Nations_GDP_USD_billions,UN_Year_Estimate
United States,30337.16,2025,27360.94,2023,25744.10,2022
China,19534.89,2025,17794.78,2023,17963.17,2022
Germany,4921.56,2025,4456.08,2023,4076.92,2022
Japan,4389.33,2025,4212.94,2023,4232.17,2022
India,4271.92,2025,3549.92,2023,3465.54,2022
United Kingdom,3730.26,2025,3340.03,2023,3089.07,2022
France,3283.43,2025,3030.90,2023,2775.32,2022
Italy,2459.60,2025,2254.85,2023,2046.95,2022
Canada,2330.31,2025,2140.09,2023,2137.94,2022
Brazil,2307.16,2025,2173.67,2023,1920.10,2022
Russia,2195.71,2025,2021.42,2023,2240.42,2022
South Korea,1947.13,2025,1712.79,2023,1673.92,2022
Australia,1881.14,2025,1723.83,2023,1776.58,2022
Spain,1827.58,2025,1580.69,2023,1415.87,2022
Mexico,1817.82,2025,1788.89,2023,1463.32,2022
Indonesia,1492.62,2025,1371.17,2023,1319.10,2022
Turkey,1455.41,2025,1108.02,2023,907.12,2022
Netherlands,1272.96,2025,1118.12,2023,1008.03,2022
Saudi Arabia,1136.58,2025,1067.58,2023,1108.15,2022
Switzerland,999.60,2025,884.94,2023,818.43,2022
Poland,915.45,2025,811.23,2023,688.12,2022
Belgium,689.36,2025,632.22,2023,582.64,2022
Sweden,638.78,2025,593.27,2023,591.19,2022
Argentina,604.20,2025,640.59,2023,631.13,2022
Ireland,587.23,2025,545.63,2023,532.41,2022
United Arab Emirates,568.57,2025,504.17,2023,507.06,2022
Singapore,561.73,2025,501.43,2023,466.79,2022
Austria,559.22,2025,516.03,2023,470.30,2022
Israel,550.90,2025,509.90,2023,525.00,2022
Thailand,545.34,2025,514.95,2023,495.34,2022
Philippines,507.67,2025,437.15,2023,404.28,2022
Vietnam,506.60,2025,429.72,2023,408.80,2022
Norway,503.47,2025,485.51,2023,579.42,2022
Malaysia,488.25,2025,399.65,2023,406.31,2022
Iran,478.10,2025,401.50,2023,398.05,2022
Bangladesh,445.20,2025,437.42,2023,432.68,2022
Denmark,432.23,2025,404.20,2023,400.17,2022
Hong Kong,422.06,2025,382.06,2023,359.84,2022
Colombia,419.33,2025,363.54,2023,343.94,2022
South Africa,418.05,2025,377.78,2023,405.27,2022
