Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,599.93,479.94,557.94,49764.28
Bank of America,307.90,246.32,286.35,25540.31
Industrial and Commercial Bank of China,303.54,242.83,282.29,25178.89
Agricultural Bank of China,232.84,186.27,216.54,19313.75
Bank of China,209.29,167.44,194.64,17361.02
China Construction Bank,192.72,154.17,179.22,15985.71
Wells Fargo,192.28,153.82,178.82,15949.54
HSBC,163.54,130.84,152.10,13565.97
Commonwealth Bank,156.64,125.31,145.67,12993.21
Goldman Sachs,156.36,125.08,145.41,12969.73
