title,description,channelTitle,tags,viewCount,likeCount,commentCount
WHY is the ice cream machine always BROKEN,This is why they are really broken all the time,Zach King,"Vine, Best of vine, Vine comedy, Funny, Comedy, Hilarious, Cute, Magic, Vine magic, Vine compilation, Vine fail, Watch vines, Vine 2013, Cool vines, Special effects vines, Zachking, Ice cream machine, Ice cream, Machine broken, Fail, Funny",47977384,596256,457
Kiss Run Challenge : Angel Oren vs Pinki #sprunki  #pinki  #oren  #shorts,"Kiss Run Challenge : Angel Oren vs Pinki #sprunki  #pinki  #oren #shorts 

If you like this short video ❤️
Like and Subscribe Now 👍!!!
----------------------------
🥰🥰🥰 Watching more: https://www.youtube.com/playlist?list=PLYA39F4-XujaXIIO_yh04UyyKiMCwgufj
----------------------------
Website: https://www.weegoon.vn
Google Play: https://play.google.com/store/apps/dev?id=8316470523921261984
AppStore: https://apps.apple.com/vn/developer/weegoon/id1675427968
----------------------------
About us: https://weegoon.vn/about
Contact: contact@weegoon.vn
----------------------------
This channel and all of it's videos are ""directed to everyone"" with in the meaning of Title 16 C.F.R. §312.2, and are not intended for children under 13 years of age.💕

#sprunki   #shorts   #animation",Wee Animation,"Sprunki, Sprunki mod, Sprunki incredibox, Incredibox sprunki, Sprunki react to, Sprunki animation, Incredibox sprunki meme, Sprunki incredibox animation, Sprunki game, Sprunki memes, Meme, Memes, Funny memes, Animation, Animation meme, Short animation, Funny, Funny videos, Funny video, Funny moments, Game animation, Animation game, Game meme, Oren x pinki, Oren and pinki",25843354,1544937,1421
Toddler stops crying when she receives cash,"A toddler who was having a tantrum only stopped when she received a banknote.

Two-year-old Precious Marlette Asid was crying as she wanted to be with her father who went to work in Cavite, the Philippines, on November 18.

Her mother, Brigitte Balneg, tried distracting her with snacks and toys, but to no avail. But when she was given a 1,000 PHP (14 GBP) bill, the little girl ceased sobbing.

Footage shows Precious Marlette being given candy and juice amid her favourite toys.

When mum Brigitte showed her the money, the kid stopped instantly.

Brigitte said: &#039;She kept chasing after her daddy, and she did not want everything I gave.

&#039;I was not really expecting my baby&#039;s reaction since it was her first time seeing bills. I do not usually let her handle money, especially coins.

She probably thought it was a new toy because it was something new to her. Well, my child is only two-years-old, and she does not understand money yet, and I have never introduced her to it.&#039;

(1 PHP=0.014 GBP)

This footage is being managed exclusively by Newsflare. To license this video email licensing@newsflare.com or call: +44 (0) 203 937 6280

Clip ID: 697301

Subscribe to NewsflareBreaking: http://bit.ly/newsflare
Facebook https://www.facebook.com/Newsflare
Twitter https://twitter.com/Newsflare 

Register now to upload your videos   Visit https://www.newsflare.com/?utm_source=youtube&utm_medium=social to find out more.",Newsflare,"Mother, Money, Girl, Parenting, Toddler, Daughter, Tantrums, Banknote, Crying toddler, Failsandfunnies, Newsflare, News videos, News today, Journalism, Hard news, Worldwide, Latest news, Latest videos, Viral videos, Viral, Fail videos, Crashes, Stunts, Amazing, Animal attack, World record, News flare",4055310,51393,239
My Sisters Took Revenge on me… 😢 (Gummy ASMR),No Descriptions,Spizee,No tags,41317919,857759,4491
The clever angel saw through the clown's scheme at a glance#angel#clown,"Record every moment of life and convey positive energy
Hello~Hello everyone~
✦This is the Superman couple✦
American comics have millions of fans
Superman couple account for half
Interpretation of modern comedy plot
Bring you happiness every day
Remember to watch my videos on time!
#douluodalu #superman  #spiderman #supergirl",超人夫妇,"超人夫妇, 美漫, 超人, 蜘蛛侠, 二次元, 金刚, 怪兽, 斗罗大陆, 唐三, 小舞",65906690,2272182,3767
Đã bảo game này dễ rồi mà [BEN EAGLE] #beneagle #training #kungfu #martialarts #funny,"Mình là người Việt Nam.
Cảm ơn các bạn đã ủng hộ kênh của mình nha.
Hãy đăng ký kênh để xem những video thú vị mỗi ngày nhé.
Hãy LIKE + BÌNH LUẬN + CHIA SẺ giúp mình nhé.
Niềm vui của các bạn chính là hạnh phúc của mình.
Yêu tất cả các bạn!!!
————————————
I am Vietnamese.
Thank you for supporting my channel.
Subscribe to the channel to watch interesting videos every day.
LIKE + SHARE + COMMENT
Your smile is my happiness.
Love you all!!!
___BEN EAGLE___
#beneagle #eaglesacademy #masterbeneagle #vothuatdienanh #vothuat #hanhdong #tuve #masterkungfu #haihuoc #tuvethucchien #dienxuat #action #funny #shortfilm #actionfilm #kungfu #selfdefence #fighting #combat #martialarts #trending #shorts #heroic #superhero #cookman #kingofkungfu #comedy #acting #actionactor #actiondirector #actionmovie",BEN EAGLE,"Ben eagle, Eagles, Võ thuật điện ảnh, Huấn luyện võ thuật điện ảnh, Cascadeur, Võ thuật, Võ hiện đại, Diễn viên hành động, Ngôi sao võ thuật, Trung tâm võ, Học võ, Tự vệ, Eagle, Shorts, Ben eagle vn, Lớp dạy võ, Siêu nhân, Phim hanh dong vo thuat, Phim võ thuật, Eagles academy, Tiktok, Master ben eagle, Beneagle, Ben eagle movie, Ben eagle shorts, Ben eagle tiktok, Nhào lộn đường phố, Tik tok, Spider-man, Sê lốc huy, Skibidi toilet, Minecraft, Cartoon, Youtube, Ben eagle official",43075288,930691,3100
黑天使预知未来#short #angel #clown,"Welcome to the 【Super Beauty Team】 channel! 🛡️🌟

Here, we pour our hearts into creating each video, combining meticulously designed Captain America role-playing with original 2D comic-style plots, presenting you with an extraordinary superhero world. 💥😆

🔔 Our channel is not just about role-playing; it's a gathering place for fans of 2D culture and American comics. If you have a strong interest in Captain America, 2D culture, or the world of American comics, you definitely shouldn't miss our channel. If you like our videos, don't forget to subscribe to the channel and click the bell icon.

🚫 Rest assured, we strictly adhere to platform rules, all video content is original, and copyright is rigorously protected. Infringement will be prosecuted!",Super Beauty team,"Captain america roleplay, 2d comic style, American comics, Superhero world, Original content, Youtube superheroes, Fan engagement, Subscribe and bell icon, Copyright enforcement, Cosplay videos, Comic book lovers, 2d animation, Marvel universe, Superhero action, Creative storytelling, Heroic adventures, Character analysis, Behind-the-scenes, Superhero culture, Interactive fan base, Superhero lifestyle, Comic series adaptations, Hero versus villain dynamics",22342092,1230771,944
😂😂😂,No Descriptions,Giuseppe Barbuto,No tags,20986938,350493,432
Pink Bot 💀💀 Test IQ Challenge Incredibox Sprunki,Pink Bot 💀💀 Test IQ Challenge Incredibox Sprunki #sprunki #animation #meme,Gummy Dora,"Animation, Cartoon, Gummy dora, Sprunki animation, Sprunki, Incredibox sprunki",4598315,276927,247
"Toni Fowler and Viy: Payaman Reality Show, Fall Out of Love Sa Partner, Motherhood (OFFBEAT EP. 7)","VIYLINE COSMETICS
LAZADA: http://bit.ly/VIYLINExLZD
SHOPEE: https://shopee.ph/viyline
TIKTOK: https://www.tiktok.com/@viy.cortez

Viyline Inquiries and Orders:
https://www.facebook.com/ViyLine/

Join AHS Discord Server!
https://discord.gg/ahsdc

SOCIALS:
IG: https://www.instagram.com/viycortez/
FB: https://www.facebook.com/viy.cortez.17
TIKTOK: https://www.tiktok.com/@viy.cortez
FB Page: https://www.facebook.com/Viviysofficial
FB Group: https://www.facebook.com/groups/viviysofficialgroup


For inquiries, please email: viytcortez@gmail.com


#ViyCortez #ViViys",Viy Cortez,"Congtv, Challenges, Viy cortez, Youtuber, Viviys, Viy",1121287,29569,1024
