teamName,wins,losses,winLossPct,gamesBehind,ptsPerGame,opponentPtsPerGame,simpleRatingSystem
Cleveland Cavaliers,36,6,.857,0.00,122.00,111.60,8.94
Boston Celtics,30,13,.698,6.50,117.70,108.10,8.74
New York Knicks,29,16,.644,8.50,116.60,110.70,4.28
Milwaukee Bucks,24,17,.585,11.50,114.00,111.10,1.81
Indiana Pacers,24,19,.558,12.50,115.20,114.60,0.18
Atlanta Hawks,22,20,.524,14.00,117.00,119.00,-2.12
Detroit Pistons,22,21,.512,14.50,112.20,113.10,-1.27
Orlando Magic,23,22,.511,14.50,103.90,104.40,-0.70
Miami Heat,21,21,.500,15.00,111.10,110.10,0.15
Chicago Bulls,19,25,.432,18.00,117.10,120.00,-3.17
Philadelphia 76ers,15,27,.357,21.00,107.50,112.40,-4.90
Brooklyn Nets,14,30,.318,23.00,106.40,113.70,-6.53
Charlotte Hornets,11,28,.282,23.50,107.10,112.50,-5.34
Toronto Raptors,11,32,.256,25.50,110.90,117.90,-5.10
Washington Wizards,6,36,.143,30.00,108.10,122.50,-12.33
