rank,playerName,age,teamCode,position,totalGames,totalGamesStarted,totalMinutesPerGame,fieldGoalsPerGame,fieldGoalAttemptsPerGame,fieldGoalsPct,threePtFieldGoalsPerGame,threePtFieldGoalAttemptsPerGame,threePtFieldGoalsPct,twoPtFieldGoalsPerGame,twoPtFieldGoalAttemptsPerGame,twoPtFieldGoalsPct,effectiveFieldGoalsPct,freeThrowsPerGame,freeThrowAttemptsPerGame,freeThrowPct,offensiveReboundsPerGame,defensiveReboundsPerGame,totalReboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,personalFoulsPerGame,pointsPerGame
1,Giannis Antetokounmpo,30,MIL,PF,35,35,34.90,12.50,20.70,.605,0.10,0.70,.154,12.40,20.00,.621,.607,6.30,10.70,.587,2.20,9.80,12.00,6.00,0.80,1.40,3.50,2.40,31.50
2,Shai Gilgeous-Alexander,26,OKC,PG,41,41,34.10,11.10,20.90,.532,2.00,5.70,.350,9.10,15.20,.600,.580,7.20,8.00,.900,0.80,4.50,5.30,6.10,2.10,1.10,2.70,2.10,31.50
3,Nikola Jokić,29,DEN,C,37,37,36.40,11.40,20.30,.563,2.10,4.30,.475,9.40,15.90,.586,.613,5.20,6.40,.810,3.40,9.70,13.20,9.90,1.90,0.60,3.10,2.00,30.10
4,LaMelo Ball,23,CHO,PG,28,28,34.20,10.10,24.10,.421,4.30,12.80,.335,5.90,11.30,.517,.510,4.70,5.60,.829,1.00,4.40,5.40,7.60,1.40,0.40,3.90,3.60,29.30
5,Luka Dončić,25,DAL,PG,22,22,35.70,9.80,21.20,.464,3.40,9.60,.354,6.40,11.50,.555,.544,5.10,6.60,.767,0.70,7.60,8.30,7.80,2.00,0.40,3.40,2.60,28.10
6,Jayson Tatum,26,BOS,PF,40,40,36.30,9.30,20.20,.458,3.70,10.30,.356,5.60,9.90,.564,.549,5.40,6.70,.799,0.60,8.60,9.30,5.40,1.30,0.50,2.80,2.30,27.50
7,Kevin Durant,36,PHO,PF,32,32,36.10,9.80,18.80,.522,2.10,5.60,.376,7.80,13.30,.584,.578,5.50,6.60,.825,0.40,6.00,6.40,4.10,0.80,1.40,3.20,1.80,27.30
8,Tyrese Maxey,24,PHI,PG,35,35,37.70,9.10,21.40,.427,3.20,9.60,.333,5.90,11.80,.504,.502,4.90,5.80,.856,0.30,3.20,3.50,5.90,2.00,0.40,2.40,2.30,26.40
9,Anthony Edwards,23,MIN,SG,43,43,36.70,9.00,20.30,.443,4.20,9.90,.428,4.70,10.40,.457,.548,4.10,4.90,.834,0.70,5.10,5.80,4.20,1.20,0.60,3.40,1.90,26.30
10,Jalen Brunson,28,NYK,PG,44,44,35.30,8.90,18.40,.486,2.30,5.90,.391,6.60,12.50,.531,.549,5.80,7.10,.817,0.40,2.50,3.00,7.30,0.90,0.00,2.40,2.20,26.00
