rank,team,conferenceId,divisionId,wins,losses,winLossPct,marginOfVictory,offensiveRating,defensiveRating,netRating,adjustedMarginOfVictory,adjustedOffensiveRating,adjustedDefensiveRating,adjustedNetRating
1,Oklahoma City Thunder,W,NW,35,7,.833,12.81,116.79,104.02,12.76,12.88,116.89,104.06,12.83
2,Boston Celtics,E,A,30,13,.698,9.60,120.31,110.29,10.02,8.74,120.27,111.08,9.19
3,Cleveland Cavaliers,E,C,36,6,.857,10.36,121.84,111.50,10.34,8.94,121.20,112.26,8.94
4,Memphis Grizzlies,W,SW,28,15,.651,8.16,117.47,109.71,7.76,7.20,117.14,110.36,6.78
5,Houston Rockets,W,SW,28,14,.667,5.98,114.17,108.47,5.70,6.34,114.81,108.75,6.06
6,Denver Nuggets,W,NW,27,16,.628,5.30,119.07,113.92,5.16,5.60,119.37,113.94,5.43
7,New York Knicks,E,A,29,16,.644,5.96,120.10,114.03,6.06,4.28,119.88,115.47,4.41
8,Dallas Mavericks,W,SW,23,20,.535,3.37,115.94,112.53,3.41,3.63,115.95,112.32,3.63
9,Los Angeles Clippers,W,P,24,18,.571,2.83,111.31,108.37,2.94,3.43,111.61,108.11,3.49
10,Minnesota Timberwolves,W,NW,22,21,.512,1.95,113.09,111.08,2.01,2.65,113.47,110.76,2.71
11,Sacramento Kings,W,P,22,20,.524,2.79,116.12,113.40,2.71,2.16,115.79,113.72,2.07
12,Milwaukee Bucks,E,C,24,17,.585,2.93,114.43,111.50,2.93,1.81,113.78,111.91,1.87
13,Golden State Warriors,W,P,21,21,.500,-0.40,111.70,112.16,-0.46,0.75,112.34,111.68,0.66
14,Indiana Pacers,E,C,24,19,.558,0.60,115.39,114.63,0.76,0.18,115.30,114.96,0.34
15,Miami Heat,E,SE,21,21,.500,0.98,113.35,112.37,0.98,0.15,112.97,112.81,0.16
16,Orlando Magic,E,SE,23,22,.511,-0.47,108.00,108.36,-0.37,-0.70,107.45,108.05,-0.60
17,San Antonio Spurs,W,SW,19,22,.463,-1.41,112.53,113.82,-1.29,-1.22,112.50,113.65,-1.15
18,Detroit Pistons,E,C,22,21,.512,-0.98,112.47,113.39,-0.91,-1.27,112.02,113.21,-1.19
19,Atlanta Hawks,E,SE,22,20,.524,-1.98,112.75,114.52,-1.76,-2.12,112.01,113.88,-1.87
20,Los Angeles Lakers,W,P,23,18,.561,-2.00,113.72,115.78,-2.05,-1.99,113.64,115.72,-2.08
21,Phoenix Suns,W,P,21,21,.500,-1.74,115.32,117.12,-1.80,-2.37,115.17,117.62,-2.45
22,Chicago Bulls,E,C,19,25,.432,-2.86,113.02,115.73,-2.71,-3.17,113.12,116.09,-2.97
23,Toronto Raptors,E,A,11,32,.256,-7.00,111.07,118.09,-7.02,-5.10,111.81,116.91,-5.10
24,Philadelphia 76ers,E,A,15,27,.357,-4.86,110.48,115.57,-5.09,-4.90,110.83,115.97,-5.14
25,Charlotte Hornets,E,SE,11,28,.282,-5.41,108.55,114.09,-5.54,-5.34,108.38,113.81,-5.42
26,Brooklyn Nets,E,A,14,30,.318,-7.32,109.19,116.64,-7.45,-6.53,109.44,116.10,-6.66
27,Utah Jazz,W,NW,10,31,.244,-6.76,112.03,118.93,-6.90,-6.65,111.76,118.58,-6.82
28,Portland Trail Blazers,W,NW,15,28,.349,-8.42,109.54,117.70,-8.16,-7.71,110.11,117.63,-7.52
29,New Orleans Pelicans,W,SW,12,32,.273,-8.00,109.71,117.94,-8.24,-7.65,109.60,117.47,-7.87
30,Washington Wizards,E,SE,6,36,.143,-14.40,105.74,119.94,-14.20,-12.33,106.56,118.66,-12.10
