teamName,wins,losses,winLossPct,gamesBehind,ptsPerGame,opponentPtsPerGame,simpleRatingSystem
Oklahoma City Thunder,35,7,.833,0.00,116.40,103.60,12.88
Houston Rockets,28,14,.667,7.00,113.80,107.80,6.34
Memphis Grizzlies,28,15,.651,7.50,123.10,114.90,7.20
Denver Nuggets,27,16,.628,8.50,120.70,115.40,5.60
Los Angeles Clippers,24,18,.571,11.00,109.50,106.60,3.43
Los Angeles Lakers,23,18,.561,11.50,111.20,113.20,-1.99
Dallas Mavericks,23,20,.535,12.50,115.20,111.80,3.63
Sacramento Kings,22,20,.524,13.00,116.70,113.90,2.16
Minnesota Timberwolves,22,21,.512,13.50,110.00,108.00,2.65
Phoenix Suns,21,21,.500,14.00,112.70,114.40,-2.37
Golden State Warriors,21,21,.500,14.00,110.80,111.20,0.75
San Antonio Spurs,19,22,.463,15.50,111.60,113.00,-1.22
Portland Trail Blazers,15,28,.349,20.50,108.10,116.50,-7.71
New Orleans Pelicans,12,32,.273,24.00,109.20,117.20,-7.65
Utah Jazz,10,31,.244,24.50,111.40,118.20,-6.65
