playerName,team,rating,region,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent,playerCategory
Kouf,AMB,1.53,Americas,298.0,1.48,74.0 %,185.9,1.03,0.36,0.13,0.03,35%,15%,"Reyna, Kayo",VCT-Challengers
nelu,63,1.31,Americas,266.7,1.15,75.0 %,182.0,0.86,0.40,0.06,0.06,30%,21%,"Viper, Sova, Breach",VCT-Challengers
welyy,Blue,1.31,Americas,240.9,1.26,74.0 %,164.1,0.82,0.39,0.07,0.04,27%,10%,"Sova, Fade, Breach",VCT-Challengers
ShoT_UP,TOR,1.29,Americas,240.2,1.25,78.0 %,158.6,0.82,0.40,0.06,0.06,25%,25%,"Skye, Astra, Killjoy",VCT-Challengers
mada,NRG,1.26,Americas,268.8,1.34,76.0 %,172.9,0.93,0.19,0.24,0.13,26%,11%,"Raze, Jett, Reyna",VCT-Challengers
MattyIce,Equi,1.26,Americas,256.5,1.27,58.0 %,166.1,1.00,0.06,0.03,0.18,42%,17%,"Chamber, Cypher",VCT-Challengers
PapaSmurf,VEXO,1.24,Americas,247.3,1.19,81.0 %,160.0,0.89,0.42,0.06,0.06,22%,10%,"Viper, Omen",VCT-Challengers
sonofcar,LS,1.24,Americas,257.6,1.32,75.0 %,171.0,0.94,0.20,0.24,0.13,26%,24%,"Chamber, Raze, Jett",VCT-Challengers
Sueiy,DXG,1.23,Americas,219.5,1.13,74.0 %,144.6,0.86,0.45,0.07,0.10,34%,30%,"Omen, Astra",VCT-Challengers
florescent,SR,1.23,Americas,267.9,1.23,71.0 %,178.2,0.92,0.22,0.17,0.14,26%,15%,"Raze, Jett",VCT-Challengers
kajsiab,43,1.22,Americas,230.0,1.00,67.0 %,166.8,0.72,0.26,0.09,0.05,42%,0.0 %,Sova,VCT-Challengers
practo,Non-,1.22,Americas,246.3,1.17,69.0 %,166.7,0.88,0.14,0.07,0.05,35%,13%,"Sova, Viper",VCT-Challengers
Suhnny,FLUX,1.22,Americas,253.0,1.33,71.0 %,157.9,0.95,0.21,0.07,0.07,28%,20%,"Gekko, Fade",VCT-Challengers
Casual,Scrub,1.22,Americas,283.0,1.36,65.0 %,175.0,1.05,0.12,0.05,0.09,39%,17%,"Astra, Omen",VCT-Challengers
Huso,FH,1.21,Americas,233.8,1.18,77.0 %,156.2,0.82,0.21,0.16,0.09,21%,24%,"Raze, Jett",VCT-Challengers
moose,C9,1.21,Americas,212.4,1.43,77.0 %,140.8,0.77,0.25,0.10,0.05,22%,15%,"Cypher, Killjoy",VCT-Challengers
Android,40,1.20,Americas,259.0,1.19,60.0 %,173.5,0.95,0.18,0.15,0.05,25%,33%,Viper,VCT-Challengers
Shondex,Blue,1.20,Americas,232.5,1.52,71.0 %,151.2,0.91,0.22,0.11,0.09,36%,0.0 %,"Cypher, Viper",VCT-Challengers
nabil,RESO,1.19,Americas,230.9,1.29,76.0 %,146.0,0.84,0.19,0.17,0.05,25%,25%,"Killjoy, Cypher",VCT-Challengers
v1c,C9,1.19,Americas,225.7,1.27,78.0 %,146.0,0.79,0.36,0.10,0.06,27%,10%,"Omen, Cypher, Brimstone",VCT-Challengers
c4Lypso,TU,1.19,Americas,239.8,1.23,72.0 %,154.9,0.86,0.29,0.12,0.09,33%,14%,"Omen, Viper, Chamber",VCT-Challengers
Verno,NRG,1.18,Americas,199.5,1.28,76.0 %,135.8,0.72,0.34,0.06,0.06,29%,18%,"Killjoy, Gekko, Sova",VCT-Challengers
XXiF,QOR,1.18,Americas,219.4,1.27,75.0 %,148.8,0.78,0.22,0.09,0.06,27%,13%,"Viper, Killjoy, Cypher",VCT-Challengers
miniature,DTL,1.18,Americas,253.0,1.14,64.0 %,168.1,0.82,0.21,0.23,0.31,23%,29%,"Raze, Reyna",VCT-Challengers
jeffie,ROSE,1.17,Americas,221.2,1.16,68.0 %,152.2,0.76,0.28,0.08,0.07,36%,18%,"Viper, Cypher, Killjoy",VCT-Challengers
brawk,MxS,1.17,Americas,205.3,1.21,76.0 %,135.5,0.73,0.34,0.05,0.05,22%,14%,"Killjoy, Skye, Gekko",VCT-Challengers
geeza,MU,1.17,Americas,223.7,1.24,73.0 %,150.4,0.86,0.14,0.11,0.08,32%,22%,"Killjoy, Cypher, Reyna",VCT-Challengers
Kyu,AMB,1.16,Americas,233.7,1.19,75.0 %,151.8,0.81,0.35,0.10,0.10,28%,15%,"Sova, Fade, Jett",VCT-Challengers
Neat,AOE,1.16,Americas,225.6,1.10,75.0 %,146.3,0.78,0.32,0.04,0.06,19%,11%,"Omen, Brimstone",VCT-Challengers
Spaz,BLIN,1.16,Americas,202.6,1.13,76.0 %,130.6,0.69,0.46,0.07,0.07,21%,24%,"Viper, Omen, Astra",VCT-Challengers
Melvin,UCSD,1.15,Americas,275.5,1.15,65.0 %,174.9,0.91,0.12,0.09,0.15,38%,0.0 %,Jett,VCT-Challengers
Simulate,LAG,1.15,Americas,238.5,1.14,65.0 %,149.5,0.87,0.11,0.07,0.13,31%,33%,Raze,VCT-Challengers
zeldris,QOR,1.15,Americas,257.6,1.23,73.0 %,165.2,0.91,0.18,0.22,0.15,21%,10%,"Jett, Raze",VCT-Challengers
chase,Cudd,1.15,Americas,244.5,1.15,81.0 %,158.4,0.90,0.24,0.07,0.05,27%,40%,Viper,VCT-Challengers
noj,Yonk,1.15,Americas,201.5,1.03,62.0 %,133.7,0.77,0.36,0.03,0.13,31%,29%,"Sage, Killjoy",VCT-Challengers
collin,38,1.14,Americas,278.5,1.16,71.0 %,180.6,0.95,0.21,0.26,0.08,38%,0.0 %,"Jett, Raze",VCT-Challengers
Bob,Blue,1.14,Americas,213.8,1.17,75.0 %,143.7,0.76,0.30,0.09,0.05,31%,14%,"Sova, Skye, Gekko",VCT-Challengers
Entri,Inst,1.14,Americas,220.0,1.07,67.0 %,142.8,0.77,0.18,0.11,0.10,23%,24%,"Jett, Deadlock",VCT-Challengers
