Device Name,Price,Description,Device Type,Review Count
Asus VivoBook X441NA-GA190 Chocolate Black,$296.0,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",Laptop,14 reviews
Prestigio SmartBook 133S Dark Grey,$299.0,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",Laptop,8 reviews
Prestigio SmartBook 133S Gold,$299.0,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",Laptop,12 reviews
Aspire E1-510,$307.0,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",Laptop,2 reviews
Lenovo V110-15IAP,$321.9,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptop,5 reviews
Asus VivoBook 15 X540NA-GQ008T Chocolate Black,$356.5,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",Laptop,6 reviews
Hewlett Packard 250 G6 Dark Ash Silver,$364.5,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",Laptop,12 reviews
Acer Aspire 3 A315-31 Black,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptop,2 reviews
"Acer Aspire A315-31-C33J Black 15.6""",$379.9,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",Laptop,0 reviews
Acer Aspire ES1-572 Black,$379.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",Laptop,9 reviews
Acer Aspire 3 A315-31 Black,$391.5,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptop,10 reviews
Acer Aspire 3 A315-21,$393.9,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",Laptop,9 reviews
Asus VivoBook Max X541NA-GQ041 Black Chocolate,$399.0,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",Laptop,4 reviews
Asus VivoBook E502NA-GO022T Dark Blue,$400.0,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",Laptop,3 reviews
Lenovo ThinkPad E31-80,$404.2,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",Laptop,12 reviews
Acer Aspire 3 A315-31 Black,$409.0,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptop,10 reviews
Lenovo V110-15ISK,$409.6,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",Laptop,9 reviews
Acer Aspire ES1-732 Black,$410.5,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",Laptop,14 reviews
Asus VivoBook 15 X540NA-GQ026T Chocolate Black,$410.7,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",Laptop,4 reviews
Packard 255 G2,$417.0,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",Laptop,2 reviews
Asus EeeBook R416NA-FA014T,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",Laptop,1 reviews
Acer Aspire 3 A315-51,$436.3,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",Laptop,1 reviews
Acer Aspire ES1-572 Black,$436.3,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",Laptop,2 reviews
Acer Extensa 15 (2540) Black,$439.7,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",Laptop,6 reviews
Acer Aspire ES1-572 Black,$454.6,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",Laptop,9 reviews
Lenovo V110-15ISK,$454.7,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",Laptop,2 reviews
Acer Aspire A315-51-33TG,$457.4,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",Laptop,9 reviews
Lenovo V110-15IKB,$465.9,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",Laptop,7 reviews
Asus VivoBook 15 X540UA-DM260 Chocolate Black,$468.6,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",Laptop,1 reviews
Acer Aspire ES1-572 Black,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",Laptop,5 reviews
Lenovo V510 Black,$484.2,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",Laptop,8 reviews
Acer Aspire ES1-572 Black,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",Laptop,6 reviews
