"films_film_id";"title";"release_year";"country";"duration";"language";"certification";"gross";"budget";"num_user";"num_critic";"imdb_score";"num_votes";"facebook_likes"
3934;"Dredd";2012;"UK";95;"English";"R";"13401683";"35000000";588;432;7.0999999;203461;46000
3405;"The Taking of Pelham 1 2 3";2009;"USA";106;"English";"R";"65452312";"100000000";285;267;6.4000001;149998;0
478;"Teen Wolf Too";1987;"USA";95;"English";"PG";"7888703";"3000000";65;29;3.20000005;8465;491
74;"The Nun's Story";1959;"USA";149;"English";"Not Rated";"";"3500000";83;25;7.5999999;7071;930
1254;"Magnolia";1999;"USA";188;"English";"R";"22450975";"37000000";1437;224;8.0;241030;13000
740;"The Santa Clause";1994;"USA";97;"English";"PG";"144833357";"22000000";111;64;6.4000001;64742;0
4841;"Deadpool";2016;"USA";108;"English";"R";"363024263";"58000000";1058;579;8.10000038;479047;117000
2869;"Resurrecting the Champ";2007;"USA";112;"English";"PG-13";"3169424";"13000000";59;104;6.80000019;18442;689
3252;"Everybody's Fine";2009;"USA";99;"English";"PG-13";"8855646";"21000000";117;160;7.19999981;49855;10000
1181;"Angela's Ashes";1999;"USA";145;"English";"R";"13038660";"25000000";163;99;7.30000019;16995;0
2020;"Something's Gotta Give";2003;"USA";128;"English";"PG-13";"124590960";"80000000";402;145;6.69999981;91092;0
4152;"Carrie";2013;"USA";100;"English";"R";"35266619";"30000000";371;359;5.9000001;108242;39000
3220;"Cargo";2009;"Switzerland";112;"German";"";"";"4500000";62;64;6.19999981;15780;2000
2312;"Chicken Little";2005;"USA";81;"English";"G";"135381507";"150000000";251;161;5.80000019;63912;912
1820;"Poolhall Junkies";2002;"USA";99;"English";"R";"562059";"4000000";113;41;7.0;8535;872
718;"Naked Gun 33 1/3: The Final Insult";1994;"USA";83;"English";"PG-13";"51109400";"30000000";85;43;6.4000001;76850;1000
831;"Courage Under Fire";1996;"USA";116;"English";"R";"58918501";"46000000";107;65;6.5999999;40126;975
1231;"For Love of the Game";1999;"USA";137;"English";"PG-13";"35168395";"50000000";226;113;6.5;26034;0
1746;"Dark Blue";2002;"USA";118;"English";"R";"9059588";"15000000";125;71;6.5999999;17261;455
3508;"Housefull";2010;"India";144;"Hindi";"";"1165104";"";43;10;5.30000019;8598;250
1621;"Original Sin";2001;"France";118;"English";"R";"16252765";"42000000";181;93;6.0;44913;3000
3197;"All About Steve";2009;"USA";99;"English";"PG-13";"33860010";"15000000";143;128;4.80000019;33088;0
4464;"Locker 13";2014;"USA";95;"English";"R";"2468";"300000";5;10;4.80000019;241;261
3929;"Deceptive Practice: The Mysteries and Mentors of Ricky Jay";2012;"USA";88;"English";"";"151389";"500000";7;39;7.0999999;774;590
2183;"My Baby's Daddy";2004;"USA";86;"English";"PG-13";"17321573";"";18;33;4.5;3119;151
3298;"Mao's Last Dancer";2009;"Australia";117;"English";"PG";"4806750";"";53;83;7.4000001;6091;0
2392;"Miss Congeniality 2: Armed and Fabulous";2005;"USA";115;"English";"PG-13";"48472213";"45000000";156;111;5.0;51252;621
978;"Money Talks";1997;"USA";97;"English";"R";"41067398";"25000000";41;29;6.0999999;22748;666
3176;"[Rec] 2";2009;"Spain";85;"Spanish";"R";"27024";"5600000";148;222;6.5999999;55597;4000
272;"Private Benjamin";1980;"USA";109;"English";"R";"69800000";"10000000";60;25;6.0999999;18140;855
2414;"Romance & Cigarettes";2005;"USA";105;"English";"R";"540085";"";69;87;6.30000019;10052;0
2873;"Savage Grace";2007;"Spain";97;"English";"Not Rated";"434417";"4600000";65;121;5.9000001;8867;0
2744;"Wristcutters: A Love Story";2006;"USA";88;"English";"R";"104077";"1000000";88;117;7.4000001;46076;11000
4013;"Sanctuary;  Quite a Conundrum";2012;"USA";82;"English";"";"";"200000";8;13;5.4000001;133;424
4707;"Mission: Impossible - Rogue Nation";2015;"China";131;"English";"PG-13";"195000874";"150000000";440;465;7.4000001;232187;47000
4592;"Wolves";2014;"France";91;"English";"R";"";"18000000";34;59;5.30000019;5693;0
2379;"London";2005;"UK";92;"English";"R";"12667";"14000";90;34;6.5999999;19336;0
848;"Ghosts of Mississippi";1996;"USA";130;"English";"PG-13";"13052741";"36000000";57;31;6.69999981;8531;591
308;"Stripes";1981;"USA";117;"English";"R";"85300000";"10000000";134;52;6.9000001;48629;0
4210;"Labor Day";2013;"USA";111;"English";"PG-13";"13362308";"18000000";111;217;6.9000001;31898;0
1492;"Titan A.E.";2000;"USA";94;"English";"PG";"22751979";"75000000";377;131;6.5999999;52244;0
3879;"Winnie the Pooh";2011;"USA";63;"English";"G";"26687172";"30000000";55;162;7.30000019;15600;0
4094;"Trouble with the Curve";2012;"USA";111;"English";"PG-13";"35754555";"";150;239;6.80000019;47954;11000
3319;"Old Dogs";2009;"USA";88;"English";"PG";"49474048";"35000000";120;124;5.4000001;31191;0
302;"Porky's";1981;"Canada";94;"English";"R";"105500000";"4000000";152;75;6.19999981;31260;0
3854;"The Raid: Redemption";2011;"Indonesia";102;"Indonesian";"R";"4105123";"1100000";316;481;7.5999999;148221;51000
1522;"American Pie 2";2001;"USA";108;"English";"R";"145096820";"30000000";431;142;6.4000001;200260;0
1491;"Thomas and the Magic Railroad";2000;"UK";85;"English";"G";"15911333";"19000000";119;47;3.5999999;2855;663
1526;"Ayurveda: Art of Being";2001;"India";102;"English";"";"16892";"300000";12;15;7.5999999;341;379
4501;"Rosewater";2014;"USA";103;"English";"R";"3093491";"5000000";37;129;6.5999999;8307;5000
143;"Sweet Charity";1969;"USA";154;"English";"G";"";"20000000";64;15;7.0;3454;548
1048;"Beloved";1998;"USA";172;"English";"R";"22843047";"55000000";207;78;5.9000001;6082;853
1943;"Finding Nemo";2003;"USA";100;"English";"G";"380838870";"94000000";866;301;8.19999981;692482;11000
877;"She's the One";1996;"USA";96;"English";"R";"9449219";"3500000";98;43;6.0999999;13949;453
2577;"Firewall";2006;"USA";105;"English";"PG-13";"48745150";"50000000";306;171;5.80000019;50170;773
3760;"Like Crazy";2011;"USA";90;"English";"PG-13";"3388210";"250000";150;206;6.69999981;46813;12000
2331;"Duma";2005;"USA";100;"English";"PG";"860002";"12000000";43;38;7.30000019;6454;0
1762;"Fabled";2002;"USA";84;"English";"R";"25918";"";10;8;5.80000019;191;7
3042;"Meet Dave";2008;"USA";90;"English";"PG";"11802056";"60000000";109;127;4.9000001;31640;791
2226;"Superbabies: Baby Geniuses 2";2004;"Germany";88;"English";"PG";"9109322";"20000000";129;32;1.89999998;25371;0
2239;"The Case of the Grinning Cat";2004;"France";59;"French";"";"";"150000";4;16;7.4000001;352;44
4769;"The Gunman";2015;"USA";115;"English";"R";"10640645";"40000000";110;224;5.80000019;28429;0
3016;"Harrison Montgomery";2008;"USA";95;"English";"";"";"850000";1;5;7.4000001;59;18
783;"Mortal Kombat";1995;"USA";101;"English";"PG-13";"70360285";"18000000";283;72;5.80000019;81783;0
2676;"Southland Tales";2006;"France";160;"English";"R";"273420";"17000000";238;173;5.5;32671;0
2471;"The Protector";2005;"Thailand";111;"Thai";"R";"11905519";"200000000";214;112;7.0999999;30210;0
1379;"Erin Brockovich";2000;"USA";131;"English";"R";"125548685";"52000000";498;169;7.30000019;135246;0
4442;"How to Train Your Dragon 2";2014;"USA";102;"English";"PG";"176997107";"145000000";343;292;7.9000001;221128;46000
2118;"Crash";2004;"Germany";115;"English";"R";"54557348";"6500000";1624;287;7.9000001;361169;18000
4922;"Warcraft";2016;"USA";123;"English";"PG-13";"46978995";"160000000";781;275;7.30000019;111609;89000
560;"Flatliners";1990;"USA";115;"English";"R";"61490000";"26000000";148;49;6.5999999;62037;0
2949;"You Kill Me";2007;"USA";93;"English";"R";"2426851";"4000000";76;121;6.5;16224;830
4173;"Escape from Tomorrow";2013;"USA";90;"English";"Not Rated";"169719";"";79;143;5.19999981;7384;0
2576;"Find Me Guilty";2006;"Germany";125;"English";"R";"1172769";"13000000";108;94;7.0999999;28068;0
1015;"The Last Time I Committed Suicide";1997;"USA";92;"English";"R";"12836";"4000000";28;12;5.80000019;1686;161
3209;"Bled";2009;"USA";95;"English";"R";"";"750000";30;8;3.0999999;851;128
